Job Title,Name Company,Location,Work time,Type of contract,Salary,Desired skills,Minimum level of education required,Minimum experience level required,Spoken languages
Data Scientist Marketing H/F,Bouygues Telecom,Meudon (92),Temps plein,CDI,No Info,['SQL'],Master 2,No Info,Anglais
Alternance - Data Scientist H/F,Malakoff Humanis,Paris 9e (75),No Info,Apprentissage,No Info,"['R', 'Python']",Bac+5,No Info,No Info
DATA SCIENTIST,Servier,Suresnes (92),No Info,No Info,65 000 € par an,"['R', 'Python', 'scala', 'Hadoop', 'Spark', 'AWS']",formation supérieure,5 ans,No Info
Data Scientist H/F,AGYLIS,La Défense (92),Temps plein,CDI,40 000 € - 50 000 € par an,"['Machine Learning', 'Python', 'ML/DL', 'Docker', 'AWS', 'Azure', 'Deep Learning']",No Info,1 an,No Info
ASSISTANT DATA SCIENTIST,Total,Nanterre (92),No Info,Apprentissage,No Info,[],bac+5,3 ans,No Info
DATA SCIENTIST- F/H,Ingeniance,La Défense (92),No Info,CDI,No Info,[],Bac+5,No Info,No Info
Data Scientist and Innovation Engineer H/F,HIPAY,Levallois-Perret (92),No Info,CDI,No Info,"['Python', 'Keras', 'SQL', 'NoSQL']",No Info,No Info,No Info
Data Scientist H/F - BE4897,PRO BTP GROUPE,Vincennes (94),No Info,CDD,No Info,"['Machine Learning', 'R']",No Info,No Info,No Info
Alternance Data Scientist H/F,Fortuneo,La Défense (92),No Info,Apprentissage,No Info,"['R', 'Python', 'SQL', 'AWS', 'Hadoop', 'Hive']",No Info,No Info,No Info
Data Scientist Prévoyance - 92 SUD,Talenteed,Malakoff (92),No Info,CDI,No Info,"['R', 'Python', 'SAS']",formation supérieure,1 an,No Info
Data scientist (h/f) - Alternance,Maisons du Monde,Paris (75),Temps plein,Apprentissage,No Info,"['R', 'Machine Learning', 'SQL', 'Python', 'Tensorflow', 'Docker', 'Kubernetes']",formation supérieure,No Info,No Info
DEVELOPPEUR PYTHON/DATA SCIENTIST / Freelance,OCSI,Paris (75),Temps plein,Freelance,No Info,"['Python', 'Machine Learning', 'ML/DL', 'Docker', 'AWS', 'Azure', 'Deep Learning']",No Info,5 ans,No Info
DATA SCIENTIST / MACHINE LEARNING RESEARCHER INTERN,Joko,Paris (75),No Info,Stage,No Info,"['Machine Learning', 'Python']",No Info,No Info,No Info
