Job Title,Name Company,Location,Job type,Salary,Desired skills,Minimum level of education required,Minimum experience level required,Spoken languages
Data Scientist,Source Enterprises,"New York, NY",Full-time,No Info,"['R', 'NoSQL']",No Info,No Info,No Info
Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,Remote,No Info,"['Python', 'SQL']",No Info,3 years,No Info
"Data Scientist
new",TrueAccord,Remote,Remote,No Info,"['Python', 'Tensorflow', 'AWS', 'Spark']",No Info,1-3+ years,No Info
"Data Scientist, Junior
new",Booz Allen Hamilton,"Rome, NY 13441",No Info,No Info,"['Python', 'Docker', 'Deep Learning']",University,No Info,No Info
"Data Scientist
new",Mars,United States,No Info,No Info,"['Python', 'PySpark', 'AWS']",Bachelor,4+ years,No Info
"Research Data Scientist
new",University of California San Francisco,"San Francisco, CA 94143 (Haight-Ashbury area)",No Info,No Info,[],University,No Info,No Info
Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",No Info,No Info,"['SQL', 'Hadoop', 'Python', 'R', 'SAS', 'Machine Learning']",No Info,No Info,No Info
Sr Data Scientist (work from home position),American Red Cross,"Washington, DC 20022",Remote,No Info,"['R', 'Python']",PhD,No Info,No Info
"Data Scientist, Digital Products",Dow Jones,"New York, NY 10176 (Murray Hill area)",No Info,No Info,[],No Info,No Info,No Info
Data Scientist - Cryptowatch (Remote),kraken,Remote,Remote,No Info,"['Python', 'R', 'SQL']",No Info,No Info,No Info
