Poste;Entreprise;Pays;Ville;Type de contrat;Salaire;Description
Data Scientist Entry Level - Pathrise Recruiting Partners;Pathrise;USA;Remote;None;None;What is Pathrise Recruiting Partners?  Pathrise Recruiting Partners connects top candidates to top employers. We use the same tactics and connections that we’ve used to place 300+ candidates to also bridge the connection between great candidates and top employers and recruitment firms. By applying to this position you gain access to a streamlined application process. This puts your resume right into the recruiting teams of our partners who are actively seeking candidates like you. To read more visit pathrise.com/pathrise-recruiting-partners  Job Description  Our partners are looking for entry level Data Scientists. In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions. These positions are ideal for someone with a passion for data science and is entrepreneurial. These positions are an exciting way for someone to break into data science and start building a career at organizations ranging from established tech companies to growing startups. Qualifications 0-3 years in data science Excellent communication skills, ability to understand customer needs and provide valuable recommendations Strong Python and SQL skills Able to effectively synthesize, visualize, and communicate your ideas to others Familiar with key data engineering concepts Experience with data visualization What will I be doing? Being involved with product discussions about high impact features Help with various data analysis and modeling projects projects Creating data visualizations for use in both internal and external capacities Using data to inform decisions made by product, engineering, and design teams This role is part of our Pathrise Recruiting Partners program. Submitting this application will allow your profile to be reviewed by our network of hiring partners. To read more about how this all works as well as more information about our partners please visit pathrise.com/pathrise-recruiting-partners
Data Scientist;Source Enterprises;USA;New York, NY;None;None;Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making. Job Description A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products. You will collaborate with cross-functional teams to define, design, implement, data mining capabilities and effectively provide the results, in a fast paced environment, necessary to meet our business needs. This position may include working remotely and provides flexible hours to accommodate productive work-flow. Responsibilities: Selecting features, building and optimizing classifiers using machine learning techniques Data mining using state-of-the-art methods Extending company’s data with third party sources of information when needed Enhancing data collection procedures to include information that is relevant for building analytic systems Processing, cleansing, and verifying the integrity of data used for analysis Doing ad-hoc analysis and presenting results in a clear manner Creating automated anomaly detection systems and constant tracking of its performance Stay current on modern trends and advances in data mining technology Work closely with our experts and other team members to efficiently prototype/develop features and functions for our various products Perform other duties as assigned Qualifications: Internship candidates should have high interest in learning top of the line data mining platforms, programming, tools, testing, and analyzing business needs: Understanding of machine learning techniques and algorithms, such as: k-NN, Naive Bayes, SVM, Decision Forests, etc. Some knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etc Data visualization tools, such as D3.js, GGplot, etc. NoSQL databases, such as MongoDB, Cassandra, HBase, etc. Statistics skills, such as distributions, statistical testing, regression, etc. Data-oriented personality Excellent writing & organizational skills Independent work ethic Detail oriented Strong drive to succeed Entrepreneurial mindset Proactive Good communicator Team player Autonomous Passion for coding, solving problems and working in a team environment Use a provided online productivity platform to organize and keep track of your completed tasks. Makes suggestions for processes, coding, implementation, and/or performance improvements. Please send a resume for consideration. Part time and Full time positions available. Flexible at home positions available.
Data Scientistnew;TrueAccord;USA;Remote;None;None;Why TrueAccord?  Debt collection is failing consumers. Every year, more than 70 million Americans have negative experiences with the collections process, and they deserve a much better treatment - more relevant, more digital, less abrasive. That’s why banks, lenders, and industry leaders are coming to TrueAccord for innovative solutions in recovering outstanding receivables.  TrueAccord is a category-defining company. We combine machine learning with a human-based approach to guide both lenders and borrowers through a challenging financial process. With a world-class leadership team, passionate and driven team members, and a diverse and growing client base, TrueAccord is well positioned for continued success.  Your Role:  TrueAccord is looking for a Data Scientist to join its growing Data Science team. You will join a team dedicated to creating a data driven culture and to bringing rigor to the way we make decisions.  As a Data Scientist on this team you will build out statistical, machine learning models that optimize and elevate the collections process for our consumers, as well as lead automation initiatives in the company. You will work closely with engineers and product partners to identify machine learning-based approaches destined to have the highest impact on external and internal customer experience.  We’re looking for someone with an excellent grasp on core machine learning techniques and a product focused mindset. You should be passionate about using data to create positive, customer experiences, a strong self-starter, and determined to have a huge impact at TrueAccord. Key Responsibilities: Apply machine learning techniques to improve customer experience, reduce operating costs, and improve our business position Design and implement machine learning models, and deploy them while collaborating with engineering team members Drive data driven development across the company by educating and coaching other teams in Data Science best practices and experimentation methodology Document development lifecycle and design model development infrastructure You have: 1-3+ years relevant experience | Advanced degree | Completed graduate level coursework in statistics-related fields, experimental design, or quantitative social sciences Demonstrated skill in developing machine learning solutions to business problems in a cross functional team and implementing from conception to business impact Proven understanding of modern machine learning techniques, such as classification, regression, recommendation systems, optimization, and deep learning. Solid Python programming skills You might also have: Experience building model development pipelines, productionizing models or are familiar with machine learning technologies (e.g. Tensorflow) Working knowledge of Big Data technologies: AWS, Spark etc. Strong cross-functional communication skills with technical and non-technical partners Solid understanding of experiment design Experience with natural language processing techniques FinTech background Appreciate the option of working in San Francisco, where most of TrueAccord’s engineering is based What TrueAccord offers you + Culture & Benefits  TrueAccord is distributed company with a major presence in the San Francisco Bay area and Lenexa, KS. We offer a healthy work environment that continuously builds an inclusive and diverse culture where everyone is able to develop the best version of themselves. We are a dynamic group of people who are subject matter experts with a passion for change.  We offer: *** Generous paid time off *** Paid training *** We promote work/life harmony *** Paid holidays *** Health, dental and vision benefits *** 401K with matching  Our teams are crafting solutions to big problems every day. If you’re looking for an opportunity to do impactful work, join TrueAccord and make a difference.  Our Dedication to Diversity & Inclusion  TrueAccord is an equal opportunity employer. We promote, value, and thrive with a diverse & inclusive team. Different perspectives contribute to better solutions and this makes us stronger every day. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Data Scientist;BAE Systems;USA;Fort Worth, TX 76108;None;None;BAE Systems' F35 Lightning II program has an exciting opportunity for a Senior Data Scientist to develop and deliver functionality using Python, R, Web Development, and related technologies to produce predictive capabilities for the F-35 Prognostics Health Management (PHM) Platform. This capability will further aid customers in understanding software anomalies and provide machine based decision support to drive maintenance actions and supply chain logistics in the field. Duties: Leadership Help shape and drive new data mining techniques Provide Technical Support, guidance, and oversight to junior engineers Project Implementation Ensure project is executed according to plan Provide technical expertise to all stakeholders and partners Quantitative Data Analysis Big Data Architecture Design Machine Learning Techniques Best Practices within the Big Data scientific community Demonstrate each capability in the context of how it will be used by the customer Please note that pursuant to a government contract this position requires U.S. citizenship.  Required Skills and Education Bachelors of Computer Science or Equivalent Six to eight years of engineering experience Excellent understanding of machine learning techniques Clustering DBSCAN K-Means Pattern Prediction HMM POMDP Neural Networks Radial Basis Function (RBF) Hopfield Networks Boltzmann Learning Anomaly Detection using Distributions Proficient with the following Languages Python R JavaScript HTML Experience with Visualization Represents Machine Learning Techniques visually that allows individuals without data science backgrounds the ability to understand what is taking place. Experience with NoSQL and SQL Databases MongoDB Cassandra Oracle Knowledge of Big Data Platforms Hadoop Spark Proficient using query languages SQL Good applied statistics skills Distributions Statistical Testing Regression Must have strong leadership and communication skills Proven ability to process queries from customers, while maintaining a positive rapport  Preferred Skills and Education Prognostics Health Management Experience Military Aircraft Maintenance Experience  About BAE Systems Intelligence & Security BAE Systems Intelligence & Security, based in McLean, Virginia, designs and delivers advanced defense, intelligence, and security solutions that support the important missions of our customers. Our pride and dedication shows in everything we do—from intelligence analysis, cyber operations and IT expertise to systems development, systems integration, and operations and maintenance services. Knowing that our work enables the U.S. military and government to recognize, manage and defeat threats inspires us to push ourselves and our technologies to new levels. That’s BAE Systems. That’s Inspired Work.
Data Scientist - Cryptowatch (Remote);kraken;USA;Remote;None;None;"About Kraken  Our mission is to accelerate the adoption of cryptocurrency so that you and the rest of the world can achieve financial freedom and inclusion. Founded in 2011 and with over 4 million clients, Kraken is one of the world's largest, most successful bitcoin exchanges and we're growing faster than ever. Our range of successful products are playing an important role in the mainstream adoption of crypto assets. We attract people who constantly push themselves to think differently and chart exciting new paths in a rapidly growing industry. Kraken is a diverse group of dreamers and doers who see value in being radically transparent. Let's change the way the world thinks about money! Join the revolution!  About Cryptowatch  Cryptowatch is the top trading terminal for crypto assets. The team operates as an independent business unit within Kraken, with the mandate to provide sophisticated tools for all types of traders in the crypto world. The platform connects to all the top exchanges in crypto to feed real-time market data and price charts to thousands of traders around the clock, with unique tools to help traders analyze the market and make trades quickly and easily no matter which exchange(s) they choose to trade on. Our team is looking for entrepreneurial dreamers and doers - we truly believe our success depends on having both in spades. Join us and the movement to change the way the world thinks about money.  About the Role  This role is fully remote.  We are looking for a data scientist who is innovative, highly-motivated, and proactive. You will be an instrumental piece of a small team with a mandate to understand how Cryptowatch visitors and clients are utilizing the product. Succeeding in this role requires knowledge on architecting data systems, a deep understanding of how to measure user behavior, and ability to translate raw data in to easy-to-understand dashboards. You will work closely with marketers and product managers on the Growth team to design user behavior measurement infrastructure and translate data into insights that drive growth. Your work will directly impact the product roadmap and bottom line of the Cryptowatch business.  You will also help establish measurement of key conversion, retention, and usage metrics, then use them to identify opportunities for improvement in the product experience. What you’ll do Partner with engineering, marketing and product teams to identify, prioritize, and answer the most important questions where analytics and modeling will have a material impact. Drive cross functional analytic projects from beginning to end: build relationships with partner teams, frame and structure questions, collect and analyze data, summarize and present key insights in support of decision making. Work with engineers to evangelize data best practices and implement analytics solutions. Work with the Cryptowatch Growth team to design lightweight experiments that help us learn about customers and drive key growth metrics. Communicate key results with self-serve tools (dashboards, analytics tools) for leadership and product management. As the first data scientist on the team, you will create data collection and analysis processes and show the team what best-in-class analytics looks like. About You A degree in Statistics, Computer Science, Physical Sciences, Economics, Math or a related technical field. 5+ years industry experience in data science or analytics. A consistent track record of performing data analysis using Python, R, and/or SQL Experience using statistics and predictive analytics to solve complex business problems. You are quick to pick up new tools and frameworks. You are skilled in data visualisation and web analytics tools like Grafana and MixPanel. You are able to communicate effectively with businesspeople, designers, developers, marketers, product managers and the customer. We’re powered by people from around the world with their own unique backgrounds and experiences. We value all Krakenites and their talents, contributions, and perspectives.  Check out all our open roles at https://jobs.lever.co/kraken. We’re excited to see what you’re made of.  Learn more about us: Watch ""Working at Kraken"" Follow us on Twitter Catch up on our blog Follow us on LinkedIn"
Data Scientistnew;Mars;USA;United States;None;None;"A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM Mars Petcare Data Science & Analytics team is core to our strategy. We’re using digital, data and customer insights to transform our business by finding answers to problems that we’ve often never asked ourselves before. Our vast data assets are being combined to build a 360° view of pets and pet owners to not only power Kinship’s businesses but also influence the next great ideas in the pet care space. This role will be key in helping us understand the power of our data, and how this translates into value for our company, our pets, and pet owners everywhere. Frequently the projects will be ambiguous, but that’s part of the fun; you will determine the best way to leverage our data to tell the right story for any given audience. HOW YOU’LL CREATE A BETTER WORLD FOR PETS Apply advanced analytics & data science approaches to understand and predict pet and pet owner behaviors Collaborate with internal and external teams to ensure we focus on pet-centric product and service recommendations Support new pet technology businesses and partners by generating actionable insights from our data assets Develop compelling stories that provide insight into the drivers of business performance and pet/pet owner behavior WHO WE NEED TO CHART THE FUTURE OF PET CARE We strive to hire people who are passionate about our mission: Shaping the Future of Pet Care. For all of our Kinship roles, we look for candidates who exemplify our core values. We believe what we do is just as important as how we do it, and we aim to hire people who are: Optimistic Purposefully Inquisitive Open to All And for this role, we hope you have the following skills we require to knock it out of the dog park: Truly inspired by, and want to live, our purpose of creating a better world for pets. 4+ years’ experience in a data science role handling varied and complex data Varied technical experience in delivering statistical analytics, data science and insight on large-scale consumer data sets across multiple sectors, including packaged goods and retail Hands-on experience with Python is required; Familiarity with PySpark is also desirable Comfortable with ambiguity, with a passion for collaboration to achieve objectives A Bachelor’s degree in quantitative field (economics, statistics, business, computer science) or equivalent experience Passion for growing and strengthening a business using data driven approaches Familiarity with cloud-based computing services e.g. AWS, Databricks, etc. Enjoys explaining how technical concepts to both non-technical and technical stakeholders. WHY JOIN US? We offer our associates a unique opportunity to have a completely customizable career within pet care. Through Kinship you will work with and learn from a community of industry executives, pet partners, entrepreneurs, and fellow associates across our startup investment companies, outside partners, and in Mars Petcare. Our nimble and flexible approach to work allows you to make an immediate impact across businesses, while learning new skills at every stage. The diversity of our work opens doors to big opportunities and unlocks enormous potential for countless career experiences in pet care. Join us in our mission to chart the future of pet care, alongside the industry’s brightest minds. Kinship’s offices are global, and so are our associates. We are located in NYC, San Francisco, Portland, London, Helsinki, Shanghai, and in Moscow. Many of us flex between our dog-friendly hubs and our home offices. Today, Kinship offers exceptional benefits for you, your family, and your pets, generous paid time off, exponential opportunities to build a career within pet care, and progressive reward packages. Interested? Let’s take big strides, together."
Sr Data Scientist (work from home position);American Red Cross;USA;Washington, DC 20022;None;None;"Please use Google Chrome or Mozilla Firefox when accessing Candidate Home.  By joining the American Red Cross you will touch millions of lives every year and experience the greatness of the human spirit at its best. Are you ready to be part of the world's largest humanitarian network?  Job Description: The American Red Cross is looking for a seasoned Sr Data Scientist to leverage existing data to develop & execute predictive models and advanced analytics to help solve complex business problems. The Sr Data Scientist will use advanced techniques that integrate traditional and non-traditional datasets to enable analytical solutions. This person will also apply predictive analytics, machine learning, and optimization techniques to generate management insights and optimize business functions.  We are seeking candidates with a depth of knowledge in statistics, as well as hands-on experience building a range of predictive models using artificial intelligence and machine learning.  This position will work virtually from a home/office anywhere in the USA.  Responsibilities: Utilize advanced statistical techniques to create high performing predictive models and creative analyses to address business objectives and client needs. Tests new statistical analysis methods, software and data sources for continual improvement of quantitative solutions. Work with Business SMEs to create models which predict the outcome of key business processes Lead and contribute to data analysis and modeling projects from project or prototype design Gathering and analyzing data, identifying key prediction/classification problems, devising solutions and building prototypes. Follow industry trends in related data analytics processes and businesses. Develop high-performance algorithms for predictive analytics. Testing and implementing these algorithms in scalable, product-ready code. Qualifications  Ideal candidate will possess a PhD with at least 3+ years of data science expertise; However candidates with equivalent and relevant years of experience in lieu of Post graduate Degree will be reviewed Advanced applied statistics skills, such as distributions, statistical testing, regression, etc. Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc. Strong algorithmic problem solving and software development skills (R, Python, or similar) Demonstrated capability to develop proof-of-concept prototypes for experimenting with novel algorithms Demonstrated experience and accomplishments in the use of data mining, machine learning, and predictive analytics to address real-life problems. Past experience in analyzing large scale data and distributed algorithms Excellent analytical, communication (both verbal and written), interpersonal, and organizational skills. Must be able to communicate effectively and clearly present technical approaches and findings. LI-EH1 IND123  Apply now! Joining our team will provide you with the opportunity to make a difference every day.  The American Red Cross is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.  The American Red Cross is a diverse nonprofit organization offering its employee's professional development and growth opportunities, a competitive salary, comprehensive benefits, and a collaborative team spirit environment. To be considered for this position, please visit www.redcross.org/jobs to apply.  To view the EEOC Summary of Rights, click here: Summary of Rights"
Data Scientist, Juniornew;Booz Allen Hamilton;USA;Rome, NY 13441;None;None;"The Challenge: Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection, to cancer research, to national intelligence — you know the answers are in the data. We have an opportunity for you to use your analytical skills to improve the information processing capabilities of the US military. You’ll work closely with your customer to understand their questions and needs, and then dig into their data-rich environment to find the pieces of their information puzzle. You’ll implement algorithms, apply modern data science practices, research state-of-the-art artificial intelligence and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help military leaders make informed decisions. You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in advancing our country’s military. Empower change with us. You Have: 1+ years of experience with data analytics in professional or academic environment Ability to write code in multiple programming languages, including Python and one other modern language Ability to work independently on complex problems with evidence of doing so in past projects Secret clearance Pursuing a BA or BS degree in a STEM program or field Nice If You Have: Experience with conducting scientific research, publishing papers, or presenting work in a professional or academic environment Top Secret clearance Pursuing an MA or MS degree in a STEM program or field  Clearance: Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required. Build Your Career: At Booz Allen, we know the power of analytics and we’re dedicated to helping you grow as a data analysis professional. When you join Booz Allen, you’ll have the chance to: access online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk change the world with the Data Science Bowl—the world’s premier data science for social good competition participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government  You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications that directly impact your role? You may be able to take advantage of our tuition assistance, onsite boot camps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. We’ll help you develop the career you want as you chart your own course for success. We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change."
Data Scientist 1;PayPal;USA;Timonium, MD 21093;None;None;Job Description Responsibilities: Work with Synchrony Financial to conceive, design, and monitor credit risk management strategies to improve business profitability for consumer lending Analyze customer level information to determine the effectiveness of credit policies and recommend necessary changes to improve profitability Innovative use of data and processes to improve risk management strategies and the customer experience Determine the impact of strategy changes on delinquency and credit losses Analyze portfolio trends and communicate concise and actionable business strategies from vast amounts of internal and external data Present new strategy recommendations for senior management approval  Qualifications: Bachelor’s degree in Mathematics, Statistics, Operations Research, Finance, Economics or related quantitative discipline 1-2 years proven credit risk analytics experience or equivalent Must be an intuitive, organized analytical thinker, with the ability to perform detailed analysis Strong written, oral, and interpersonal skills a must including the ability to explain and/or present analysis Must have good business judgment with demonstrated ability to think creatively and strategically Aptitude and willingness to roll up the sleeves and get involved in the details Proficiency in SAS and Unix. SQL a plus Excel, Word, and PowerPoint proficiency Job_Description_Summary: PayPal has a partnership with Synchrony Financial (SYF) to underwrite PayPal-branded products. SYF and PPC are jointly responsible for managing the risk throughout the lifecycle of these credit products. This is an exciting organization where the contributions by the team members directly impact SYFs and PayPal's bottom lines and create experiences that our customers love. This role will be an analyst reporting into the Senior Manager responsible for working directly with Synchrony Financial to conceive, design, and monitor credit risk management strategies to improve business profitability for consumer lending. Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies. We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom. PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.
Data Scientistnew;Intelliloan;USA;Costa Mesa, CA;None;None;Intelliloan has been established for over 26 years and we are quickly growing! We are currently looking for a motivated, determined, and growth-driven individual to administer and manage our systems out of our Costa Mesa, CA location. As a Data Scientist, you will be responsible for managing, troubleshooting, providing reliable operation of our computer systems and other duties as assigned. The ideal candidate will have a strong sense of urgency, is detailed-oriented, and is collaborative. *This is a support role and does not require extensive experience, can be remote* Responsibilities: Activation of new users, providing login setup information and deactivating any inactive users Providing technical assistance and quickly troubleshooting issues Verifying levels of user access to specific applications, objects, tabs, and records by managing system security settings Developing maintenance reports to monitor data quality Analyzing reports in order to optimize and improve performance Ensuring high-quality user experience through continuous assessment of system workflows and distributions Actively loading leads to CRM system and sending out daily update reports on a daily basis Construct, test and manage system integrations within Velocify and other company systems Planning and launching weekly projects from start to completion Developing dialing campaigns and strategies within Five9 Qualifications: Bachelor’s Degree preferred but not required Must be highly proficient with SQL, with some knowledge of python Proficient in MS Office Suite Ability to troubleshoot system, user, data and process issues Detail-oriented and high analytical skills Strong written and verbal communication skills Benefits: Training and Growth Opportunities Medical, Dental, Vision, Life Insurance 401K with Matching Contribution Paid Time Off and Holidays 1st to 2nd year is 2 weeks per year 3rd to 4th year is 3 weeks per year 5+ years is 4 weeks per year 7 Holidays per year $1,000 Employee Referral Bonus Program Corporate Discount Entertainment Programs
