Poste;Métier;Pays;Ville;Entreprise;Contrat;Salaire;Description
Java Developer - Remote;Java;USA;Remote;Piper Companies;;$65,000 - $90,000 a year;"Description Piper Companies is seeking a remote Java Developer. The Java Developer will be responsible for the development of APIs. The ideal candidate for the Java Developer role will have strong Java experience.  Responsibilities for the Java Developer include: Collaborate with team members to build software products/applications Perform code reviews to ensure performance Contribute to the complete software development life cycle process  Requirements for Java Developer include: 3+ years of professional software development experience Strong hands-on Java experience Experience with backend API development Strong verbal and written communication Bachelor’s Degree in Computer Science and/or Computer Engineering preferred or relevant work experience  Compensation of the Java Developer: Salary Range: $65,000 - $90,000 plus a comprehensive benefits package  Keywords: JAVA;JAVA DEVELOPER;Software Developer;Software Engineer;microservices;spring;spring boot;REST;applications;Computer Science;Computer Engineering;benefits;Remote ZP Group - 16 days ago report job"
Entry Level Java Developer;Java;USA;Union City, CA;itech informatix;;;Qualification : Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering. (No prior experience in computing is required we will train the selected candidates). Candidates in US with a valid US Work Authorization need to apply Skills Required : Basic knowledge of Core Java. Should have knowledge in C, C++, Coding. Application development involving designing, coding, debugging and testing various software applications using applicable/prescribed technologies. Involve in Object oriented programming, design and analysis. Use various methodologies in software programming to accomplish modeling and simulation Some Benefits of Working with ITECH, Inc : We specialize in Java J2EE Placement E Verified Filing of H1B and Green Card. On the Job Technical Support Interview Preparation and Tips Mock Interviews for Functional and Technical Preparation for client Interviews Free Guest House accommodation to outstation candidates and provision of basic Groceries Extremely Strong Sales and Marketing team with solid network of Fortune 500 Clients On Time pay rolls 30+ days ago report job
UAS Intern;Java;USA;Pendleton, OR 97801;City of Pendleton;;$11.50 an hour;"All applications should be returned to the Human Resources office at 500 SW Dorion Ave., Pendleton OR 97801, or to human.resources@ci.pendleton.or.us.  The City of Pendleton is accepting applications for Summer interns to work approximately 2 months at the UAS Range. Interns will be responsible for: Assisting UAS Range staff in supporting drone operations at the range; assisting in creating new ground support systems; and exploring Innovation Center rapid prototyping equipment, which would include helping range customers in the use of these tools. Applicants will need: Interest in STEAM Excellent analytical and problem-solving skills Ability to work in teams Experience programming in C, C++, C#, Arduino, python, or Java; or Experience with CAD (Inventor, Solidworks, etc.); or Experience building radio-controlled vehicles; or Experience building robotic systems  Pay will be $11.50 per hour, no benefits. Applications are available at City Hall, 500 SW Dorion, or HERE. Completed applications must be returned to the Human Resources Office at the same address or sent to human.resources@ci.pendleton.or.us no later than the closing date of June 19, 2020. The City of Pendleton is an Equal Opportunity Employer. Release Date 6/3/2020 Just posted report job"
Teacher (DoDEA Virtual High School);Java;USA;Quantico, VA;US Department of Defense;;$46,845 - $153,653 a year;"Duties Summary Positions are open for the following subject areas: Teacher (English), Teacher (Computer Science), Teacher (General Science), and Teacher (Spanish)  IMPORTANT INFORMATION: If you are interested in applying, please follow this link: https://webapps.dodea.edu/eas/login.cfm  DO NOT apply via USAJOBS.  Applications submitted to USAJOBS WILL NOT receive consideration.  You must select Virtual School on your EAS application. Responsibilities The incumbent: Teaches specific courseware via the Schoology Learning Management System (LMS) to students participating in online learning. Monitors, tracks and evaluates student progress. Notifies DVHS administrators and the DVHS PPS department of any student progress issues. Works collaboratively and communicates regularly with appropriate staff, students, sponsors, and administrators. Supports, counsels, and motivates students to meet or exceed grade level standards Creates a positive learning environment and establishes good rapport with students and stakeholder Collaborates with other educators in required weekly digital learning communities (DLCs) to exchange ideas and utilize best practices for online learning. Personalizes instruction based on student need. Coordinates with Special Education and English Second Language staff to provide accommodations and/or modifications for students. Utilizes synchronous tools to provide same-time support for students. Uses multimedia technology to reteach or enhance courseware based upon student needs. Highly Desirable Skills: Experience in teaching online or blended courses Experience working with a Learning Management System (e.g. Schoology, Blackboard, etc.) Proficiency in using Microsoft Office, Google Applications for Education, and multimedia applications. Travel Required Not required Supervisory status No Promotion Potential None Job family (Series) 1710 Education And Vocational Training Requirements Requirements Conditions of Employment Male applicants born after December 31, 1959, must complete a Pre-Employment Certification Statement for Selective Service Requirement. Proof of U.S. Citizenship required. Direct deposit of pay is required. Two year trial period may be required. Appointment subject to a suitability/fitness determination, as determined by a background investigation. This position requires a Tier 1 (T1) investigation with Childcare Checks since its duties require interaction with children and youth under the age of eighteen (18) years of age. You may be required to sign a transportation agreement. You will be required to sign a mobility agreement, be available for worldwide placement, and be willing to rotate to any DoDDS or DDESS location. Individuals hired from the Continental United States (CONUS) and their family members (who are US citizens) are required to obtain Official Passports prior to departure to the overseas area. Qualifications Who May Apply: U.S. Citizens  Applicant must have at least a Bachelor's Degree.  Teacher, English - A major in English or a minimum of 30 SH in English. A maximum of 5 SH in speech and/or journalism may be counted toward meeting this requirement. Course work must include English literature, American literature, the teaching of composition (writing process), and a minimum of 12 SH in upper level English courses.  Teacher, Computer Science - A major in computer science, a minimum of 18 SH in computer science or 12 SH in computer science with additional qualification as a teacher of mathematics, science, or business is required. Course work must include programming languages such as JAVA, C++, VISUAL BASIC or other equivalent computer programming course work.  Teacher, General Science - A major in general science or a minimum of 30 SH in the field of science is required. Course work must include a minimum of 12 SH of upper level science courses. Applicant must also be certified in either Physics or Chemistry.  Physics - A major in physics or a minimum of 30 SH in the field of science is required. Course work must include a minimum of 12 SH in physics and a minimum of 12 SH of upper level courses in science.  Chemistry - A major in chemistry or a minimum of 30 SH in the field of science is required. Course work must include a minimum of 12 SH in chemistry and a minimum of 12 SH of upper level courses in science.  Teacher, Spanish - A major in foreign language or a minimum of 30 SH of foreign language course work in the subject area for which applying is required. A minimum of 12 SH of upper level foreign language course work is required. Education FOREIGN EDUCATION: If you are using education completed in foreign colleges or universities to meet the qualification requirements, you must show the education credentials have been evaluated by a private organization that specializes in interpretation of foreign education programs and such education has been deemed equivalent to that gained in an accredited U.S. education program; or full credit has been given for the courses at a U.S. accredited college or university. For further information, visit: http://www.ed.gov/about/offices/list/ous/international/usnei/us/edlite-visitus-forrecog.html Additional information DoDEA Employment Application System (EAS) - To apply go to:  https://webapps.dodea.edu/EAS/login.cfm  EAS allows educators seeking employment with the Department of Defense Education Activity (DoDEA) the ability to submit and manage their applications in an online environment. EAS provides the applicant the ability to update their information each year.  All DoDEA educator applicants may view their applications online and make changes to their application at any time.  To view your application: View application: click here https://webapps.dodea.edu/EAS/login.cfm Once there, log on as a returning user (not as a new applicant) with your user name and password. - Username - your last name and last 4 digits of your social security number, e.g. smith0000 - Password - whatever you chose (if you forgot your password, you can click on ""Forgot Your Password"" on the login screen under returning user).  How You Will Be Evaluated You will be evaluated for this job based on how well you meet the qualifications above. Once your complete application is received (via EAS) and the announcement has closed, we will conduct an evaluation of your qualifications and determine your ranking. The most highly qualified candidates will be referred to the hiring manager for further consideration and possible interview as vacancies occur. Background checks and security clearance Security clearance Not Required Drug test required No Required Documents Required Documents The following documents must be uploaded to your online EAS application. You must submit all required documents; otherwise your application will be considered incomplete.1. Online EAS application - Required2. Official Transcripts - Required3. Copy of State or Territory Certification/License or DoDEA License4. Eligibility documentation (SF-50, DD-214, etc.) - If applicable to you (Eligibility documentation may contain: Copy of latest SF-50, Notification of Personnel Action, if applicant has current or previous Federal civil service experience.*Photocopy of all OFFICIAL undergraduate and graduate college/university transcripts (front and back) with announcement number stated on them. To receive the maximum allowable credit you must include all transcripts (front and back) for each degree earned to include any additional courses currently in progress. Any transcripts submitted that are not in English or not official will be removed from the application and will not be considered. (Transcripts must be in English). Benefits Benefits A career with the U.S. Government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Learn more about federal benefits. Review our benefits Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time, or intermittent. Contact the hiring agency for more information on the specific benefits offered.  Help This job is open to The public U.S. citizens, nationals or those who owe allegiance to the U.S. usajobs.gov - 5 days ago report job"
Java Developers;Java;USA;Ann Arbor, MI;Nithya Information Systems;;$40 - $60 an hour;Job Detail Offered Salary 1000 Career Level Executive Experience 5-8 Years Industry IT Qualifications Degree Bachelor Job Description Job Description: High level responsibilities include interpreting functional design and requirements to design, develop and implement software solutions following the company’s agile development process. The position requires a minimum of 5-7 years of industry experience in writing solutions using Enterprise Java technology skills and experience. Software development primarily consists of developing server-side processes and APIs for multiple client applications. Position requirements: Lead-level understanding of Core Java 11 and above Demonstrable experience with Spring Framework 5.x, Spring Boot 2.x or higher. Demonstrable experience with Restful web services using JSON (JSON-API and/or GraphQL preferred) Demonstrable experience with Agile and Test-Driven development Demonstrable experience with JUnit, Mockito, Assert-J Experience with JMS and ActiveMQ Experience with database access using Spring JDBC template, JPA, Hibernate (against SQL Server, preferred but not required) Experience with behavior-driven testing frameworks like Cucumber and integration-testing frameworks like Selenium and SoapUI Experience with continuous integration systems like Jenkins and build tools like Maven High-level understanding of in-memory distributed data storage systems like memcache, ehcache, Hazelcast Bachelors or higher in Computer Science, Engineering or software development-related field 7+ years of overall software development experience Excellent communication skills Experience in a start-up environment is desired but not mandatory Development experience in a multi-tenant, multi-market, international eCommerce setting is desired Required skills JAVA Java Developer JAVA Developer Jobs 5 days ago report job
Jr. Software Developer - Remote;Java;USA;Raleigh, NC;Piper Companies;;$65,000 - $100,000 a year;Description Piper Companies is seeking a Jr. Software Developer – Remote for a growing cloud SaaS start up. The Jr. Software Developer – Remote will be responsible for the design, development, and implementation of new features to a brand new software product.  Responsibilities for the Jr. Software Developer – Remote include: Design, develop, and implement new backend services and applications Work with leadership and senior developers on how to build scalable, secure, and high quality code Collaborate with cross functional teams Thoroughly document work in an organized manner  Requirements for the Jr. Software Developer – Remote include: Proficiency in Java or Python Strong OO programming skills RESTful web service experience Excellent problem solver Strong verbal and written communication skills Bachelor’s Degree in Computer Science, Computer Engineering  Compensation of the Jr. Software Developer – Remote Salary Range: $65,000 - $100,000 plus a comprehensive benefits package including Medical (United), Dental (Guardian), Vision (VSP), and 401K (Voya through ADP)  Keywords: Java, OO, CS, CE, Computer Science, Computer Engineering, REST, API Development ZP Group - 23 days ago report job
Java Developer;Java;USA;United States;Brielle Technologies;;$88 an hour;Job Responsibilities: Looking for a Sr Java Developer with very good hands on experience Should have sound knowledge Java, JSP, Spring and Struts MVC Framework Have knowledge in WebLogic Portal Knowledge on Spring Boot, Spring Integration is preferred Must Have Skills Java/J2EE, JSP, Spring MVC & Struts Framework, PLSQL Desired Skills: Spring Boot, Microservices, Spring Integration, Pivotal Cloud 30+ days ago report job
Java Developer;Java;USA;Remote;Piper Companies;;$90,000 - $120,000 a year;Description Piper Companies is seeking a Java Developer in the Raleigh, NC area. The Java Developer will be responsible for the development of APIs. You will be working for a start up and will be working with cutting edge cloud technologies. The ideal candidate for the Java Developer role will have strong Java experience.  Responsibilities for the Java Developer include: Contribute in all phases of the development lifecycle Write well designed, testable, efficient code Continually engage in professional development  Requirements for Java Developer include: 7+ years of professional software development experience Experience with backend API development Strong verbal and written communication Bachelor's Degree in Computer Science and/or Computer Engineering preferred or relevant work experience  Compensation of the Java Developer: Salary Range: $90,000 - $120,000 Full Benefits: Healthcare, Dental. Vision, and 401K with match, etc.  Keywords: Java, java developer, Software Developer, Software engineer, API, REST, Spring, Hibernate, microservices ZP Group - 8 days ago report job
Rails & Java Software Engineers;Java;USA;Bethlehem, PA;Intelliquip;;;Work with our fun and hard working team — which includes one of the co-authors of the Agile Manifesto — to help chart the course for our web-based applications to meet our growing demand for modern, clean, awesome, responsive, UX. We are looking for awesome Rails/Java/DevOps engineers for: Rails stack with MongoDB, JavaScript, Zurb Foundation, etc. Full Java stack (Apache, Tomcat, SQL Server). DevOps who understand scalable, cloud-based solutions. Contact us now if you have: A passion for being a professional software craftsman Strong problem-solving skills, able to adapt to a wide variety of challenges The ability to generate high-quality, well-architected solutions The knack for staying on the leading edge of modern web app development Outgoing personality, able to work in a team environment and have fun debating architecture and alternative designs (but not ad infinitum :-)) A nut about test-driven and behavior-driven development (or willing to be guided) An interest in challenging problem domains: fluid handling mechanical equipment, mathematical algorithms, cool graphing requirements, etc. Skills & Requirements: Developer Responsibilities include: Help build out new products using Ruby, Rails, HTML5, JS, MongoDB, SQL Server, etc. Redesign and enhance existing complex Java applications to address new requirements or code maintenance / refactoring / bugs (the usual) Perform thorough testing of all code via BDD/TDD Provide assistance, direction and mentoring to junior developers as appropriate DevOps responsibilities include: Help improve our existing deployment strategy Help redesign a brand new infrastructure Multiple geographies (US, Europe) Fault tolerant, disaster recovery Load balancing Relevant Technologies: Ruby/Rails/MongoDB stack Javascript, CSS, SASS, HTML5 Java 2EE/Servlet, Tomcat, Apache, SQL Server Behavior- and Test-Driven Development Responsive web design, Zurb Foundation Git, Mercurial AWS, Heroku, Docker, et al Though we anticipate the successful applicant to have a few years of successively growing experience, we are not adverse to the “wunderkind” with a great aptitude and attitude! We prefer someone to be close enough to meet with/work in our new office in an awesome, historical, downtown Bethlehem, PA, location. But, given a stellar, proven, remote talent, we might be able to work something out. Applications can be sent to resumes@intelliquip.com Just posted report job
Java Developer;Java;USA;Limerick, ME;General Motors;;;"About GM There’s never been a more exciting time to work for General Motors.  To achieve our vision of a world with Zero Crashes, Zero Emissions and Zero Congestion, we need people to join us who are passionate about creating safer, better and more sustainable ways for people to get around. This bold vision won’t happen overnight, but just as we transformed how the world moved in the last century, we are committed to transforming how we move today and in the future. Why Work for Us Our culture is focused on building inclusive teams, where differences and unique perspectives are embraced so you can contribute to your fullest potential as you pursue your career. Our locations feature a variety of work environments, including open work spaces and virtual connection platforms to inspire productivity and flexible collaboration. And we are proud to support our employees volunteer interests, and make it a priority to join together in efforts that give back to our communities. Job Description The Role GM is undergoing a major transformation, both in how we operate and in how we will influence the future of transportation. Our talent acquisition team is on the forefront of this work, emboldening our culture by seeking out determined, innovative individuals who will join our team to help move us forward and achieve our mission. The Connected Customer and Mobility Solutions employees develop the technology enabling a new generation of connected vehicles. This technology is a key enabler to things like smarter car sharing programs, more advanced active safety and even autonomous driving. These capabilities exist through the largest implementation of 4G LTE in the automotive industry and a vehicle wired to collect thousands of data elements. Our environment requires an architecture that can support over 900,000 vehicle transactions per hour with sub-second response times. 4G LTE capability has been described as an ""untapped, under-appreciated opportunity"" valued at $350M in improved 2018 profits. The innovation our teams are driving is game changing to the consumer, to the industry and to the company. This Software Developer role requires a strong foundation in software development, support, data structures and databases. The Software Developer will work a project team of experienced developers and architects and ensures that designs and quality are meeting GM requirements. The Software Developer will be involved from sprint planning and see it through deployment. This role understands the value of an elegant software design and the importance of building solutions that matter. Creativity, drive, and initiative are imperative to the success of the Software Developer at GM. Additional Job Description Required Skills: Applicants must have strong core Java skills gained in a business environment along with the following technical skills and experience: 2+ years’ experience delivering Java / JEE Business Solutions (preferably recent experience in SpringBoot rest services) 2+ years’ experience of the full software development lifecycle (SDLC) delivering production components in a business-critical software environment following agile principals. 2+ years’ experience SQL/Oracle 2+ years’ experience with web technologies (ideally HTML 5, CSS 3, jQuery, JavaScript) 2+ years’ experience with OO analysis and design experience Experience in delivering enterprise solutions with Spring Framework using Spring boot, JDBC Security and Micro services Proficiency with Git, JDBC, SQL database-stored procedures and isolation levels, JPA, Web Services (REST and/or SOAP) and XML, messaging (Kafka) Proficiency with Agile Dev Techniques (including TDD, JUnit, Mocks, Pair Programming) Proficiency with CI/CD Technologies / Best Practices (Jenkins, Build pipelines, GitFlow, etc) Minimum Qualifications: 4-year College/Master's degree preferably in computer science, software engineering, information systems, mathematics, data analytics or statistics or equivalent experience Typical: At least 2+ years relevant experience in the business environment Experience with Agile teams that have regularly delivered software while practicing code review. Creating self-contained, reusable, and testable modules and components in front-end and back-end work GM Employees Only: Due to current circumstances our posting guidelines for employees have temporarily changed, please review these changes before applying. Link to Internal Posting Guidelines Diversity Information General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.  We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities. Today report job"
Online Coding Instructor;Java;USA;San Francisco, CA;CodeWizardsHQ;;$20 an hour;We are looking for part-time coding instructors to teach computer coding classes to school students (8-18 years old). Classes are taught online, so you will be working remotely from your home and utilizing a virtual classroom environment. Each class typically meets once per week and they are 1-hour long. There are 6-8 students per class. We provide a structured curriculum, teaching platform, and instruction materials. The primary role of a CodeWizardsHQ Instructor is to deliver the curriculum in an engaging way and ultimately be responsible for student retentionand parent satisfaction. Responsibilities – Deliver the curriculum in a fun and engaging way – Provide feedback for curriculum improvement – Engage with parents / students as needed – Positively advocate for the school and the program Requirements – Experience with the coding languages we teach – Experience teaching kids or adults – Computer purchased in the last five years, with microphone headset and high-speed internet access – A quiet workspace free of distractions FAQs How much is my compensation? You will be paid $20 per hour long session with potential for raises and bonuses based on student retention and parent satisfaction. What languages are you looking for instructors to teach? Our curriculum is quite broad based. We are looking for instructors who can teach any of the following – Scratch, HTML/CSS, Python, JavaScript, jQuery, MySQL, Java, Bootstrap. When will I be teaching? The highest availability of classes is between 10am – 10pm CT Monday – Friday and 10am – 5pm on Saturdays and 10am to 8pm on Sundays. How many classes will I be teaching? Initially, new instructors start with 1-3 classes per week. Based on how well students enjoy your classes, you would be given additional classes. Our instructors take between 6 to 20 classes per week depending on their availability. How long will I need to teach? Each of our courses is 12 weeks in duration. When you accept a class you are agreeing to teach for the full duration of that course. Job Type: Part-time Salary: $20.00 /hour Experience: programming: 1 year (Preferred) teaching: 1 year (Preferred) tutoring: 1 year (Preferred) Work Location: Fully Remote Schedule: Monday to Friday Other Indeed - 12 days ago report job
