Poste;Métier;Pays;Ville;Entreprise;Contrat;Salaire;Description
Pilote de service (H/F);Python;France;Courbevoie (92);ENGIE IT;;;ENGIE IT apporte les meilleures solutions IT à l’ensemble des BU du Groupe ENGIE et les aide à relever tous les défis énergétiques d’aujourd’hui et de demain. Avec nous, vous pouvez avoir à la fois l’agilité et la bienveillance d’une PME et la solidité et l’envergure d’un grand groupe. Rejoignez ENGIE IT et faites vivre l’IT au cœur de la transition énergétique en tant que : Pilote de service Data (H/F) Un emploi de la ligne Business Support IT Poste basé à Saint Ouen (93) / La Défense (92)  Qualifications Dans un rôle de Pilote de Service Data chez Datasolution, tu contribues à l’approche Data Driven Company du groupe ENGIE. Datasolution ? C’est une équipe dédiée à la Datavisualisation, Data Strategy, Datascience/Analytics, Performance Financieres. Au-delà de l'aspect technique, nous accompagnons les Métiers dans la définition de leurs besoins dans une démarche conseil. Principales missions : Gérer l'équipe (> 15 personnes + un offshore) tout en leur permettant d'exprimer leur créativité, contribuer à la transformation de l’organisation vers un centre d’excellence Data (révision des méthodes de travail et des processus, etc), définir des indicateurs de performance et veiller à la bonne réalisation des projets dans le respect de ces derniers, assurer la satisfaction client, suivre le capacity planning et la rentabilité du périmètre, faire évoluer notre catalogue de service. Compétences techniques : Tu parles Data couramment , Dimensions, indicateurs, algorithme et KPI sont ton quotidien. Quelques mots clefs pour décrire le périmètre technique : Power BI / Microstrategy / AWS / SAP / Python / Angular / D3.js / MS BI / Mulesoft. Compétences transverses et managériales : Tu maîtrises la gestion de projets et le reporting budgétaire. Tu as une expérience significative en gestion d'équipes et en pilotage d' activités sous-traitées . Tu sais créer, gérer et développer une offre de service . Pour permettre des échanges fluides avec les entités internationales, tu as un bon niveau d'anglais . Compétences comportementales : Ton aisance relationnelle et ta très bonne communication te permettront d'animer la communauté Data du groupe ENGIE. Une bonne dose de leadership et une capacité à fédérer te seront également très utiles pour le gérer. Ta rigueur te permettra de faire évoluer les équipes tout en répondant aux attentes de nos métiers. Ta forte capacité d'analyse, ton sens de l'écoute et ton empathie te permettront d'accompagner au mieux le métier. Tu as le sens du service et tu es adaptable aux environnements complexes . Audacieux, flexible et autonome, tu apprécies le travail en équipe et tu as envie de fédérer les acteurs projets autour d'un objectif commun ? Parlons en ensemble !  Emploi : Digital et IT Lieu principal : Europe-France-Île-de-France-Courbevoie Organisation : ENGIE IT Horaire : Temps plein Nature de responsabilité : Cadre confirmé / Responsable d'équipe Publication d'offre : 11 mai 2020, 10:47:07 ENGIE - Il y a plus de 30 jours - Continuer pour postuler Signaler un abus
Développeur (F/H) DEV-PRE-PNL80;Python;France;Nancy (54);Premista;;;Notre groupe Groupe PREMISTA, leader français du regroupement de crédits et acteur majeur de l’intermédiation, 500 salariés, 12 marques. Dans le cadre de notre développement, nous recrutons un(e) Développeur(euse) Le projet Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour accompagner la croissance très forte du groupe. Vous serez amené(e) à travailler sur le refactor complet de nos outils métier et à en développer de nouveaux. Au sein d’une équipe scrum, vous développerez les user stories préparées par le Product Owner, vous aurez l’opportunité d’être réellement force de proposition au quotidien sur tous les sujets technologiques (choix d’architecture, choix de technologies, frameworks, librairies, …) Vous rejoindrez notre nouvelle équipe à Nancy. Votre profil Vous avez entre 0 et 10 ans d’expérience (ou même plus) en développement back-end ou full-stack ? Vous maîtrisez un ou plusieurs langages ou frameworks (PHP OO 5.6+, PHP/Symfony, Python, Angular, React, Vue, …) ? Vous avez une bonne connaissance de MySQL/MariaDB (ou PostgreSQL) ? Vous avez une expérience pratique des approches agiles/scrum ? Vous voulez rejoindre une équipe en pleine croissance à la recherche de nouveaux talents ? Ce job est pour vous ! Type d'emploi : Temps plein, CDI Expérience: d ou similaire: 1 an (Souhaité) Il y a plus de 30 jours Signaler un abus
Ingénieur programmation H/F;Python;France;Fontenay-sous-Bois (94);Segula Technologies;;;"Description de l'entreprise Accélérez votre carrière au sein d’un groupe d’ingénierie mondial à forte croissance. Chez SEGULA Technologies, vous travaillerez sur des projets passionnants et contribuerez à façonner l’avenir au sein d’une entreprise pour qui l’innovation est indissociable de l’ingénierie. Impression 3D, réalité augmentée, véhicule autonome, usine du futur… rythment le quotidien de nos 12 000 ingénieux collaborateurs, pourquoi pas le vôtre ? À côté de chez vous ou à l’autre bout de la planète, vous trouverez chez SEGULA Technologies l’opportunité qui donnera un sens nouveau à votre carrière !  Description du poste Dans le cadre de nos activités ferroviaires, nous recrutons un Ingénieur programmation H/F pour le compte de l'un de nos clients acteurs majeur du ferroviaire. A ce titre vos missions sont les suivantes: Réaliser la documentation de l’outil (document de spécification, de conception et manuel utilisateur et de maintenance); Assister les opérateurs lors de dysfonctionnement; Assurer les évolutions de l’outil; Participer au maintien en condition opérationnelle de l’outil. De plus, il pourra être décidé de porter les outils de la première génération vers des architectures Big Data : Vous serez alors partie prenante dans cette activité. En plus, le titulaire prendra en charge la réalisation des maquettes et l’interface avec les équipes cliente en charge de l’implémentation des outils sur le Data Lake. Concernant cette génération d’outils, le Titulaire devra : Capter les besoins opérationnels auprès des systémiers Réaliser le cahier des charges des outils et/ou des évolutions Réaliser le maquettage en agilité Maintenir la maquette, tant qu’elle est en phase opérationnelle Assister les services pour le portage des outils et/ou des évolutions sur le data Lake  Qualifications Ingénieur programmation Perl, PHP, VBA, Python (4 à 6 années d’expérience) Savoir-faire métier: Connaissances avancées des langages de programmation : PgSQL, Perl, PHP, VBA, Python Connaissance des technologies Big Data mises en oeuvre Connaissance générale: Shell Bash, C#, JavaScript Environnement GNU/Linux Capacité à analyser Capacité à synthétiser Capacité à rédiger des documents techniques. Savoir être: Capacité à prendre des initiatives, être force de proposition Curiosité technique Capacité à s'adapter au contexte et au changement Autonome, méthodique et rigoureux  Informations complémentaires SEGULA TECHNOLOGIES est une entreprise attachée à la mixité et à la diversité, nous reconnaissons et recrutons tous les talents. Il y a plus de 30 jours - Continuer pour postuler Signaler un abus"
Métreur - Conducteur de travaux H/F;Python;France;Val-de-Marne;PYTHON;;2 500 € par mois;PYTHON est une entreprise de travaux du bâtiment qui exécute ses interventions au moyen d’accès multiples, nacelle, échafaudage ou cordes. Nos domaines d’intervention sont principalement effectués sur les immeubles d’habitation et immeubles de bureaux, et consistent en la maintenance du patrimoine, travaux de maçonnerie, peinture et étanchéité. Responsabilités principales Gérer les demandes de devis sur une des régions de l’Ile de France, au départ des bureaux de Bonneuil, en coordonnant les rendez vous de visite, les demandes clients. Prise en charge d’une catégorie de client, ou d’une zone géographique complète. Compétences Savoir faire: Connaissance des métiers du bâtiment et gestion de l’outil informatique Créativité: faire preuve d’imagination et trouver des solutions Capacité d’adaptation: curieux des nouveautés techniques. Avantages : Véhicule de fonction Titre-restaurant / Panier Type d'emploi : Temps plein, CDI Salaire : 2 500,00€ /mois Lieu: Val-de-Marne (Souhaité) Certificats et autres accréditations: Permis B (Requis) il y a 2 jours Signaler un abus
INGÉNIEUR DÉVELOPPEMENT LOGICIEL PYTHON (H/F);Python;France;Grenoble (38);Médiane Système;;;Nous recherchons un Ingénieur Développement Logiciel Python (H/F) pour rejoindre l'équipe R&D de notre client basé à Grenoble. Vous serez en charge de développer un outil de simulation de comportement de stations de distribution de bio carburant. Dans un premier temps, vous accompagnerez l'équipe dans la phase de compréhension / expression du besoin et prendrez ensuite en charge la phase de développement dans son ensemble. Le logiciel sera développé en python, avec une interface graphique permettant de construire une station comprenant du matériel et une charge appliquée ( nombre de voiture ou camions / jour ). Ce logiciel a pour but d'évaluer la rentabilité / efficacité de la station. De formation BAC+5 en informatique, vous bénéficiez d'une expérience de 3 ans minimum en développement logiciel. Vous disposez d'excellentes compétences en Python et d'une bonne connaissance en base de données ( SQL et no SQL). Enfin, vous avez idéalement des connaissances en API web car l'application doit s’exécuter sur un serveur distant. La lecture de cette offre suscite votre intérêt ? Vous souhaitez en savoir plus ? Et si vous passiez à l'étape suivante ? --------------------------------------------------------------------------------------------------------- Quelques mots sur Médiane Système ... Créée par des Ingénieurs POUR des Ingénieurs, Médiane Système est une société d’ingénierie technique à taille humaine spécialisée depuis 30 ans dans les métiers de la conception et du développement de systèmes embarqués pour l’industrie (logiciel embarqué et applicatif, électronique numérique/analogique, IIoT, cyber sécurité, bancs de tests). Participer à l’aventure Médiane Système, c’est travailler sur des projets stimulants et variés au cœur des évolutions technologiques industrielles. Du secteur ferroviaire au médical, en passant par l’énergie, l’automobile, l’aéronautique ou bien les télécoms, nos équipes interviennent dans des environnements technologiques de pointe innovants et exigeants. Retrouvez quelques-uns de nos projets sur notre site internet : https://www.medianesysteme.com/metiers/projets. Intégrer Médiane Système, c’est aussi rejoindre une communauté de spécialistes où vos compétences professionnelles seront reconnues, cultivées, enrichies et où vos qualités personnelles seront développées. Permettre à nos collaborateurs de se réaliser, c’est avant tout les écouter et les comprendre. Ainsi, tous les managers sont issus de la technique et parlent votre « langage ». Une carrière adaptée pour réaliser vos ambitions Nous mettons tout en œuvre pour construire, ensemble, une carrière à votre image, à la hauteur de votre potentiel et de vos exigences. Expertise technique, encadrement, gestion de projets, qualité, c'est vous qui choisissez ! Cet accompagnement se réalise dans le cadre de formations adaptées et continues (internes et/ou externes) et d’un plan d’évolution de carrière clair et personnalisé en fonction de vos aspirations. Vous voulez en savoir plus ? Envoyez-moi votre CV ou contactez-moi directement sur LinkedIn : https://www.linkedin.com/in/amandine-larlet/. À tout de suite ! Amandine LARLET Chargée de Recrutement à Grenoble Avantages : Participation au transport RTT Titre-restaurant / Panier Type d'emploi : Temps plein, CDI Salaire : 34 000,00€ à 50 000,00€ /mois Expérience: Développeur Logiciel Pyhthon (H/F): 3 ans (Requis) Télétravail: Temporairement en raison du COVID-19 Il y a plus de 30 jours Signaler un abus
INGENIEUR D'ETUDES EN TRAITEMENT DE L'INFORMATION 6 MOIS (H/...;Python;France;Palaiseau (91);ONERA;;;"Présentation de l'ONERA L’ONERA, acteur central de la recherche aéronautique et spatiale, emploie environ 1950 personnes. Placé sous la tutelle du Ministère des Armées, il dispose d’un budget de 236 millions d’euros dont plus de la moitié provient de contrats commerciaux. Expert étatique, l’ONERA prépare la défense de demain, répond aux enjeux aéronautiques et spatiaux du futur, et contribue à la compétitivité de l’industrie aérospatiale. Il maîtrise toutes les disciplines et technologies du domaine.  Présentation du département Le département DTIS décline dans son périmètre la mission de l’ONERA, dont le cœur est de développer et orienter les recherches dans le domaine aérospatial. Ce périmètre couvre les thématiques suivantes : identification et commande des systèmes, perception et traitement de l'information, intelligence artificielle et décision, Ingénierie des systèmes et des logiciels, ingénierie cognitive et interaction homme-système, mathématiques appliquées et calcul scientifique, conception et optimisation des systèmes, sûreté et sécurité des systèmes cyber-physiques, robotique et autonomie. Ses activités concernent les finalités Aéronautique, Espace, Défense, avec pour principales applications les aéronefs (avions de transport, avions de combat, drones, dirigeables, hélicoptères, …), les systèmes aérospatiaux (système de transport aérien, lanceurs, satellites, …), les systèmes d’information (systèmes de veille, de localisation…), les systèmes de défense (missiles, systèmes de systèmes, …).  Missions Auprès de l'unité Simulation, Infrastructure et Intégration de Modèles (S2IM), vous intégrerez une équipe spécialisée dans le domaine Systèmes de Systèmes couvrant 4 périmètres (Défense, Spatial, Sécurité Civile et Aéronautique). Dans les systèmes d'information opérationnels que nous avons à étudier, la fonction DRIL (Détection, Reconnaissance, Identification et Localisation) est très importante. Dans le cadre d'une étude contractuelle pour un grand programme d'armement, nous recherchons un ingénieur ayant des connaissances sur cette chaîne DRIL (à travers les différentes étapes du traitement de l'information, de l'acquisition de la donnée jusqu'à la fusion d'information). L’objectif est d’exploiter des données hétérogènes pour améliorer la compréhension de la scène dans le cadre d’utilisation d’un réseau de capteurs. Les compétences nécessaires relèvent des mathématiques appliquées, et concernent principalement des méthodes de traitement numériques telles que l’estimation par filtrage, les techniques de classification (K-means, réseaux de neurones,…). Par ailleurs, des connaissances en traitement d'images pour traiter de la partie DRI seront appréciées. Pendant sa mission, le candidat devra : s’approprier la problématique contractuelle faisant l’objet du poste ; mener un état de l’art sur la chaîne DRIL et en particulier sur la fusion pour la trajectographie multi-cible ; implémenter les algorithmes sélectionnés dans une plateforme de test ; évaluer les algorithmes les plus pertinents ; rédiger les rapports techniques à l’issue de l’évaluation.  Profil Ingénieur/Docteur avec spécialisation traitement de l’information Bonne connaissance en estimation, traitements statistiques, probabilités Bonne connaissance en simulation numérique Expérience souhaitée dans le domaine du développement logiciel Une bonne connaissance des langages Python et C/C++ serait appréciée  Job Reference: ONERA00194 il y a 6 jours - Continuer pour postuler Signaler un abus"
Développeurs Commando Python H/F (FIM);Python;France;Levallois-Perret (92);Devoteam;;;DESCRIPTION DU POSTE Fi-Makers, entité conseil & métier spécialisée sur les secteurs de la Banque, Finance et Assurance du Groupe DEVOTEAM, recherche dans le cadre de sa croissance un ou plusieurs profils : Développeurs Commando Python Rattaché(e) directement chez un de nos clients (poste basé en Ile de France), au sein des équipes Front Office, vous aurez pour principale mission la conception et le développement dans des délais courts d’outils de mesure et de calcul destinés aux traders, middle & back officers. Vous serez amené à réaliser les tâches suivantes : Développements conformes aux besoins exprimés Tests unitaires Tests techniques UAT Support utilisateurs Maintenance évolutive Formation utilisateurs QUALIFICATIONS De formation Bac +5 (École d'ingénieurs ou Universitaire), vous justifiez d’au moins 2 ans d'expérience sur des projets en développement en Python Compétences techniques recherchées : Python VBA JUPYTER Vous disposez d’une bonne connaissance en Finance de Marché et sur l’ensemble des produits financiers, d’un excellent relationnel et d’une forte résistance au stress Aujourd'hui - Continuer pour postuler Signaler un abus
(alternance) développeur informatique java, python, ... F/H;Python;France;Paris 3e (75);Hesperie Conseil;;806 € par semaine;L'entreprise HESPERIE CONSEIL est un cabinet de conseil spécialisé en Finance des Marchés et Asset Management. HESPERIE CONSEIL propose ses prestations haut de gamme aux institutions du monde de la finance, Banques de Financement et d’Investissement, Asset Managers et autres acteurs de «l’industrie financière». Les expertises que nous proposons relèvent du Conseil en Organisation, Maitrise d’Ouvrage Maitrise d’œuvre spécialisée, Analyse Quantitative Risk Management afin de répondre aux problématiques de nos clients, du front au back. s  Description du poste Nous recherchons des candidats pour des formations en alternance sur des postes de développement informatique : Développeur Python, PHP, Web, JAVA, ... Administrateur de base de données Data scientist etc ... Nous proposons les formations disponibles chez OpenClassroom mais vous pouvez choisir une autre école si celle-ci dispose d'un cursus en alternance. Veuillez consulter la brochure pour connaitre les conditions d’éligibilité et découvrir le contenu de la formation : https://openclassrooms.com/fr/... et rythme de cette alternance en ligne Cette formation dure de 12 à 24 mois et vous mobilisera 5/7 jours. Le rythme de votre alternance est à définir avec votre entreprise, il est généralement 2 jours de formation et 3 jours en entreprise par semaine. Votre semaine sera divisée en deux parties. Durant vos jours de formation : vous suivrez vos cours et réaliserez vos projets en ligne. Vous serez accompagné par un expert métier jusqu'à votre diplôme, avec qui vous aurez un rendez-vous chaque semaine en visioconférence. Durant vos jours en entreprise : vous serez chez votre employeur et réaliserez les missions dont vous aurez la charge, afin de mettre en pratique tout ce que vous aurez appris. Contrat et rémunération Vous serez employé par votre entreprise dans le cadre d'un contrat d'apprentissage ou d'un contrat de professionnalisation. Nous vous invitons à vérifier votre éligibilité au contrat visé dans la brochure ci-dessus. Votre formation est gratuite pour vous, et vous bénéficiez même dès le 1er jour d’une rémunération correspondant à un pourcentage du SMIC (ou, dans certains cas, du salaire minimum conventionnel). Concrètement nous vous proposons une rémunération minimum de 806€ + avantages divers (mutuelle, tickets restaurant et remboursement partiel des frais de transport, ...). Trouver votre entreprise d’accueil Si vous êtes sélectionné pour intégrer cette formation après l’entretien d’admission, Nous vous trouvons votre entreprise d’accueil. Nous travaillons principalement avec des grandes institutions financières : Banque de financement et d'investissement, Assurance Gestionnaire d'actifs, Si votre profil correspond à leurs besoins, notre équipe travaillera en direct avec vous pour trouver le poste qui vous correspond, vous aider à décrocher des entretiens et vous accompagner pour la signature du contrat. Type d'emploi : Temps plein, Apprentissage Formation: Baccalauréat + 3 Langue Français et Anglais  Compétences requises Profil Recherché : De formation supérieure Bac +3 Curieux, et bonnes capacité à dialoguer avec différentes équipes il y a 28 jours - Continuer pour postuler Signaler un abus
développeur PYTHON / Freelance;Python;France;Paris (75);PRIUM PARTNERS;;450 € par jour;Nous recherchons de façon urgente un Développeur Python  Compétences attendues Maitrise du langage Python et des principales librairies Pratique courante de l’agilité et du DevOps Connaissance d’Airflow serait un plus Une expérience d’au moins 2 ans de développeur Python Capacité à travailler en équipe et à transmettre ses connaissances.  Stack Technique CI /CD : TFS, Bitbucket (ou équivalent), Jenkins Ordonnancement : Airflow (ou équivalent) Langage : Python Cloud : AWS Décisionnel (serait un plus) : SSIS, SSRS, Tableau, S Freelance-info - Publiée à l'instant - Continuer pour postuler Signaler un abus
Python developer - Data extraction (stage / job étudiant);Python;France;Paris (75);Innoscape;;;Innoscape est une startup RetailTech d’intelligence de marché digitale. Nous analysons les canaux de distribution et fournissons des outils d’aide à la gestion marketing et commerciale. Notre plateforme de BigData as a Service fournit à nos clients, grandes marques B2C, la visibilité opérationnelle d’un seul clic afin de contrôler leur présence en magasin, optimiser les actions de leurs forces de vente, traquer le référencement des produits concurrents et leurs prix de vente, analyser les avis consommateurs… pour gagner des parts de marché. Notre technologie et business model ont été validés et nous préparons l’expansion suivante. Role and Responsibilities: Design, develop and maintain web scrapers. Leverage the existing platform to perform distributed web information extraction, retrieval and data processing. Identify and resolve performance and scalability issues with distributed crawling at scale. Help identify, debug and fix problems with already existing crawlers. About you: Current student majoring in a B.S/M.S program in Computer Science or Software Engineering. Proficient in Python, HTTP, XML, HTML, JavaScript. Demonstrated understanding on SQL databases, Linux/UNIX environment and Networks. Good communication in written and spoken English is a plus. Before sending your resume, take a moment to self-asses yourself – this will help you to understand if you can fit well with the rest of our team: – Do you like taking initiatives? – Are you a true team player? – Are you considered as reliable and trustful? – Are you transparent in communication with peers? – Do you have a strong desire to deliver quality service and results? – Can you handle pressure, change and fast-paced environment? Il y a plus de 30 jours - Continuer pour postuler Signaler un abus
