Poste;Entreprise;Pays;Ville;Type de contrat;Salaire;Description
Alternance - Data Scientist H/F;Malakoff Humanis;France;Paris 9e (75);Apprentissage, Contrat pro;None;Contrat ALTERNANCE Finalité du poste Au sein du service DATA, vous participerez à la mise en œuvre des méthodes /techniques de Data science pour répondre à la mise en œuvre d'un produit DATA répondant à une question majeure du métier. Vos missions Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront: étudier des données disponibles qui permettront de définir les données qui seront utilisées dans l'élaboration du produit data selon les règles de conformité groupe et accord du Data identifier les données complémentaires à obtenir récupérer et analyser les données identifées pour le produit data à mettre en œuvre identifier la problématique des directions métiers pour réaliser le(s) modèle(s) initial(aux) et les évolutions successives répondant à la problématique élaborer les mécaniques anticipant l'évolution des données utilisées dans les modèles élaborer les systèmes auto apprenant élaborer le monitoring des modèles mis en œuvre modéliser les résultats pour les rendre exploitables par les managers et la direction générale supporter la direction métier dans la définition des KPI permettant de mesurer la valeur attendue, contribuer a leur analyse et la définition du plan d'action d'améliorations des algorithmes s'assurer de la mise en place des conditions d'industrialisation sur l'ensemble des dimensions organisationnelle, compétences, outils.... mettre en place la boucle d'apprentissage permettant l'amélioration des algorithmes Profil recherché Vous préparez un Bac+5 en alternance dans le domaine de la Data Science, Mathématiques appliquées, statistiques et informatiques, ou de type écoles d'ingénieurs. Vous connaissez les enjeux des directions métiers assurance. Vous avez une appétence forte pour la gestion des données. Et une première expérience en data science et en particulier en machine Learning. Vous connaissez les environnement Big Data. Vous aimez travailler en équipe et êtes un bon communiquant (écrit et oral). Vous avez des capacités d'écoute et d'analyse ainsi qu'un sens du contact, une disponibilité et une réactivité. La connaissance des outils d'analyse de données, d'exploration de données et de la programmation ainsi que de R et Python seraient un plus
Data Scientist H/F;AGYLIS;France;La Défense (92);Temps plein, CDI;40 000 € - 50 000 € par an;AGYLIS est un acteur important des Entreprise de Services du Numérique qui figure parmi le Top 300 des acteurs de l’IT Française. Avec un chiffre d’affaires de 10 M€, nous accompagnons nos clients sur les nouvelles technologies, le Décisionnel et le Digital. Nous intervenons auprès de clients Grands Comptes reconnus des secteurs de la Banque, des Assurances, de l'Industrie, de la Grande Distribution pour la conception, la réalisation et la maintenance de leur système d'information et de gestion. Pour 2020, nous avons pour ambition de réaliser une forte croissance sur l’ensemble de nos entités de Nantes, Lyon, Paris et Montréal. Nous recherchons pour l'un de nos clients un Grand Compte dans le domaine Bancaire Un(e) Data Scientist (H /F ) . Objectifs de la mission et tâches Le consultant interviendra au sein d’une équipe IT pour l'entité dédiée aux Cautions de crédits : Particuliers et Professionnels . La mission portera sur le suivi de POC Machine Learning et la proposition de solution d'intégration / industrialisation des modèles algorithmiques développés par les équipes Risques : Accompagnement des équipes Préconisations de bonnes pratiques de développement Python orienté ML Structuration de projet de type ML/DL Intégration de containers Docker Relais technique envers les interlocuteurs (francophone / anglophone) Participation aux projets suivant les sollicitations Gestion de l’environnement de DEV (Serveurs, BDD, etc.) Préconisations CI/CD Préconisations Cloud (AWS, Azure) langage Python - pratiques Machine Learning / Deep Learning. - web service - Cloud - Docker Profil : Ecole d’ingénieur ou Master avec spécialisation data/tech ou statistique. Expérience significative en Python. Connaissances avancées en Excel, VBA est un plus. Bonnes compétences statistiques et mathématiques appliquées. Expérience dans l'utilisation / la création d'API est un plus. Bon relationnel et bonnes compétences en communications à l’oral et à l’écrit Type d'emploi : Temps plein, CDI Salaire : 40 000,00€ à 50 000,00€ /an Expérience: da ou similaire: 1 an (Souhaité)
DATA SCIENTIST- F/H;Ingeniance;France;La Défense (92);CDI;None;Contexte: Vous assurez la production, la conception et la mise en oeuvre des nouvelles solutions ainsi que la définition des standards et de la stratégie et serez également en charge du développement de l'Intelligence Artificielle et de la Data Science appliquée à l'infrastructure informatique d'une grande banque d'investissement.  Missions: Formaliser des problématiques business (infrastructure IT) en projet de data science Proposer des évolutions des produits existants ou de nouveaux produits Contribuer au développement de MVP et de data products de production Contribuer au suivi et à l'amélioration continue des data products en production Proposer et mettre en oeuvre l'industrialisation du machine Learning  Environnement: Scoping des projets et définition des portefeuilles de projets Data Science Suivi et réalisation des projets de data science Maquettes ou MVPs Bonnes pratiques data science Pipelines industriels de machine learning Profil recherché: Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse. Bonnes pratiques de la data science Vous justifiez d'une expérience en finance de marché, alliée à un bon niveau en anglais. La disponibilité, la résistance au stress et le sens de la gestion des priorités sont également indispensables.   INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.  Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.  Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
Data Scientist and Innovation Engineer H/F;HIPAY;France;Levallois-Perret (92);None;None;"Notre métier HiPay est une Fintech Européenne spécialisée dans les solutions de paiement Omnicanal. Acteur innovant et en recherche constante d’amélioration, nous accompagnons plus de 4 000 marchands en France et à l’international. L’idée est simple: proposer une offre globale, performante et innovante permettant à nos marchands d’offrir un parcours d’achat fluide et une expérience de paiement agréable. Bien plus qu’une prestation de paiement: nous exploitons la puissance de la donnée liée à la transaction et permettons à nos marchands d’avoir une connaissance approfondie de ses clients. Click & Collect, web-to-store/store-to-web : vous nous avez peut-être utilisé récemment sans le savoir! Pour en savoir plus: https://hipay.com/ Notre identité Résolument digitale et innovante. HiPay se définit à travers un collectif débordant d’énergie, où les mots “agilité”, “bienveillance”, “autonomie” ou encore “partage” prennent tout leur sens. Ce que nous proposons Rejoindre une entreprise en pleine croissance Relever de véritables challenges, se dépasser au quotidien Un parcours d’intégration sur mesure Évoluer dans un environnement international Travailler mais pas que: Échanger, partager et rire Une super coach d’anglais en interne Du café à volonté, des fruits (bio) tout au long de la semaine Des pauses déj’ animées, des afterworks et des soirées tout au long de l’année  Ton (futur?) job Au sein de l'équipe Data Science composée de deux Data Scientist et un Data Engineer, tu auras pour missions de: Détecter des projets de data science prometteurs et qui ont un intérêt métier; Comprendre les besoins exprimés par les équipes métiers; Collecter et manipuler les données puis entraîner les modèles adéquats; Présenter tes résultats de manière pédagogique aux équipes; Accompagner la mise en production des modèles; Participer à la vie de l'équipe de Data Science en partageant tes idées, tes réfléxions et ton expérience aux autres membres de l'équipe. Le processus de recrutement 1: Un 1er échange avec ton futur Manager et une Talent Acquisition Manager 2: Un petit test technique réalisé à distance puis un debriefing avec le Manager 3: Un échange avec notre CTO et le Head of Product en charge de la tribu Data Science. Localisation Les locaux de HiPay sont situés à Levallois-Perret, accessibles par la ligne 3 (arrêt Pont de Levallois) et la ligne 1 (arrêt Pont de Neuilly). Le poste peut également être localisé dans nos bureaux nantais.  Ce job est fait pour toi si… Tu viens d'obtenir ton Doctorat dans un domaine quantitatif (ex: Machine Learnig, mathématiques appliquées, informatique ou physique) et tu recherches ton premier CDI; Tu maîtrises Python (Pandas, Sklearn, Keras) et les bases de données (SQL ou NoSQL); Tu préfères travailler en équipe avec des interlocuteurs divers; Solidaire, créatif.ve, rigoureux.se : c'est tout toi; Tu es à l'aise pour présenter tes résultats et prendre la parole en public; Idéalement, tu t'y connais un peu en deep learning"
ASSISTANT DATA SCIENTIST;Total;France;Nanterre (92);Apprentissage, Contrat pro;None;Monter un système de reporting pour la direction des opérations Extraction, uniformisation et structuration des données Collecter, sélectionner et valider les données clients pertinentes pour l’analyse. Définir les solutions de stockage et la structuration des données. Convertir, coder et cartographier des données de consommation ou d’usage produit dans un format compréhensible par l’ensemble des collaborateurs. Améliorer la qualité et enrichir les bases de données de la direction des opérations. Déterminer les outils et méthodes d’acquisition de données depuis un ensemble de bases techniquement hétérogènes. Concevoir l’architecture d’un entrepôt de données décisionnelles. Maîtriser la qualité des données tout au long de leur traitement. Modéliser et assurer les mises à jour régulières de la base de données Développement d’outils de reportings pour la direction des opérations. Analyser l’ensemble des données pour développer des systèmes efficaces d’aide à la décision. Participer au développement des indicateurs de performance commerciale de l’entreprise. Fournir aux chefs de régions des leviers statistiques décisionnels pour le management des points de ventes Animer les ateliers d’expression des besoins internes et rédiger les cahiers des charges. Écrire et rédiger la spécification des besoins à destination des DSI ou de la maîtrise d’ouvrage. Déterminer les outils de reporting dynamique et multidimensionnel. Présenter les résultats des études réalisées aux clients internes. Former les utilisateurs aux outils informatiques et décisionnels. Contexte et Environnement Qui sommes-nous ? ARGEDIS, filiale à 100% du groupe TOTAL, est en charge de l’activité boutique et restauration des stations-service TOTAL autoroutières, jalonnements et villes.  ARGEDIS emploie près de 3000 salariés. Argedis opère sur trois domaines : le travel-retail, la restauration et la proximité. Vitrine du groupe TOTAL, nous devons notre succès à une constante innovation et à des équipes toujours à la recherche de l’excellence opérationnelle afin de faire vivre à nos clients des expériences pleines d’énergie !  Nous recherchons un alternant motivé pour rejoindre notre équipe ! Au sein de la Direction Opérationnelle et Commerciale, en interface entre le siège, la force de vente, les stations-service et les partenaires, l’alternant/alternante apportera son support pour développer les outils des équipes opérationnelles. Pleinement intégré(e) à l’équipe durant son alternance, le/la candidat(e) aura la possibilité d’avoir un aperçu complet du poste d’assistant data scientist Profil recherché Profil : Vous préparez une formation bac+5 du type Ecole d'ingénieur ou équivalent universitaire avec une spécialité en data science, statistiques, ou informatique.  Excellente maîtrise des outils et du langage informatique, des techniques d’analyses des données et des méthodologies statistiques Qualités requises Faire preuve de rigueur et d’organisation Etre passionné de chiffres et de statistiques Avoir un esprit d’analyse et une concentration développés Une aisance rédactionnelle Savoir respecter des règles de confidentialité et de non divulgation d’informations sensibles  Réfèrence 29331BR Métier 'Systèmes d'Information Métiers Région, département, localité 92 - Hauts-de-Seine Localisation (Précisions/Mots-clés) NANTERRE Type d’emploi Alternance Durée du contrat 12 Unité de temps Mois Niveau d’expérience requis 0- 3 ans Employeur (si connu) ARGEDIS Branche Marketing & Services Lieu des entretiens NANTERRE A propos de nous/Profil de l'entreprise BETTER ENERGY NEEDS YOU Donnez le meilleur de vous-même à l’énergie ! Rejoignez TOTAL : plus de 500 métiers différents dans 130 pays. Une entreprise responsable avec des standards de sécurité et d’éthique forts, des perspectives d’évolution de carrière variées, une culture de l’innovation et une mission partagée par les 100.000 collaborateurs du Groupe : rendre l’énergie meilleure jour après jour. Tâche arrivée à expiration 06-Jul-2020
Alternance Data Scientist H/F;Fortuneo;France;La Défense (92);Apprentissage, Contrat pro;None;Au sein de l’équipe Datamining, équipe jeune et passionnée, vos missions principales seront : Comprendre les besoins communiqués par les métiers, Proposer des modèles (de la phase d’exploration à l’industrialisation) sur différents cas d’usage (par exemple : risque de crédit, détection de fraude, segmentation client), Réaliser des études quantitatives ad-hoc pour accompagner les métiers dans leur prise de décision et améliorer la connaissance client. Profil recherché Etudiant(e) en école d’ingénieur ou en master avec une spécialisation en Data Science et/ou statistique : Les prérequis : Vous maîtrisez un langage de script (R/Python) et SQL, Vous avez de bonnes connaissances en statistiques et en machine learning (modèles prédictifs, segmentation, analyse de séries temporelles…), Vous aimez travailler en équipe et avez bon relationnel, Vous êtes rigoureux(se) , organisé(e) et possédez une capacité d’analyse et de synthèse. Les plus : Vous avez une première expérience sur des plateformes Cloud (GCP / AWS), et des environnements Big Data (Hadoop, Hive), Vous connaissez les outils de DataVisualisation (Tableau…), Vous êtes à l’aise sur Linux. Ce que nous pouvons vous apporter : Des projets diversifiés à fort impact, Un contact avec le métier, Rejoindre une équipe jeune, dynamique et passionnée, La possibilité de vous investir au sein d’une structure innovante à dimension humaine.
DATA SCIENTIST / MACHINE LEARNING RESEARCHER INTERN;Joko;France;Paris (75);Stage;None;DESCRIPTIF DU POSTE Tu seras responsable du développement d'algorithmes de Machine Learning et de la réalisation d'analyses de données avancées. Tu travailleras au sein de l'équipe Data Science en interaction directe avec l'équipe de développeurs. Selon sa nature, un accent “recherche” pourra être donné au stage (avec notamment des possibilités de publications). Voici une liste non-exhaustive des missions possibles durant le stage : Tu travailleras au développement et à la constante amélioration des algorithmes de recommandation d'offres au sein de l'application, afin d'offrir l'expérience la plus personnalisée possible à nos utilisateurs. Tu participeras à la continuelle évolution des algorithmes permettant de qualifier le plus précisément possible la donnée brute envoyée par les banques. Tu réaliseras des analyses de données avancées afin d'appuyer la prise de décisions et la stratégie des équipes commerciales et des équipes produits. Tu participeras à toutes les étapes du processus de développement, depuis la modélisation des problèmes jusqu'au déploiement des modèles en production. PROFIL RECHERCHÉ Tu as le profil idéal si : Tu es autonome, créatif et tu sais gérer ton temps et ta to-do comme personne Tu as de bonnes connaissances dans différents domaines du Machine Learning Tu es un expert en Python Tu sais résoudre des problèmes complexes et abstraits Tu as éventuellement déjà travaillé avec des séries temporelles et des réseaux de neurones récurrents, ou tu es familier avec des algorithmes d'analyse de graphe Tout ce que tu pourras apporter d'autre sera le bienvenu, c'est important pour nous de constituer une équipe aussi diverse que possible en termes d'expériences, de cultures, de passions, etc. INFORMATIONS COMPLÉMENTAIRES Type de contrat : Stage (4 à 6 mois) Date de début : 10 août 2020 Lieu : Paris, France (75001) Télétravail total possible
Data scientist (h/f) - Alternance;Maisons du Monde;France;Paris (75);Temps plein, Apprentissage, Contrat pro;None;"Le programme data du groupe Maisons du Monde a presque quatre ans déjà, et se compose d’une trentaine de personnes (data scientists, data analysts, data engineers, business analysts). Les cas d’usages à développer vont du marketing digital (CRM, acquisition trafic, personnalisation/recommandation) à la supply chain. L’infrastructure data, développée dans l’équipe, est basée sur Google Cloud Platform. Les résultats sont là : nous sommes mis en avant par les équipes Google quant à l’usage de leurs outils cloud !  Dans une ambiance jeune et dynamique, où le travail d’équipe est mis en valeur, nous recherchons un(e) alternant(e) Data Scientist. Vous participerez activement à la vie de l’équipe en collaborant étroitement avec les data scientists, data engineers et business analysts. Les missions seront variées (structuration de la chaîne Big Data, Dashboarding, Analyse Ad Hoc, R&D sur le Machine Learning) et demandent de la rigueur.  Missions : Vous êtes impliqué(e) dans votre travail ; Vous travaillez en étroite relation avec notre responsable data science pour aider à la création des algorithmes nécessaires pour les cas d’usages développés pour les équipes métier ; Vous mettez en place les nouveaux flux d’entrée et de sortie au sein de la plateforme data, et allez jusqu’au modeling et à l’activation de la donnée ; Vous assurez le delivery, et êtes constamment en veille sur les nouvelles technos. Environnement Technique : Google Cloud Platform ; Big Query, SQL-like, Dataflow; Python ; ML & DL, Tensorflow ; Docker, Kubernetes, Airflow ; Qlik Sense ; Et tout autre outil que vous jugerez pertinent !  Alternance basée à Paris (8e), proche de la gare Saint-Lazare  De formation supérieure en école d’ingénieur/université, vous êtes proactif et êtes intéressé par les problématiques business et technique (un test technique devra être réalisé) . SAVOIR-FAIRE Vous êtes intéressé par les technologies Big Data en production sur de fortes volumétries de données. Vous maîtrisez le développement en Python ; Vous souhaitez comprendre et maîtriser la chaîne Big Data, de la récupération de la donnée jusqu’à son exploitation finale. SAVOIR-ETRE Vous avez l’esprit d’équipe et êtes impliqué(e) dans votre travail au quotidien ; Vous êtes curieux (se), rigoureux (se), structuré(e) ; Vous avez hâte de proposer des améliorations et les partager ; A l’externe, vous participez à des événements de l’univers Big Data (meetups, conférence, etc.)."
Alternant(e) Data Scientist H/F;TF1;France;Boulogne-Billancourt (92);Apprentissage, Contrat pro;None;Type de contrat: CDD Profession.  Métier: Digital, Data, Développement web  Société: TF1 SA  Faisons connaissance Première chaîne de télévision généraliste française, le Groupe TF1 ne compte pas que ses chaînes.  En effet, TF1 a engagé depuis plus de 25 ans une diversification de ses activités et est devenue un groupe de communication intégré qui développe au-delà de son cœur de métier, des activités sur des segments porteurs tels que la production audiovisuelle, le digital, la télévision payante, le e-commerce mais aussi l'exploitation de salles et la production de spectacles, les licences et les jeux.  Au sein de la Direction Innovation et Digital, l’équipe Data & Analytics renforce la stratégie globale de groupe TF1 avec un objectif principal : la création de valeur à partir des données collectées.  A ce titre l’équipe Data & Analytics accompagne toutes les directions métiers et développe des outils innovants et des modèles algorithmiques qui permettent d’optimiser l’expérience client, de piloter la performance et de monétiser les données en déployant en production différents projets stratégiques, à forte visibilité. Votre rôle au sein de l’équipe Au sein de l’équipe DATA, vous aurez pour missions de développer les outils statistiques et informatiques du DataLake.  Vous apporterez vos connaissances dans le traitement et l’agrégation de données provenant de sources variées et hétérogènes (logs techniques, bases CRM, études, réseaux sociaux, données marché,…). Egalement, vous aurez pour mission de mettre en place des processus d’alimentation de données dans l’optique de création de modèles statistiques dans le cloud (Microsoft Azure).  Tout au long de l’année, vous serez amené(e) à : Approfondir les nouvelles techniques de traitements des plateformes big data Mettre en place des alimentations de données dans le but de statistiques Intégrer les données en base grâce aux différents outils de manipulation de données Développer des rapports simples en Tableau  Localisation du poste Lieu de travail : Boulogne Billancourt Vos atouts pour faire la différence Etudiant(e) en fin de cycle informatique et BigData, datascience ou équivalent Rigoureux(se), vous avez un bon esprit de synthèse et un raisonnement structuré Vous avez des connaissances en : Python / SQL / Machine Learning
Alternance - Data Scientist H/F;Malakoff Humanis;France;Paris 9e (75);Apprentissage, Contrat pro;None;Contrat ALTERNANCE Finalité du poste Au sein du service DATA, vous participerez à la mise en œuvre des méthodes /techniques de Data science pour répondre à la mise en œuvre d'un produit DATA répondant à une question majeure du métier. Vos missions Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront: étudier des données disponibles qui permettront de définir les données qui seront utilisées dans l'élaboration du produit data selon les règles de conformité groupe et accord du Data identifier les données complémentaires à obtenir récupérer et analyser les données identifées pour le produit data à mettre en œuvre identifier la problématique des directions métiers pour réaliser le(s) modèle(s) initial(aux) et les évolutions successives répondant à la problématique élaborer les mécaniques anticipant l'évolution des données utilisées dans les modèles élaborer les systèmes auto apprenant élaborer le monitoring des modèles mis en œuvre modéliser les résultats pour les rendre exploitables par les managers et la direction générale supporter la direction métier dans la définition des KPI permettant de mesurer la valeur attendue, contribuer a leur analyse et la définition du plan d'action d'améliorations des algorithmes s'assurer de la mise en place des conditions d'industrialisation sur l'ensemble des dimensions organisationnelle, compétences, outils.... mettre en place la boucle d'apprentissage permettant l'amélioration des algorithmes Profil recherché Vous préparez un Bac+5 en alternance dans le domaine de la Data Science, Mathématiques appliquées, statistiques et informatiques, ou de type écoles d'ingénieurs. Vous connaissez les enjeux des directions métiers assurance. Vous avez une appétence forte pour la gestion des données. Et une première expérience en data science et en particulier en machine Learning. Vous connaissez les environnement Big Data. Vous aimez travailler en équipe et êtes un bon communiquant (écrit et oral). Vous avez des capacités d'écoute et d'analyse ainsi qu'un sens du contact, une disponibilité et une réactivité. La connaissance des outils d'analyse de données, d'exploration de données et de la programmation ainsi que de R et Python seraient un plus
