Poste;Entreprise;Pays;Ville;Type de contrat;Salaire;Description
Développeur Back End F/H;SPB;France;Le Havre (76);None;None;Venez participer à la transformation digitale de SPB ! Rejoignez la pizza team et construisons ensemble de nouvelles expériences client  Nous recherchons un(e) : Développeur Back End F/H CDI Temps plein basé au Havre- Siège Social  Au sein de la 2e plus grande DSI de Normandie, directement rattaché(e) au Responsable du Département Business Custom Development, vos activités s'orientent autour de l'analyse (spécifications détaillées), du développement, de la qualification, de la documentation et de la maintenance des applicatifs. Les missions : En méthodes agile et SCRUM, vous serez en charge de projets innovants et variés Langage de programmation JAVA, Angular, Spring Boot, React JS Utilisation de base de données relationnelle Conception, modélisation et architecture d'applications n-tiers, Intégration et qualification d’applications, résolution de problèmes  Le profil : Passionné par l'informatique, les nouvelles technologies et l’UX, vous disposez d’une expérience de 3 à 5 ans en tant que développeur. De nature autonome, curieuse et adaptable, vous appréciez travailler en équipe en méthodes SCRUM et AGILE. Le cadre de travail : Sur l’open space, vous travaillez en coworking avec une équipe jeune, dynamique, technophile et prête à partager ses connaissances, vous serez accueilli au sein de la pizza team dès votre arrivée et vous aurez la possibilité d’évoluer dans un environnement stimulant et innovant. SPB est situé en face de la gare du Havre à 1h de Rouen et à 2h de Paris. Venez profiter d’un cadre de vie agréable en bord de mer ! Les beaux jours arrivent ! Ce que l’on propose : Un salaire négociable en fonction du profil + Mutuelle + Tickets Restaurant Un poste en CDI évolutif avec des perspectives de carrière au sein d’une DSI de 70 personnes Des vrais moments de convivialité Un esprit d’équipe et d’entraide Possibilité de télétravail  L’entreprise : Leader européen des assurances et services affinitaires pour de grandes marques, SPB, courtier gestionnaire compte près de 1800 collaborateurs répartis dans 17 pays. Entreprise familiale indépendante fondée en 1965, SPB opère en marque blanche (B2BtoC). Notre métier : accompagner la conception, le développement et gérer des programmes d’assurances, d’extensions de garantie et de services associés à des produits de téléphonie mobile, nomades, bancaires ou encore liés à l’énergie, la santé, le voyage, les loisirs, la prévoyance ainsi qu’aux biens de la maison. Tous nos métiers sont ouverts aux personnes en situation de handicap. SPB est partenaire du dispositif F.A.R.E (Famille Accompagnement Réseau Estuaire) by CCI qui vous accompagne, vous et votre famille, dans votre mobilité professionnelle sur le territoire Seine Estuaire. Toutes les informations sont disponibles sur le lien suivant : https://www.seine-estuaire.cci.fr/fare
Développeurs Laravel & Vue.js - H/F;Progress9 - Experience Hotel;France;Paris 9e (75);CDI;45 000 € par an;Nodejs / Laravel / Vue-js / Mysql / Es6 Full Stack Developer / CDI / Environ 45k€ / 3 - 6 ans / Paris  Le poste Nous recherchons des développeurs passionnés, champions de Laravel et de Vue.js pour relever des défis complexes au sein de l’équipe, des développeurs qui tirent satisfaction d’un code de haute qualité, à l’épreuve du temps, un code qui rend tout à coup la vie plus facile à des milliers de personnes. Persistants à l'extrême, cherchant sans arrêt à se former et à coller au mieux aux best practices. Également capables de faire face à la complexité du legacy code à refactor. Vous êtes en outre capables de communiquer avec des non-informaticiens et de véritablement comprendre leurs besoins. Vous serez amené(e)s à travailler sur des interfaces complexes de Back Office à destination des équipes internes, des clients de la société et finalement à destination des voyageurs de notre clientèle hôtelière. Notre produit phare “Experience Hotel” équipe plus de 1000 hôtels et groupes hôteliers et leur fournit un vaste éventail d’outils pour les épauler dans la gestion de leur relation client, l’ Les responsabilités Conception des cahiers des charges Développement Front & Back Support / Maintenance Encadrement d'une des équipes de développeurs Améliorer les process internes Pourquoi venir chez nous? Nous sommes une entreprise en plein développement, où de nombreuses responsabilités sont encore à prendre, et notre road map est pleine d'innovation et de projets passionnants !
Web Analyst Technique - H/F;BPCE SA;France;Paris 13e (75);CDI;55 000 € par an;"Javascript / Html5 / Css-3 / Tealium / Adobe-analytics Analyste Data Marketing / CDI / Environ 55k€ / 3 - 6 ans / Paris  Le poste Au sein de la direction ""Digital & Data"", l’équipe services digitaux clients a la responsabilité des canaux digitaux de la banque de détail dans un objectif d’augmentation de la satisfaction client, de faciliter la réalisation par les clients des opérations courantes en autonomie (selfcare) et de développement du PNB issu des canaux digitaux. Le Web Analyst travaille en forte collaboration avec les Product Owners qui ont en charge un produit ou une fonctionnalité de la banque en ligne afin d’améliorer en continue le parcours utilisateur. Le profil idéal est un ancien développeur avec une forte appétence sur la data digitale. Le Web Analyst doit être capable de comprendre les besoins métiers, de les traduire en plans de taggage pour les développeurs et de rendre accessible les données collectées aux différents métiers demandeurs. Il doit être capable de comprendre, challenger et accompagner les différentes équipes techniques sur les sujets liés au tracking. Les responsabilités Implémentation du taggage via Tealium (ajout de tag, gestion des règles de déclenchement, mapping des variables…) sur des parcours web et sur l'application mobile. Développement en JS via le TMS pour l’implémentation de tags customs en Javascript Développer les AB tests et personnalisation via l'outil Kameleoon dans les langages HTML, CSS et JS Suivi et compréhension de l'audience de nos sites et applications afin de proposer des recommandations d'amélioration de l'expérience utilisateur Etre force de proposition dans les analyses, développement et collaborer avec les équipes métiers et techniques Pourquoi venir chez nous? En rejoignant BPCE SA et plus particulièrement nos équipes ""Digital & Data"", vous aurez l'opportunité de travailler sur des sujets touchant directement nos clients et prendrez part à la révolution digitale dans le domaine bancaire. Vous intégrerez un groupe qui se donne les moyens d'être à la hauteur de ses ambitions dans une ambiance conviviale (équipe travaillant dans des espaces de co-working)."
Développeur web;Newlions sarl;France;La Saline les Bains (RE);Temps plein, CDI;25 000 € - 30 000 € par an;L'agence Digitale NEWLIONS recherche un développeur web De formation Bac + 3 à +5 en informatique, vous justifiez d'une première expérience réussie sur un poste de développeur web front end / back end.- Missions Implémentation web des éléments visuels et interactifs créés par le designer de l'agence (Intégration HTML/CSS/JS des chartes graphiques). Développement et maintenance des composants associés aux CMS que nous développons dans l'agence en PHP from scratch.- Compétences Vous possédez une bonne connaissance des outils de développement type Visual Studio Code ou PHPStorm, de la programmation orientée objet et de l'univers du web en général. Vous maitrisez les technologies PHP / Mysql, HTML5, CSS3, Javascript et avez de bonnes notions dans des librairies javascript reconnues. Vous avez une appétence particulière pour le Design en général et une capacité à travailler avec des Designers. La connaissance des bibliothèques React et React native serait un sérieux plus dans votre candidature. Savoir être : Rigoureux, Logique, Motivé, Curieux, Sociable, Passionné. Rémunération selon profil et compétences Type d'emploi : Temps plein, CDI Salaire : 25 000,00€ à 30 000,00€ /an Expérience: PHP/React: 1 an (Souhaité) HTML/CSS/JS: 2 ans (Souhaité) Développeur: 2 ans (Souhaité) Télétravail: Temporairement en raison du COVID-19
Stagiaire Développeur front end H/F;L3M;France;Rosny-sous-Bois (93);Temps plein, Temps partiel, Stage;None;"Pour faire face à nos besoins en interne et à ceux des commerçants partenaires, L3M cherche son nouveau stagiaire développeur front-end ! Nous avons actuellement une boutique existante à maintenir et devons créer de nouveaux sites de e-commerce de A à Z (design, développement, vente). Nous souhaitons également développer des applications Shopify (plugin pour les boutiques). Vos missions seront les suivantes : Développer des thèmes from scratch Shopify à destination de nos clients Ajouter de nouvelles features aux thèmes pré-existants chez nos clients Maintien de nos sites existants et développement de nouveaux Conseiller les clients à l'utilisation de Shopify (choix d'apps, connaissance du backoffice...) Les technologies sont celles des thèmes Shopify, soit HTML / SCSS / Liquid / JS. La structure des thèmes Shopify étant très spécifique, nous mettrons à votre disposition des cours online pour vous former aux bonnes pratiques du développeur Shopify ;) Ne vous inquiétez pas cependant, avec le développement de thèmes from scratch, vous aurez de réels challenges techniques et une certaine liberté. Vous travaillerez avec un chef de projet qui sera le point de contact avec les clients. Le profil recherché : Solide connaissance et expérience front-end Intérêt et curiosité pour le HTML/CSS Intérêt pour le e-commerce, idéalement connaître un CMS Localisation : en remote pour le moment Compétences souhaitées html css javascript ajax jquery accessibilité référencement cms shopify liquid Début du stage : ASAP Type d'emploi: Stage de 6 mois minimum (temps plein ou partiel) possibilité de contrat à l'issue du stage sous condition Lieu d'exécution: Rosny sous bois, La Courneuve, télétravail. Type d'emploi : Temps plein, Temps partiel, Stage Type d'emploi : Temps plein, Temps partiel, Stage Expérience: développeur: 1 an (Requis) Langue: Anglais (Souhaité)"
Développeur Node.js H/F;SQLI;France;Levallois-Perret (92);CDI;None;A propos de SQLI Créée en 1990, SQLI est une agence internationale dédiée à l’expérience digitale et spécialisée dans la conception, la mise en œuvre et le déploiement mondial de plateformes de Commerce Omnicanal. Un positionnement unique au confluent du conseil, du marketing et de la technologie, permet à ses équipes d’experts d’accompagner durablement les grandes entreprises et marques européennes dans le développement de leurs ventes et de leur notoriété ainsi que leur efficacité, en réinventant l’expérience client, partenaire et collaborateur. Ses 2400 collaborateurs sont répartis dans 32 agences dans 13 pays : France, Suisse, Luxembourg, Belgique, Royaume Uni, Irlande, Allemagne, Suède, Pays Bas, Danemark, Espagne, Afrique du Sud et Maroc. Le Groupe SQLI a réalisé en 2018 un chiffre d'affaires de 232 M€. Depuis le 21 juillet 2000, la société SQLI est cotée sur Euronext Paris (SQI).  Site web : http://www.sqli.com Position Développeur Node.js H/F  Vous êtes un développeur ES6 / Node.js … Vous souhaitez vous investir dans un environnement technique innovant. Votre expérience dans le développement web ainsi que votre connaissance de l’écosystème Javascript, vous permet d’être force de proposition sur nos projets, que ce soit sur notre site de Levallois-Perret ou directement chez nos clients.  Profil Compétences Requises : Javascript / ES6 (Connaissance des principaux design patterns, modélisation) Module et Environnement Node (npm Yarn, webpack, …) Frameworks (Apollo, Express) Outils de développement (VScode, Webstorm) Rédaction technique (Spécifications Techniques, Architecture IT, Solution Design)  Compétences additionnelles appréciées : Architecture Web (Serveurs Nginx, Services Redis/Elastic/MangoDB). Développement dirigé par les tests : TDD (Karma) CI/CD (Beaucoup avec Gitlab CI, un peu avec platform.sh, rarement avec Jenkins). Bonnes pratiques qualité Web (Référentiels Opquast et OWASP) English : If you are able to understand this sentence, it’s a good beginning. La connaissance de solutions tel que Strapi.io est un plus. Notre Mindset : Esprit d’équipe : Dynamique, vous êtes attaché à la réussite du collectif : tout seul on va plus vite, ensemble on va plus loin ! Engagement : rigoureux, vous allez au bout des choses. Vous aspirez à produire un code élégant et efficace. Curiosité : Toujours en veille, vous êtes à l’affut des nouveautés technologiques et vous aimez échanger (Events, conférences, communauté Backend SQLI, meet up, etc…) Vous vous êtes reconnu dans cette description ? N’hésitez plus : Rejoignez-nous ! Votre futur écosystème : Un département vivant qui veille au bien-être de ses collaborateurs (challenge, animations...) Une agence dynamique aux profils variés (UX/UI Designers, Content Managers, Project Managers, Architectes, Web Marketers,…) Une organisation orientée delivery : vous travaillerez au sein de nos locaux ou en équipe intégrée chez nos clients.  Un processus de recrutement efficient : vous rencontrerez Heddi aux RH et l’un de nos lead tech Back end.
RARE |Développeur Node.Js et/ou Angular 6 | E-santé / Big da...;In-Team;France;Paris;None;None;Le poste Dans un environnement ultra-dynamique, futuriste en termes de techno et sous la direction du directeur technique, rejoignez l’équipe composée de 30 développeurs. Après un transfert de connaissance et une formation liée aux multitudes technologies, vous participez à la croissance et à l’internationalisation d’un acteur à la pointe dans son domaine. Votre développement aura un vrai impact sur comment les gens pourront se soigner. L’idée est donc de façonner le futur de la médecine avec votre équipe. Stack technique : Node.Js|Angular 6|Postgre|Python|AWS| Kubernetes|Docker Les responsabilités – Faire évoluer la plateforme côté back et/ou front de la solution – Travailler sur l’algorithme – Travailler sur des problématiques liées à l’innovation – Participer aux workshops – Participer aux tables rondes afin d’innover coté techno Pourquoi venir travailler pour ce client ? Parce que vous êtes persuadé que la santé doit être simple et accessible au plus grand nombre. Parce que vous voulez participer à un des projets les plus innovants dans la santé qui a une portée réelle sur notre société et le bien-être des personnes. Parce que c’est en investissant dans les idées de chacun qu’on avance, vous êtes force de proposition et vous serez écouté pour vos idées. Pour terminer, vous voulez rejoindre une start-up qui a levé plus de 25 millions d’euros pour que les déserts médicaux et le mal être au travail disparaisse. Salaire et avantage : – 40-45 pour les juniors – 50-60 pour les confirmés – Locaux agréables, lumineux et très bien situés au cœur d’un quartier vivant – Très bonne mutuelle – Ticket restaurant – Possibilité de monter très rapidement en compétences – Bonne autonomie et bon accueil des initiatives (toutes les idées sont bonnes à prendre)
Développeur Fullstack JS | Junior diplômé | Logiciel | E-San...;OCTOPUS IT;France;Paris (75);Temps plein, CDI;38 000 € - 45 000 € par an;"La société Cette startup de près de 80 salariés est l’un des acteurs majeurs de la santé connectée et de la télémédecine en France. Son but est de s'attaquer au problématiques que rencontre la médecine du travail en améliorant : la prise en charge, l’accompagnement et le suivi de millions de travailleurs tout en faisant gagner du temps médical aux médecins. Forte de levées de fonds de plusieurs dizaines de millions d'euros, et d'une solution au carrefour de l'IOT, de la Data et du Web, ils ont pour ambition de poursuivre les innovations et de proposer leur solution à d’autres pays européens. C’est dans ce contexte, qu’ils recherchent un développeur Fullstack JS. Le poste Participer à la conception, au développement back (et front si tu le souhaites); Participer à la mise en production et à l’amélioration continue; Améliorer la performance des applications; Assurer la qualité du codebase. La stack Angular 8, NodeJS, ES6, Python, Kubernetes, Docker Votre profil Ecole d’ingénieur, Ecole ou Master en Informatique, Docteur Expérience développement JavaScript ( Angular/ React/ Node) Passionné Salaire et avantages 38K/45K€ selon profil 10 RTT Tickets restaurants Mutuelle, prévoyance Transport Ce qu’on préfère Participer à une solution utile qui a un impact réel et positif sur la Santé pour des millions de personnes; Améliorer les conditions de travail de milliers de médecins et infirmières; Relever de beaux challenges techniques de performance et de scalabilité; Évoluer au sein d’un environnement technique ultra moderne; Partager son quotidien avec une équipe pointue, sympa, bienveillante. Remarque en cette période de confinement liée au Coronavirus : Les entretiens se feront au maximum par téléphone et par visio. Je reste disponible pour toute question. Amaury Avantages : RTT Participation au transport Titre-restaurant / Panier Type d'emploi : Temps plein, CDI Salaire : 38 000,00€ à 45 000,00€ /an Expérience: Développeur Fullstack JS: 1 an (Souhaité) Télétravail: Temporairement en raison du COVID-19"
RARE |Développeur Node.Js et/ou Angular 6 | E-santé | Au cœu...;In-Team;France;Paris (75);None;None;Vous maitrisez Le node.js et/ou Angular ? Et si vous rejoignez une entreprise qui révolutionne la santé connecté en entreprise ! Vous intégrerez ici une équipe de 40 personnes dont 30 dans l’équipe IT dans des locaux super avec un cadre idéal de travail. Situé dans le centre de Paris proche des champs Elysées. Cette startup a déjà levé plus de 25 millions d’euros, autant vous dire que le projet est sérieux et super intéressant et que leur croissance n’est pas prête de s’arrêter en si bon chemin. Leur projet est simple ils ont la volonté de digitaliser la santé au travail grâce à leur solution déjà opérationnel et qui ravi déjà les premiers clients. Leur solution va permettre de faire gagner du temps à tout le monde et surtout de pouvoir apporter une réelle plus-value à la médecine française en générale. Cette startup ne se repose pas sur ses lauriers et continu d’évoluer en travaillant maintenant sur un autre projet plus complexe qui viendrait en complément. Si vous cherchez une entreprise solide avec une vision à long terme à vous de jouer ! Dans un contexte de très grosse croissance, nous recherchons un développeur maitrisant le Node.Js ou Angular ou bien les deux. Stack technique : Node.Js|Angular 6|Postgre|Python|AWS| Kubernetes|Docker Venez donc les rejoindre dans leurs superbes locaux au cœur de Paris dans un quartier actif et dynamique! Votre mission : Faire évoluer la plateforme côté back et/ou front de la solution Travailler sur l’algorithme Travailler sur des problématiques liées à l’innovation Opportunité : Intégrer une structure dynamique avec un esprit startup Travailler avec une superbe équipe : compétente, dynamique et avec une grosse cohésion. Intégrer une structure en pleine croissance Salaire et avantages : 40-45 pour les juniors 50-60 pour les confirmés Locaux agréables, lumineux et très bien situés au cœur d’un quartier vivant Très bonne mutuelle Ticket restaurant Possibilité de monter très rapidement en compétences Bonne autonomie et bon accueil des initiatives (toutes les idées sont bonnes à prendre) Cette opportunité vous intéresse ? Vous avez envie de vous investir ? Alors n’hésitez plus et faites-moi parvenir votre CV dès à présent ! Si vous souhaitez avoir d’autres informations sur cette opportunité, je vous invite à me contacter également.
Développeur React JS / React Native;Match Group;France;Paris (75);None;None;"Vous connaissez Meetic, Match, OkCupid ou Tinder ? C’est nous ! En 15 ans, 8 millions de couples se sont formés grâce à Meetic. Des services de rencontre disponibles en 11 langues, dans 15 pays et répondant à des millions de recherches par jour. On pourrait vous donner encore beaucoup de chiffres, vous parler de notre mission, nos valeurs, etc. mais tout est disponible ici : www.meetic-group.com/fr Alors n'hésitez pas à y jeter un oeil... avant ou après avoir postulé!  Description du poste  Derrière le groupe Meetic, c’est le travail d’équipe, la passion et la créativité de nos centaines de salariés en Europe qui nous permet de proposer aujourd’hui le plus large choix de services de rencontre du marché.  Rejoignez notre équipe Affiny pour intégrer le ""lab Meetic"" et travailler en mode startup sur une stack moderne, challengeante et en constante évolution. Prenez-part aux sujets de développement, UX et Archi pour permettre à Affiny de devenir l'Appli de rencontre en ligne de demain.  Les projets pour 2020 sont nombreux : Refonte du desktop, déploiement d'Affiny sur les marchés Espagnols, Italiens, Allemands, uniformisation des apps avec les version Web etc.  Notre stack : ReactJS, Typescript, React Native, ES6, Redux, Redux-Saga, Jest, Webpack, Gitlab, Artifactory, Styled-components, Kubernetes, CI etc.  Notre organisation et nos méthodologies : Product Team, Scrum, Intégration continue, AB Test, KPI driven. Si vous êtes passionné par le développement web et mobile, que vous veniez du JS ou du mobile natif, venez faire un bout de chemin avec nous :  Epanouissez-vous dans un environnement de travail collaboratif, stimulant et dynamique. Evoluez en Product Teams regroupant toutes les compétences nécessaires pour créer un produit de qualité et différenciant : devs, produit, design, scrum, qualité. Vous toucherez à tous les pans de notre produit : Desktop, Web Mobile, Apps Contribuez à notre culture Tech où les principes du Crafts, l’autonomie, le partage et l’implication sont de mise. Progressez chaque jour dans une architecture modulaire en constante évolution. Participez à l’amélioration des pratiques de développement, challengez les process en place pour augmenter sans cesse la qualité de l’expérience les célibataires. Enrichissez vos connaissances au travers d’e-learning, de conférences, de Meetup et BBL. Exprimez votre créativité en participant à nos hackathons et rejoignez une équipe sympa, dynamique, constamment dans la recherche du progrès et de l'excellence technique.  Au quotidien  Vous produisez un code de qualité, testé et maintenable par l’ensemble de l’équipe. On vous donne les moyens et le temps de délivrer un produit qui saura combler des célibataires. Vous êtes autonome et responsable de vos développements de A à Z : implémentation, tests, amélioration continue de l’architecture applicative jusqu'à la mise en prod. Dans les workshops, vous êtes partie prenante pour inventer, avec le Produit et le Design, de nouvelles fonctionnalités. Vous avez des idées et vous les mettez en œuvre pour que l’expérience utilisateur soit agréable et fun. Qualifications  Votre profil  Vous êtes passionné par le développement web et mobile, ne jurez que par le code de qualité et raisonnez toujours ""user first"". Vous avez au moins 2 ans d'expérience en développement ReactJS. Avoir des connaissances en React Native est un plus, mais si vous avez la volonté de découvrir et/ou d'approfondir ce langage, nous saurons vous faire grandir. De même, la connaissance de langages objet est un atout. Vous êtes curieux, créatif, ouvert et convaincu par les principes de l'Agilité. Vous ne concevez pas votre métier sans partage avec vos collègues. Si en plus un environnement international vous stimule, alors nous sommes fait pour nous entendre.  Et enfin  Vous ne mettrez jamais longtemps pour venir travailler chez Meetic : nous sommes en plein cœur de Paris (gare St Lazare, RER A Auber à nos pieds, Métro M3-7-8-9). Si vous recherchez une histoire sérieuse, à temps complet pour une durée indéterminée, alors nous sommes faits pour faire du chemin ensemble.  Faites le premier pas… envoyez-nous votre candidature!"
