Poste;Entreprise;Pays;Ville;Type de contrat;Salaire;Description
Senior Software Engineer (H/F);ENGIE Digital;France;Paris (75);None;None;L’Energie et le Digital vous passionnent ? Envie d’être acteur dans cette transition énergétique et de trouver un sens à ce que vous faites ?  Alors welcome chez ENGIE Digital !  #WeareENGIEDigital  ENGIE est un acteur mondial de l’énergie, résolument engagé dans la transition énergétique et expert dans 3 métiers l’électricité, le gaz naturel et les services à l’énergie. ENGIE compte 155 000 collaborateurs dans plus de 70 pays pour un chiffre d’affaires en 2017 de 65 milliards d’euros.  En pleine transformation digitale ENGIE a décidé de créer en 2016, ENGIE Digital en plein cœur de Paris dans le quartier Saint-Lazare. Notre mission ? ENGIE Digital conçoit et fournit des produits et services digitaux pour réinventer le monde de l’énergie et accompagner la transformation digitale des entités, dans le monde entier, d’ENGIE et du Groupe.  Notre ambition, devenir le Leader de la transformation digitale de l’Energie. Pour ce faire, nous recherchons un nouveau talent, pour grandir et nous faire grandir !   Senior Software Engineer ( H/F) - Plateforme eCare   La plateforme Smart Home eCare permet aux entités opérationnelles de ENGIE de développer des offres innovantes pour les clients résidentiels autour des installations connectées (compteurs de consommation, panneaux solaires, chaudières, pompes à chaleur, bornes de recharges de véhicules, …).  La plateforme eCare récupère les informations de ces installations et les utilise pour concevoir des services qui permettent aux clients de devenir acteur de la transition énergétique. Ces informations nous permettent entre autres de déceler des dérives, des comportements inhabituels et fournit des recommandations aux techniciens et utilisateurs pour améliorer leur gestion d’énergie.  Le développement de la plateforme est réalisé, dans le Cloud AWS, par une équipe composée de Data Engineers, de Développeurs Front-End, Ops, Scrum Master et de Responsable Produit. Nous utilisons en grande majorité les services serverless d’Amazon et notre langage de prédilection est le Python. Nous valorisons le software craftsmanship: clean code, test, peer programming, review. Cette équipe travaille au sein de l’écosystème Engie Digital qui apporte un dispositif de run, sécurité, architecture et design.  Le rôle du Senior Software Engineer (H/F) au sein de la Plateforme eCare c'est :  - Construire une plateforme robuste et scalable en respectant les contraintes de coût, de performance et de qualité - Appliquer et diffuser l’état de l’art des méthodes de développement logiciel - Participer aux réflexions d’architecture applicative - Participer à la construction des web APIs de la plateforme - Contribuer à faire grandir l’équipe en maturité sur les aspects techniques et méthodologiques - Participer à l’administration de la plateforme Qualifications Ce qu’on attend de vous ?  Tu as prouvé ton savoir-faire en Python Tu as travaillé sur des solution Cloud orienté serverless (AWS) Tu as une expérience dans la mise en place d’application à l’échelle avec un focus important sur les performances T u as une appétence pou r les architectures orientées données L e déploiement d’infrastructures cloud complexes ne te font plus peur . T u as déjà conçu des API web et des méthodes d’authentification. Tu es à même d’adresser des sujets DevOps (CI/CD, monitoring ,.. )  Le petit plus : tu connais les défis des séries temporelles et tu as déjà intégré des algo rithmes de machine learning  Et au-delà de la technique Tu as un bon relationnel, débrouillard, tu aimes transmettre et vulgariser des problèmes complexes. T u veux concevoir de nouveaux services pour façonner me monde de demain . Tu n’hésites pas à relever les manches quand il s’agit d’adresser un projet complexe ou nouveau , tu analyses la situation, tu recherche s d es solutions, tu teste s de nouvelles approches . And last but not least, we work in an international environment, so you are at ease to express your opinions in English ! Notre stack Python ( tu l’auras compris ) S3, Lambda, Kinesis, Dynamo, API Gateway … SageMaker Fargate , Akka (Scala) Github , Jenkins, Cloudwatch Emploi : Digital et IT Lieu principal : Europe-France-Île-de-France-Paris Organisation : ENGIE Digital Horaire : Temps plein Nature de responsabilité : Opérationnel confirmé Publication d'offre : 20 mai 2020, 03:52:33
Développeur(se) Python services B2B H/F;Gandi;France;Paris (75);CDI;None;En tant que développeur(se) Python vous êtes chargé(e) de : Concevoir de nouvelles fonctionnalités avec les Product Owners Produire des solutions maintenables et performantes Intégrer la sécurité et la protection des données utilisateurs dans toutes les couches de la plateforme Optimiser les solutions technologiques (Stockage, performance) Etre force de proposition sur les éléments de la stack technique Etre un membre actif et collaboratif de l’équipe Nos challenges technologiques sont multiples: Sécurité de la plateforme afin de garantir la sécurité des données de nos clients Simplicité d’utilisation et architecture orientée services Disponibilité et performance des services Disponibilité permanente dans tous les pays du monde Notre stack technique repose sur les technologies éprouvées et actuelles: https://www.welcometothejungle.co/fr/companies/gandi/tech Profil recherché Compétences recherchées : Maîtrise des technologies de notre stack (Python, API REST, tests unitaires, revues de code, Django, Pyramid, SqlAchemy, Celery) Expérience au sein d’équipe de développement agile (2 ans) Expérience dans le développement d’applications modernes (Git, Jenkins, bases de données) Expérience dans la conception d’APIs RESTful Connaissance des environnements GNU/Linux/Bash Familiarité avec les concepts de domaine et DNS Compétences bonus : OSINT, Go, Infra/Système État d’esprit : Force de proposition Sens des responsabilités Travail en équipe avec souci de faire progresser les autres Culture de la revue de code Curiosité business Goût de l’effort et de la performance collective Souci de la sécurité et de la protection des données Pourquoi choisir Gandi ? Une PME pérenne (20 ans d’existence) qui a conservé son esprit start-up Entreprise engagée qui soutient et promeut l’open source et l’internet libre Programme de soutien technique, humaine ou financier à des projets engagés (FIDH, Sea Shepherd, CaliOpen) Organisation, sponsoring et participation aux événements tech internationaux Démos internes bimensuelles présentées par les équipes porteuses des projets Avantages entreprise chez Gandi : Bureaux à Paris intra-muros (station Porte d’Ivry) Local vélo privatif Accord de temps de travail prévoyant RTT, télétravail et flexibilité des horaires Tickets restaurant (prise en charge à 60%) Mutuelle d’entreprise (prise en charge à 60%) Espace convivial de détente autour d’une cuisine cosy et équipée, cafés et boissons fraîches à volonté, corbeilles de fruits et viennoiseries Afterworks hebdomadaires Intéressement aux résultats de l’entreprise Déroulement des entretiens Processus court (Un entretien avec l’ensemble de l’équipe …)
Technical Lead (HF) - Agathe;ENGIE Digital;France;Paris (75);None;None;L’Energie et le Digital vous passionnent ? Envie d’être acteur dans cette transition énergétique et de trouver un sens à ce que vous faites ? Alors welcome chez ENGIE Digital ! #WeareENGIEDigital ENGIE est un acteur mondial de l’énergie, résolument engagé dans la transition énergétique et expert dans 3 métiers : l’électricité, le gaz naturel et les services à l’énergie. ENGIE compte 155 000 collaborateurs dans plus de 70 pays pour un chiffre d’affaires en 2017 de 65 milliards d’euros. En pleine transformation digitale ENGIE a décidé de créer en 2016, ENGIE Digital en plein cœur de Paris dans le quartier Saint-Lazare. Notre mission ? ENGIE Digital conçoit et fournit des produits et services digitaux pour réinventer le monde de l’énergie et accompagner la transformation digitale des entités, dans le monde entier, d’ENGIE et du Groupe. Notre ambition, devenir le Leader de la transformation digitale de l’Energie. Pour ce faire, nous recherchons un nouveau talent, pour grandir et nous faire grandir ! ENGIE Digital- Technical Lead (H/F)- Plateforme Agathe La plateforme Agathe est une solution de maintenance prédictive qui permet à nos techniciens d’augmenter la performance et la durée de vie des équipements de froid et de génie climatique de nos clients (traitement d’air, compresseurs, pompes, vannes…). Pour cela nous utilisons la Data Science pour détecter les dérives et anomalies dans les données de fonctionnement des équipements et l’expertise technique de Engie dans les services à l’énergie pour valider nos modèles et recommandations auprès des techniciens. Le défi est de réussir à modéliser et détecter chaque jour des anomalies sur des milliers d’actifs, tout en assurant à nos clients fiabilité et maîtrise des coûts de la plateforme. Le développement de la plateforme est réalisé, dans le cloud AWS, par une équipe de Data Scientists, Data Engineers, Développeurs back et front-end et DevOps et Scrum Master et Product owner. Cette équipe travaille en collaboration avec les équipes Engie Digital pour le run, la sécurité, l’architecture, le design. Vos missions au quotidien Vous mettez au service de cette plateforme vos compétences techniques et managériales afin de soutenir son développement. Vous comprenez parfaitement l’architecture et les briques de la plateforme, vous connaissez l’ensemble de ces interfaces / flux et vous vous assurez que l’ensemble des choix technologiques pris sont à même de garantir son fonctionnement, sa maintenabilité, sa sécurité et son évolution tout en maîtrisant ses coûts. Activités opérationnelles : Traduire sous forme technique la vision business, Participer à la définition des architectures, aux choix technologiques de la solution en cohérence avec les choix d’ENGIE Digital, Être garant de ces choix à la fois pour assurer le bon fonctionnement de la solution et son évolution (fonctionnalités, performance), Être garant et contribuer à la bonne mise en production de la Data Science dans l’écosystème de la plateforme (assurer son monitoring, valider la pertinence des modèles, évaluer les impacts des choix de modélisation pour les services de la plateforme, être force de proposition) Garantir la qualité des livrables (bonnes pratiques d’architecture, de code, scalabilité, sécurité, résilience, méthode) Être force de proposition et faire des recommandations sur les technologies à utiliser en lien avec les experts techniques et les architectes Challenger les réponses techniques de l’équipe Mettre en place un plan d’actions en cas d’alerte et autres risques techniques. Respecter les standards de sécurité du groupe Faire les meilleurs choix technologiques pour respecter les délais de la mise sur le marché du produit dans le cadre budgétaire, Assurer une veille technologique. Activités managériales : Gérer la charge de l’équipe technique et/ou gérer les contrats des fournisseurs, Identifier les compétences et ressources nécessaires (développeurs, architectes, QA, DevOps, experts… internes et externes), en collaboration avec le Responsable de la Plateforme, Coordonner et suivre le travail de l’équipe technique en garantissant l’adéquation avec le besoin de la plateforme, Créer et maintenir une cohésion d’équipe, S’assurer de la bonne conduite du projet, du respect des délais et du budget par l’équipe technique, Développer les compétences de l’équipe.  Qualifications Profil idéalement recherché Vous êtes diplômé d’un Bac+5, vous êtes passionné par la technologie et la data science et vous justifiez d’une expérience confirmée de responsable de projet technique. Vous parlez couramment français et anglais. Compétences techniques attendues Connaissance avancée des services AWS (SageMaker, Glue, Fargate, Lambda …) et des déploiements d’applications dans AWS Connaissance avancée du cycle de développement logiciel (CI/CD, Workflow Git…) Maîtrise du langage Python Expérience de mise en production de modèles de Data Science Un fort avantage : Maitrise de la méthodologie Agile (Scrum, Kanban, Xp …) Maitrise des architectures applicatives et d’infrastructures Maitrise des environnements de développement Connaissance des outils de monitoring/supervision : Splunk, Sentry Connaissance des principes de sécurité Connaissance des langages de développement : JavaScript (React) Compétences comportementales recherchées : Capacités à apporter votre bonne humeur, votre goût du partage et de la communication. Capacités à comprendre les besoins métiers /business et à les mettre au centre des réflexions, capacités à vous organiser et à piloter des équipes pour gérer des projets, fiabilité et rigueur.  Emploi : Digital et IT Lieu principal : Europe-France-Île-de-France-Paris Organisation : ENGIE Digital Horaire : Temps plein Nature de responsabilité : Opérationnel confirmé Publication d'offre : 15 avr. 2020, 12:29:22
Développeur Logiciel back-end Python;HireFirst;France;Paris 10e (75);CDI;45 000 € - 65 000 € par an;Le client final - Editeur de logiciel spécialisé dans la mobilité, il développe principalement un système d’informations pour les voyageurs en temps réel (code partagé en open source) - Créé il y a 15 ans - Société tech de 145 personnes (back, front, mobile, devops, QA et Product Managers) - Partenaire de 15.000 villes dans le monde et 25 pays - 15 milliards de requêtes par an - Salaire : 45-65€K + 10% de bonus + 17 RTT + cantine à 1€ Etes-vous féru des algorithmes en python ? Oui ! La suite de l’offre est faite pour vous Votre mission En tant que développeur backend Python, vous participez au développement du nouveau projet N. Le système est en open source organisé autour de micro-services pour la mise en place des API en temps réel. Celle-ci propose aussi une solution embarquée avec des SDK natifs et React. Rejoignez cette équipe de développeurs, 1 Product owner et 1 ingénieur qualité et évoluez dans un environnement en temps réel avec une forte volumétrie de données. - Maintenir et faire évoluer le logiciel d’alimentation de l’API - Analyser et comprendre les besoins clients - Concevoir de nouvelles solutions avec les architectes et devops pour assurer leur robustesse une fois les composants mis en production - Relire, tester votre code mais aussi participer à l’intégration continue et au déploiement Vous vous demandez qui se cache derrière le tableau d’affichage en temps réel de votre gare ? Et bien, c’est vous ! Développeur Python Votre profil - Vous avez au moins 2-3 ans d’expérience en tant que développeur logiciel Python - Vous connaissez C++, Rust et Linux - Vous êtes habituez à travailler autour de micro-services et d'API - Vous êtes ouvert d’esprit et vous vous adaptez facilement à un nouvel environnement avec une forte volumétrie de données Environnement technique - Python - C++ - Rust - SDK natif - React - Linux
INGÉNIEUR TEST ET VALIDATION DOMAINE MÉDICAL H/F;Médiane Système;France;Paris (75);Temps plein, CDI;None;Dans le cadre d’un projet dans le domaine du médical, nous recherchons un ingénieur test et validation H/F Sous l’autorité du Responsable test et validation, vous assurerez les activités de tests et de validation des logiciels développés par les ingénieurs, le développement d’outils spécifiques, la mise en place et la réalisation de tests logiciels et tests systèmes. Vos activités seront les suivantes : - Rédiger les plans et les scenarii de tests en assurant leur traçabilité avec les spécifications. - Développer et valider les outils d’automatisation de tests. - Réaliser et documenter l’ensemble des tests effectués, automatiques ou non. - Assurer le suivi des anomalies. Compétences recherchées : - Première expérience dans le domaine de l’automatisation de tests d’un ou plusieurs des contextes suivants : Logiciel embarqué, Système temps réel, Interface Homme Machine, Traitement d’Image ou autres données complexes. - Connaissance des langages de programmations C, C++, python ou Matlab et d’outils d’automatisation de tests. *Mieux connaitre Médiane Système : * Filiale du groupe industriel ICE, Médiane Système, est une société d’ingénierie innovante spécialisée en électronique, systèmes embarqués et informatique industrielle. Médiane Système a construit son identité sur une expertise technique de haut niveau en proposant à ses clients, des prestations d’accompagnement au travers de ses départements R&D (DRD) et ConSulting (DCS). Présente en France (région Parisienne, Rhône-Alpes, Midi-Pyrénées, PACA) et en Belgique, Médiane Système est partenaire de grands comptes industriels et de nombreuses PME. Du secteur automobile au médical, en passant par l’énergie, le ferroviaire, l’aéronautique ou bien les télécoms. Médiane Système intervient exclusivement sur les métiers de l’ingénierie système (logiciel embarqué, logiciel applicatif pour l’industrie, électronique numérique et analogique, banc de tests) dans des environnements technologiques de pointe. Créée par des ingénieurs, Médiane Système, est une entreprise technique à taille humaine, proche de ses collaborateurs, qui privilégie depuis 30 ans, le développement des compétences et l’épanouissement de ses salariés. Vous souhaitez acquérir de l’expérience dans des secteurs variés à travers des projets innovants ? Vous recherchez une entreprise à taille humaine qui privilégie un management de proximité ? Une hiérarchie qui reste à l’écoute des attentes de ses collaborateurs ? Vous recherchez plus qu’un job ? Alors contactez-nous ! Avantages : Titre-restaurant / Panier Participation au transport RTT Type d'emploi : Temps plein, CDI Expérience: ingénieur test et validation domaine médical h/f ou similaire: 1 an (Souhaité)
INGENIEUR EN GENIE LOGICIEL (H/F) 18 MOIS;ONERA;France;Châtillon (92);None;None;"Présentation de l'ONERA L’ONERA, acteur central de la recherche aéronautique et spatiale, emploie environ 1950 personnes. Placé sous la tutelle du Ministère des Armées, il dispose d’un budget de 236 millions d’euros dont plus de la moitié provient de contrats commerciaux. Expert étatique, l’ONERA prépare la défense de demain, répond aux enjeux aéronautiques et spatiaux du futur, et contribue à la compétitivité de l’industrie aérospatiale. Il maîtrise toutes les disciplines et technologies du domaine.  Présentation du département Le département Multi-physique pour l’Énergétique mène des travaux de recherches et d’études au profit des industriels et des services étatiques du domaine aérospatial tant civil que militaire mais également en lien étroit avec le monde académique. Les activités du Département se déclinent au travers de six axes stratégiques : Les systèmes énergétiques innovants ; Les performances des systèmes propulsifs ; L’expérimentation en conditions représentatives ; La modélisation et simulation multi-physiques ; La sécurité et l’impact environnemental ; Les plateformes logicielles multi-physiques.  Missions Dans le Département Multi-Physique pour l’Energétique (DMPE), l’Unité Plateforme Logicielle Multiphysique (PLM) est en charge du développement du code CEDRE (multi-solveurs, parallèle MPI, maillages non structurés) dédié à la simulation numérique multi-physique. L’Unité est responsable de la livraison de CEDRE aux utilisateurs internes et aux clients externes industriels et étatiques. Elle assure la fonction de support autour de l'utilisation du code pour des applications duales dans le domaine de l’Energétique. Actuellement, l'Unité travaille également sur l’interopérabilité (via une interface Python/CGNS) des solveurs de CEDRE avec les nouvelles plateformes Multi-Physiques ORION et MOSAIC développées dans le cadre d’une collaboration entre l’ONERA et SAFRAN-TECH. Ces nouvelles activités sont soutenues par le Projet DGAC ATOM et le Projet interne ONERA ODYSSEY. Dans ce contexte, votre mission consiste à aider à la mise en place de bibliothèques HDF5/CGNS dédiées aux différentes physiques et à la construction de capsules PYTHON pour les solveurs du code CEDRE afin de les interfacer avec les plateformes ORION et MOSAIC. Ces activités font appel à des compétences spécifiques en informatique et doivent être réalisées avec une grandeur rigueur de programmation afin de maintenir le fonctionnement initial de la plateforme multi-solveurs CEDRE. Vous travaillez en collaboration avec les développeurs CEDRE et vous échangez avec le Département DAAA qui possède une solide expertise PYTHON/CGNS. Outre vos compétences scientifiques, vous faites preuve de fortes capacités de communication et de travail en équipe.  Profil Docteur et/ou Ingénieur en Informatique avec une expérience réussie des grands codes de calcul CFD Très bonne maîtrise des langages C/C++, Fortran, MPI, Python Compétences en HDF5, CGNS avérées Compétences souhaitées en HPC  Intégrer l’ONERA, c’est rejoindre le premier acteur de la recherche aéronautique et spatiale en France, c’est construire le futur dès à présent. À l’ONERA, l’accent est mis sur l’équilibre vie pro/vie perso, et sur la formation continue des collaborateurs, pour répondre aux besoins d’innovations du secteur.  Job Reference: ONERA00227"
Développeur Python | Éditeur de logiciel | Open Source;OCTOPUS IT;France;Paris (75);Temps plein, CDI;35 000 € - 55 000 € par an;"La société Cette entreprise de près de 30 personnes, a développé un pro-logiciel basé sur une solution Open Source dédiée aux acteurs de l'assurance santé. A la suite de partenariats importants, l'entreprise souhaite renforcer ses équipes pour développer de nouveaux services et poursuivre son développement à l'international. C’est dans ce contexte qu’ils recherchent des développeurs Python (juniors et expérimentés) pour rejoindre leur équipe sur Paris ou sur Bordeaux. Le poste Développement d’outils techniques Amélioration et développement de fonctionnalités Amélioration des outils de déploiement Etre force de propositions La stack Python (Tryton), Javascript, NodeJS, React, API REST PostgreSQL, Redis, Nginx, Docker, Linux / Github. Votre profil Issu(e) d'une école d'ingénieur ou Master en informatique ou PHD ou expériences équivalentes Junior diplômé(e) ou expérimenté(e) Passionné(e) par la modélisation et le développement Organisé(e), rigoureux(se), exigeant(e) et autonome Avoir une vision ""full stack"" Le salaire 35/55K selon XP 11 jours de RTT Tickets restaurant Hors Covid-19 : Télétravail possible (1 jour/S) Ce qu’on préfère Une organisation 100% agile Une montée en compétences dans un environnement technique moderne Travailler sur une solution Open Source Bureaux à Paris et à Bordeaux ( proximité gare) Equipe pointue et solidaire Remarque en cette période liée au Coronavirus : Les entretiens se feront au maximum par téléphone et par visio. Je reste disponible pour toute question. Amaury Avantages : RTT Titre-restaurant / Panier Participation au transport Type d'emploi : Temps plein, CDI Salaire : 35 000,00€ à 55 000,00€ /an Expérience: Développeur Python: 1 an (Souhaité) Télétravail: Oui"
DEVELOPPEUR PYTHON ET VBA - F/H;Ingeniance;France;La Défense (92);CDI;None;Contexte:  Au sein d'un établissement bancaire majeur, vous rejoindrez un service en charge des activités de banque de financement et d'investissement, banque privée, gestion d'actifs et métier titres. Vous accompagnerez la Direction des Opérations, qui est en charge du traitement et du contrôle des opérations initiées par les métiers. Nos équipes garantissent la qualité et la fiabilité des opérations réalisées pour le compte des clients sur l'ensemble des places financières dans le monde.   Missions: L'équipe que vous intégrez a pour mission de réaliser des outils tactiques. Elle assure le développement, les évolutions et le support des outils qu'elle développe en langage VBA sous Excel et Access et en PYTHON.  En tant que développeur Commando VBA/PYTHON vous développez et faites évoluer des outils tactiques: Analyse du besoin utilisateur Proposition de la solution technique Chiffrage de la solution technique Développement de la solution technique en utilisant les normes en vigueur dans le service Réalisation des tests unitaires pour garantir la conformité des développements Production de la documentation associée à ce développement. Vous fournissez le niveau adéquat de support aux utilisateurs en répondant notamment avec réactivité aux demandes de support.   Rejoindre une telle équipe constitue une opportunité tant en termes d'acquisition d'expertises nouvelles que de perspectives d'évolution au sein d'un groupe qui déploie ses activités à l'échelle internationale. Profil recherché :  Vous êtes titulaire d'un Bac+5 de type école d'ingénieurs, spécialisé en informatique et vous justifiez d'une première expérience (alternance, stage, VIE...) réussie sur un poste similaire. Vous disposez de solides connaissances des technologies suivantes: Python et SQL VBA (Framework Office) HTML5/CSS/Bootstrap JS, AngularJS Vous avez un niveau d'anglais opérationnel. INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.  Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.  Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
SOFTWARE ENGINEER PYTHON - F/H;Ingeniance;France;La Défense (92);CDI;None;"Contexte : Notre client développe une offre originale en matière de gestion du poste clients. Le département gère la cohérence du groupe sur les sujets transversaux et développe les pratiques de mutualisation.  Il a pour moyens de gérer la production informatique (gestion des incidents, changements, problèmes) au travers de ""tours de contrôle"" et de services transversaux sécurité et outillage. Les outils d'ordonnancement implémentés dans le service du pôle Tooling, fournissent les outils nécessaires aux divers développements.  Le bénéficiaire souhaite mettre en oeuvre plusieurs évolutions de son socle technique. À ce titre le bénéficiaire souhaite bénéficier de l'expertise du prestataire en termes d'ingénierie développement ou analyse programmation.  Missions: L'extension de l'outil de création des demandes de mise en production des tâches planifiées, ainsi qu'à porter en Python sur de nouveaux périmètres, l'outil actuel PHP, à savoir: Développement et maintenance des user stories retenues. Intégration du Control et de l'Open source Jobscheduler. La documentation auprès des utilisateurs La documentation nécessaire pour l'entité. Les principales tâches à réaliser sont les suivantes: Développement de users stories validées Mise en place de la software factory Écriture des normes de DEV de l'entité.  Environnement : PHP / Oracle / Window server/ Agile SCRUM Python - Expert Profil recherché: Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5) Vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse. La disponibilité, la résistance au stress et le sens de la gestion des priorités sont également indispensables. INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.  Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.  Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives."
PhD Student, CIFRE;Facebook;France;Paris (75);None;None;Facebook is seeking PhD Students through CIFRE contracts to join Facebook AI Research (FAIR) in Paris. We are committed to advancing the field of artificial intelligence by making fundamental advances in scientific methods and technologies to help interact with and understand our world. We are seeking individuals passionate in areas such as deep learning, computer vision, audio and speech processing, natural language processing, machine learning, reinforcement learning, computational statistics, computational cognitive (neuro)science, and applied mathematics. CIFRE positions (Industrial Agreements for Training through Research) are 3-year fixed term for PhD students in France who will work in collaboration with a public research lab. Facebook partners with the Ministry for Higher Education and Research and the National Association for Research and Technology (ANRT) to implement the program for individual students. CIFRE positions will be awarded on a rolling basis and candidates are encouraged to apply early in their search for PhD programs. Applicants are expected to be pursuing a PhD in one of the areas listed above. To learn more about our research, visit: https://research.fb.com/category/facebook-ai-research-fair. PhD Student, CIFRE Responsibilities Perform research to advance the science and technology of intelligent systems. Perform research that improves computational understanding and representing of data. Devise data-driven models of human behavior. Influence progress of relevant research communities by producing publications. Collaborate and increase productivity on existing research projects. Minimum Qualifications Knowledge in Machine Learning. Knowledge in a programming language. Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorisation during employment. Preferred Qualifications Bachelors or Masters degree in a technical field such as Computer Science, Applied Mathematics, or equivalent practical experience. Experience building systems based on machine learning and/or deep learning methods. Research and software engineer experience demonstrated via an internship, work experience, coding competitions, or open-source contributions. Knowledge in Python, Lua, C++, C, C# and/or Java. Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started. Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com.
