Job Title,Name Company,Location,Work time,Type of contract,Salary,Desired skills,Minimum level of education required,Minimum experience level required,Spoken languages
Alternance - Data Scientist H/F,Malakoff Humanis,Paris 9e (75),No Info,Apprentissage,No Info,"['R', 'Python']",Bac+5,No Info,No Info
Data Scientist (F/H),Novencia,Paris (75),No Info,No Info,No Info,"['Machine Learning', 'Python', 'R', 'SAS', 'SQL']",No Info,3 ans,No Info
Data Scientist,DEGETEL,Boulogne-Billancourt (92),No Info,No Info,No Info,"['R', 'python', 'hadoop', 'spark', 'scala']",formation supérieure,3 ans,No Info
DATA SCIENTIST,Servier,Suresnes (92),No Info,No Info,65 000 € par an,"['R', 'Python', 'scala', 'Hadoop', 'Spark', 'AWS']",formation supérieure,5 ans,No Info
Data Scientist H/F,AGYLIS,La Défense (92),Temps plein,CDI,40 000 € - 50 000 € par an,"['Machine Learning', 'Python', 'ML/DL', 'Docker', 'AWS', 'Azure', 'Deep Learning']",No Info,1 an,No Info
Alternant(e) Data Scientist H/F,TF1,Boulogne-Billancourt (92),No Info,Apprentissage,No Info,"['Azure', 'Python', 'SQL', 'Machine Learning']",No Info,No Info,No Info
Data Scientist Knime (1-5ans XP),Cyberdian,Paris 13e (75),No Info,CDI,No Info,"['Spark', 'PySpark', 'Scikit-learn']",No Info,No Info,No Info
Data Scientist H/F,ACTIVUS Group,Paris (75),Temps plein,CDI,25 000 € - 50 000 € par an,"['Python', 'ML/DL', 'Machine Learning', 'Deep Learning', 'Docker', 'R']",Bac+5,5 ans,No Info
DATA SCIENTIST- F/H,Ingeniance,La Défense (92),No Info,CDI,No Info,[],Bac+5,No Info,No Info
ASSISTANT DATA SCIENTIST,Total,Nanterre (92),No Info,Apprentissage,No Info,[],bac+5,3 ans,No Info
Data scientist f/h,Franprix,Vitry-sur-Seine (94),No Info,CDI,No Info,"['Python', 'SQL', 'Scikit-learn', 'Keras', 'Tensorflow']",No Info,No Info,No Info
Data Scientist,Leihia,Paris (75),No Info,No Info,No Info,['Python'],No Info,No Info,No Info
Data scientist / Analyste reporting réglementaire H/F,AMF,Paris (75),No Info,CDI,No Info,"['R', 'Python', 'Spark', 'SQL']",BAC+5,5 ans,Anglais
Data Scientist / Experience analyst,LIVEMENTOR,Paris (75),No Info,CDI,40 000 € - 50 000 € par an,"['SQL', 'Python', 'NoSQL', 'R']",No Info,1 an,No Info
Data Scientist (H/F),UTi GROUP,Levallois-Perret (92),No Info,No Info,No Info,"['Python', 'Spark', 'SQL', 'Hadoop']",formation supérieure,No Info,No Info
Data Scientist H/F,Groupement Les Mousquetaires,Châtillon (92),Temps plein,CDI,No Info,['Machine Learning'],Bac + 5,4 ans,No Info
