Poste;Métier;Pays;Ville;Entreprise;Contrat;Salaire;Description
Développeur NodeJS H/F;Javascript;France;Levallois-Perret (92);ZAION;Stage, CDI;;Levallois-Perret (92) Stage, CDI Fondée en septembre 2017, Zaion propose une solution unique et complète de relation client vocale avec sa plateforme de Callbot, convaincue que la voix sera demain un axe clé de service auprès des marques. Zaion est désormais présente dans 4 pays européens et compte une trentaine de clients grands comptes. Les Callbots traitent en moyenne, plus de 30 000 appels par jour en production. Basée à Levallois, Zaion compte déjà 40 talents, et un département R&D Intelligence artificielle. Nous rejoindre, c’est prendre part à une aventure passionnante et innovante au sein d’une équipe dynamique, qui a l’ambition de devenir la référence sur le marché des robots conversationnels (Callbots, Chatbots, Voicebots). Pour accompagner notre croissance, nous recrutons un développeur / développeuse NodeJS. Sous la responsabilité du Responsable Technique, en relation directe avec le client, vos missions seront les principales : · La gestion du projet de votre client · Le développement de l'interface back-end de notre application backoffice. · Le développement de divers plugins pour s’interfacer avec les APIs de nos clients. · Le développement d’un outil SAAS de supervision et reporting. Vos compétences : · Maitrise d’un ou plusieurs framework et de langages de développement backend avec une sensibilisé à la qualité et à la performance des applications · Maitrise des outils du développeur de logiciels de type Git. · Bonne maîtrise de Javascript et des connaissances en NoSQL, Linux, SaaS. · L’anglais courant serait un plus Vous avez déjà construit des projets from scratch et vous aimez les challenges techniques. L'intégration continue n'a pas de secret pour vous, vous avez une bonne connaissance d'ensemble du fonctionnement de l'internet et du web et les « systèmes distribués » ne vous fait pas peur. Vous avez également pratiqué certaines méthodologies : Agile / Scrum/ V Votre profil : · Organisé, autonome, méthodique, excellent relationnel vous savez prioriser vos missions, prendre des initiatives et vous êtes capable de faire preuve d’une très importante rigueur dans le travail. · Première expérience en ESN ou start up, diplômé de d’école d’ingénieur ou Miage. Type d'emploi : Stage, CDI Expérience: developer back end nodejs h/f ou similaire: 1 an (Souhaité) Il y a plus de 30 jours Signaler un abus
Développeur informatique à Bourg-en-Bresse H/F;Javascript;France;Ain;CISA INFORMATIQUE;Temps plein, CDI;;"Ain Temps plein, CDI Présentation de l’entreprise Au cœur des nouvelles technologies, CISA INFORMATIQUE est une société de services experte dans l’informatique (ESN), positionnée sur cinq métiers complémentaires : l’Edition de Progiciels de Gestion Intégrée (ERP), l’Intégration de Progiciels de gestion, le Conseil, l’Hébergement sur Data Centers et les Systèmes & Réseaux. Avec plus de 50 ans d’existence, CISA INFORMATIQUE, composée de 45 collaborateurs, développe des progiciels de gestion à forte valeur ajoutée : ERP - GPAO - Gestion Commerciale - CRM - Gestion Financière – RH Notre pérennité financière nous assure une expansion durable. Nous recrutons dans le cadre de notre développement. Missions et responsabilités Rejoindre CISA INFORMATIQUE, c'est participer au développement d'un éditeur dynamique et moderne dans la conception de Solutions de gestion (ERP). C'est également saisir l'opportunité de travailler dans un environnement technologique de haut niveau, dans le cadre de projets riches et variés. Au sein du service développement ERP, vous aurez la charge d'analyser, prototyper et développer de nouvelles fonctionnalités produit, ainsi que les évolutions et la maintenance sur l’existant, dans le respect des normes et procédures et sur la base des spécifications fonctionnelles émises par les chefs de projets métiers. Dans un contexte d'amélioration continue, vous intervenez sur l'ensemble du processus de développement, depuis la conception jusqu’aux tests de validation de chaque version. Sous la responsabilité du Responsable de Développement, vous aurez en charge : Concevoir et développer des nouvelles fonctionnalités Réaliser les tests des développements internes Participer à l’assistance des clients Planifier des réalisations avec le responsable fonctionnel Participer aux choix techniques sur la réalisation et l'amélioration des applications développées Garantir la pérennité et l'évolutivité de l'ensemble des applications Expérience, formation et compétences souhaitées Expérience solide en programmation c# - .net De l’aisance avec les technologies Web (JavaScript, HTMLS5, CCS3, Vue.JS, Angular ) La technologie SQL – (SQL server, TSQL) Utilisation Git – TFS Les méthodes agiles Profil De formation supérieure en informatique (BAC+3 – BAC+5), vous possédez une expérience d'au moins 2 ans dans le développement d'applications de type Progiciel de gestion. Vous avez acquis une solide maîtrise des technologies requises pour ce poste. Votre dynamisme, votre curiosité des technologies ainsi que votre capacité à travailler en équipe seront vos meilleurs atouts pour réussir et intégrer sur le long terme un éditeur en pleine croissance. Vous êtes force de proposition, un(e) ""touche à tout"" de la programmation en général et vous vous intéressez aux solutions innovantes. Salaire selon expérience. Rejoignez une équipe dynamique, compétente et à taille humaine ! Type d'emploi : Temps plein, CDI Avantages : Titre-restaurant / Panier Épargne salariale RTT Type d'emploi : Temps plein, CDI Expérience: développeur informatique à bourg-en-bresse h/f ou similaire: 1 an (Souhaité) Télétravail: Non il y a 5 jours Signaler un abus"
Full Stack Lead Developer;Javascript;France;Paris (75);SNAPKEY;Temps plein, CDI;;"Paris (75) Temps plein, CDI À propos SNAPKEY est la plateforme de transactions en immobilier d’entreprise, nouvelle génération. SNAPKEY est la néo agence immobilière qui révolutionne l’expérience de prise à bail et la commercialisation ou cession de locaux professionnels - commerces, bureaux, locaux commerciaux, entrepôts, locaux d’activités. Nous opérons comme agent immobilier (détenteur de la carte T - Transaction sur immeubles et fonds de commerce) mais aussi en qualité de plateforme, en proposant au niveau national, pour tous types de transactions en immobilier professionnel, des tarifs et prestations adaptés à tous les budgets. Tous nos processus sont 100% digitaux : annonces ultra détaillées pour faciliter la prise de décision visites en ligne (photos, VR, plans virtuels) puis visites physiques échanges preneurs/ bailleurs par messagerie sécurisée modérée gestion sécurisée des documents transactionnels conversations modérées sur notre plateforme signature électronique sécurisée Notre mission: transformer l’expérience de transaction en immobilier professionnel Offrir de la transparence grâce à la Technologie Réduire la vacance en proposant des visites preneurs en 48h Diviser le temps de transaction par 3 Redonner du pouvoir au bailleur et au preneur / acquéreur Notre ambition est de devenir la place de marché leader de la transaction en immobilier professionnel en France et en Europe. Nous expliquons à nos clients le processus de prise à bail et de commercialisation ou cession le plus simplement possible en mettant à disposition des outils novateurs comme l’argus des valeurs locatives ou la check list de prise à bail ou de commercialisation/cession. Nos conseillers, experts en immobilier commercial et d’entreprise sont au service des preneurs/ acquéreurs et bailleurs, tout au long du processus, pour révolutionner leur expérience de l’immobilier professionnel et rendre les transactions faciles, abordables et transparentes. SNAPKEY à été fondée par Emilie Vialle, l’ancienne Directrice Générale des Projets Spéciaux monde de Deliveroo et par Matthieu Foillard, l’ancien CTO de nam.R, GeoPLC et Edilivre. L’équipe est actuellement composée de 6 personnes réparties en 3 pôles : Produit / technique, Juridique et Opérations / Sales / Marketing/ Finance. Afin d'accélérer notre croissance, nous avons besoins de gens motivés pour rejoindre une aventure hors-norme à la croisée du digital et de la vie réelle et tangible qu’est l’immobilier d’entreprise. Descriptif du poste Rattaché(e) directement au fondateur, ton rôle est d’être actrice /acteur sur différentes missions : Co-gérer les sprints, deux développeurs juniors et deux stagiaires ; Participer à la conception puis à la réalisation de nouveaux modules et nouvelles fonctionnalités de notre application (PWA) et de nos outils de data science ; Intégrer des nouvelles fonctionnalités au sein de l’application web en prenant en compte les bonnes pratiques d’UX (Progressive web app / VueJS) ; Stabiliser l’outil et utiliser les bonnes pratiques de code quality. Profil recherché Etat d’esprit Force de proposition Bonne capacité d’analyse et d’organisation Tu sais travailler en Anglais Tu es autonome, dynamique et (toujours) de bonne humeur Tu as le sens des responsabilités, es rigoureux(se) et organisé(e) Tu te dépasses pour atteindre tes objectifs Tu penses que l’immobilier a besoin d’un souffle de renouveau et tu veux faire partie d’une aventure qui va dans ce sens Tu souhaites intégrer une équipe dynamique et ultra motivée et tu as soif d’apprendre Incontournables Tu as plusieurs expériences réussies en méthode agile ; Tu es expérimenté(e) en développement web ; Tu maîtrises les langages et frameworks suivants : JavaScript, HTML, CSS, Node, VueJs ou équivalent ; Tu maîtrises UNIX, du développement Cloud - idéalement Google Firebase - Google Functions - etc…. Tu maîtrises les bonnes pratiques - versionning - tests - CI/CD - Git ; Tu as géré des équipes et as une expérience poussée d'interactions régulières et réussies avec une team produit ; Tu as déjà développé et travaillé sur une roadmap tech et tu sais faire des trade-offs, les justifier, les communiquer et les faire adopter ; Expérience minimum de 5 + années en dev full stack, nécessaires. Nice to have Tu bénéficies d’une expérience réussie dans le monde des marketplaces, de l’immobilier, des startups ou entreprises vives et agiles Connaissance de CircleCI et Rollbar Tu as déjà géré une équipe de dev full stack Une expérience dans le domaine de l’analyse de données serait un plus Bénéfices pour toi Participer aux recrutement de ton équipe (2 développeurs plus juniors dans les 6 mois post embauche) De la data science au travers d’un nouveau projet novateur que nous sommes en train de mettre en place Des bonnes pratiques de développement rigoureuses Tu seras amené(e) à utiliser les dernières technologies et paradigmes en terme d'apprentissage automatique notamment sur l'image, le texte et des données structurées appliqué à des usages passionnants Tu es au cœur d’une aventure technologique et business Tu seras impliqué(e) dans notre développement tech mais aussi business early stage Tu bénéficieras d’une grande autonomie dans tes missions. Processus de recrutement La sélection pour intégrer les équipes de SNAPKEY se déroule en 3 étapes (2 semaines max) : Un dossier de candidature pour prendre connaissance de votre profil Un entretien téléphonique pour « débroussailler » le sujet et vérifier que vos attentes sont en adéquation avec ce que nous proposons et recherchons. Une série d’entretiens en visio puis dans nos locaux à Paris, avec les deux co-fondateurs CEO & CTO. Informations complémentaires Type de contrat : CDI Date de début : ASAP Lieu : Paris ou Marseille ou en remote, France Formation : Ecole d’ingénieur ou équivalent Expérience en développement : 5+ années en développement Statut : Cadre Date de début prévue : 21/06/2020 Type d'emploi : Temps plein, CDI Expérience: dev, lead dev ou similaire: 5 ans (Souhaité) il y a 2 jours Signaler un abus"
Developpeur Web H/F;Javascript;France;Boulogne-Billancourt (92);GES;Temps plein, CDI;34 000 € - 38 000 € par an;Boulogne-Billancourt (92) Temps plein, CDI 34 000 € - 38 000 € par an Au sein de l’équipe Web du service informatique, vous serez en charge du développement et de la maintenance des sites et applications Web. MISSIONS : Assurer le développement, la refonte et la maintenance des sites et applications Web. Développement d’outils pour améliorer les process existants (intégration continue, scripts d’automatisation, gestion d’api, ...). Activités et tâches du poste : Développement des sites internet du réseau sous le CMS Wordpress (thèmes personnalisés). Intégration front-end et responsive basées sur des maquettes graphiques. Développement de fonctionnalités et de plugins Wordpress. Assurer la maintenabilité et le bon fonctionnement des sites. Optimisations techniques, factorisation et revue de code. Configuration serveur et gestion de base de données pour du multi-environnement. Mise en place d’une intégration continue veillant à automatiser, limiter les régressions et à optimiser les mises à jour de code. Compétences requises : HTML5/CSS3 PHP/MySQL Javascript/jQuery Wordpress Nginx Git Photoshop Compétences appréciées : Linux NodeJS Scriptshell / Bash Docker Type d'emploi : Temps plein, CDI Salaire : 34 000,00€ à 38 000,00€ /an Expérience: HTML/CSS: 3 ans (Souhaité) Informatique: 3 ans (Souhaité) Développement Web: 2 ans (Requis) il y a 28 jours Signaler un abus
Développeur .NET H/F;Javascript;France;Bordeaux (33);Betclic Group;Temps plein, CDI;;Bordeaux (33) Temps plein, CDI Créée en 2005, Betclic est un des acteurs leaders des jeux en ligne en Europe. Sur les différents produits proposés (paris sportifs, casino, poker, paris hippiques), la marque propose la meilleure expérience à ses joueurs pour faire de ses applications mobiles une source d’émotions et de plaisir continue. Betclic est une entreprise multiculturelle, ouverte et internationale qui réunit des employés de divers horizons, entre son siège social à Bordeaux, ses bureaux à Malte ou ses équipes en Italie, Suède, Pologne ou au Portugal. POSTE L’équipe Betting Backend gère la mise à disposition aux joueurs des matches, paris et cotes en temps réel. Dans ce cadre, vous participez au développement de toutes les API liées aux paris sportifs et hippiques pour les sites et applications natives. MISSIONS Dans ce contexte vos missions seront les suivantes : Développer les API en respectant les spécifications OpenAPI, et les pages du BackOffice en angular 7 avec « material design » Participer à la conception technique et assurer la traduction technique des spécifications fonctionnelles en fonction de notre architecture applicative Participer à l'amélioration de la qualité du code : tests unitaires, TDD etc. Partager vos idées, les difficultés rencontrées, l'avancement des projets et les résultats avec l'équipe et les managers En fonction du niveau d'expérience, accompagner les développeurs juniors dans leur montée en compétence technique L’équipe est composée de 2 équipes de 7/8 développeurs et fonctionne en Scrum avec des sprints de 2 semaines Pour aborder des challenges techniques sous un autre angle, nous organisons des événements ponctuels comme le Lab Day ou l'Innovation Day. Vous aurez également accès à des mini-trainings et des codes dojos. ENVIRONNEMENT TECHNIQUE C#, VS 2017, Github Microsoft Server / IIS, SQL Server 2016, Transact-SQL, NoSQL (Redis et Elastic Search) Angular7, Javascript, VS Code WCF, WebAPI, RabbitMQ TDD, BDD Teamcity & Octopus – CI/CD PROFIL 3 ans minimum d'expérience en développement C#/.NET La connaissance du framework Angular est un plus Vous maîtrisez l'automatisation de la build chain, les techniques de debug /suivi de production et l’utilisation de tests unitaires, TDD et autres best practices de développement Vous êtes sensible à la performance et avez une bonne connaissance des problématiques de sécurité. Vous parlez anglais couramment Avantages : Participation au transport Titre-restaurant / Panier Type d'emploi : Temps plein, CDI Expérience: développeur .net h/f ou similaire: 2 ans (Requis) Il y a plus de 30 jours Signaler un abus
Développeur Full-Stack Java / Vue.JS / React.JS / Angular;Javascript;France;Nantes (44);Delia Technologies;Temps plein, CDI;35 000 € - 45 000 € par an;"Nantes (44) Temps plein, CDI 35 000 € - 45 000 € par an Delia Technologies #LaDevOpsFamily Delia, c’est la jeune ESN nantaise basée à La Cantine qui souhaite casser les codes du service IT. Loin de prétendre pouvoir construire seuls cette jeune structure, nous sommes partis d'une page blanche pour construire jour après jour un modèle collaboratif et engagé. Exit le babyfoot et la borne d’arcade, c’est par nos valeurs et le sens de nos actions que nous cultivons l’esprit Delia et ce sentiment d’appartenance qui nous est cher. Nous ne recherchons pas un profil mais une personne Vous êtes avant tout un ingénieur passionné mêlant savoir-faire et savoir-être. Vous venez du monde de la technique et avez développé de réelles compétences sur les nouvelles technologies. Votre expertise vous apporte bien plus qu’un job, vous aimez la partager et l’enrichir ! Vous savez construire une solution adaptée aux attentes de vos clients. Vous souhaitez vous investir dans l'écosystème tech de la métropole nantaise. Vos activités chez Delia Technologies Vous intégrerez la squad Full Stack Delia Technologies qui accompagne ses collaborateurs, ses clients et la communauté nantaise sur les technos Java J2EE et JavaScript. Pour votre première mission, vous interviendrez au sein d'une équipe Full-Stack JEE / JavaScript pour l'un de nos clients de la métropole nantaise. Nous serons attentifs à ce que l'environnement soit en lien avec vos attentes et appétences technologiques (VueJS / React / Angular). Vous êtes prêt ? Nous vous encouragerons à participer activement aux Meetup et événements nantais de référence (DevFest, Web2Day, Digital change, Agile tour...), que nous soyons organisateur, sponsor ou simple participant. Et par-dessus tout, vous contribuerez au développement de Delia en proposant, en organisant ou simplement en participant à des initiatives fun et engagées ! Ça vous dirait un séminaire Kitesurf ? ;) Vous n'avez pas prévu de passer votre carrière comme collaborateur Delia ? Sachez que si un jour il vous vient une folle envie de monter votre propre projet, nous saurons vous accompagner avec autant d’enthousiasme que vous aurez pu nous en apporter ! Chez Delia, nous n’acceptons pas seulement la différence, nous la cultivons et la soutenons pour l’intérêt de notre famille. Delia se veut une entreprise responsable socialement en proposant des projets et en soutenant les initiatives de l’ensemble de ses collaborateurs sans distinction, jugement ou préjugé. Soyez vous-même, vous nous plairez ! Avantages : Participation au transport RTT Titre-restaurant / Panier Épargne salariale Type d'emploi : Temps plein, CDI Salaire : 35 000,00€ à 45 000,00€ /an Expérience: développeur full-stack java / vue.js / react.js / angular ou similaire: 2 ans (Souhaité) il y a 9 jours Signaler un abus"
Développeur -Intégrateur web / JAVASCRIPT/ HTML / CSS/ VueJS...;Javascript;France;Issy-les-Moulineaux (92);Ilyeum;Temps plein, Freelance / Indépendant;400 € par jour;Issy-les-Moulineaux (92) Temps plein, Freelance / Indépendant 400 € par jour Nous recherchons pour le compte de notre client dans le domaine des médias un développeur/intégrateur Web Marketing dont la mission visera notamment d’accompagner le responsable de l’innovation.  Sa mission portera sur l’implémentation de solutions publicitaires et statistiques sur les sites Web, sur l’intégration de sites Full-Stack et sur l’intégration des pages statiques des sites du groupe.  Le développeur/intégrateur Web-Marketing est confirmé (entre 3 et 6 ans d’expérience), autonome, curieux, bon communicant, il/elle a l’expérience de l’implémentation d’un ou plusieurs outils d’AdServing et TMS (Tag Management System).  Les missions principales du profil sont : Implémentation solutions publicitaires (Google DFP, Outbrain, Teads ) sur sites desktop/mobile via le TMS interne (Javascript et CSS). Implémentation des solutions de collecte des données statistiques (AT Internet, Parsely, ) sur sites desktop/mobile via le TMS interne (Javascript). Développement de sites Full-Stack. Intégration HTML/CSS des pages statiques (pages multilingues, desktop/mobile). Mise en place d’opérations spéciales via le TMS (exemples : habillage événementiel des sites, changement de logo sur nos sites, ). Industrialisation des développements réalisés (utilisation de GitLab / Jenkins). Documentation des procédures et des produits existants. Travail avec plusieurs équipes (développements, exploitation, marketing produits, réseaux sociaux, ingénieries et éditoriales). Gestion (setup, sécurisation, branding) du portefeuille de nos pages et comptes sociaux (Facebook, Twitter, Google, Youtube, Dailymotion, ). Les compétences attendues : Les compétences attendues du profil sont : Intégration JS/CSS/HTML/V. Développement de frontaux Web, API et back-end (PHP et Symfony). Connaissance en Ajax, JSON, XML. Capacité à travailler avec des API. Sensibilité aux problématiques de cache, d’architecture existante et de performance. Connaissances techniques de base sur le fonctionnement des systèmes d’exploitations mobiles (iOS et Android). Culture de la qualité du code produit. Autonomie, sens de l’organisation et force de proposition. Pragmatique et orienté résultats. Très bon relationnel. Agile (SCRUM). Connaissance de l’univers des médias éditeurs et de ses contraintes. Curiosité pour trouver des solutions efficaces aux dysfonctionnements quotidiens (exemple : recherche de la cause d’une lenteur d’affichage d’une page). Notions de SEO et de Web Performance. - Notions de Web Marketing. Anglais courant. Freelance-info - il y a 7 jours - Continuer pour postuler Signaler un abus
STAGE DÉVELOPPEUR JAVASCRIPT FULLSTACK;Javascript;France;Paris 13e (75);Bubble;Stage;800 € - 1 200 € par mois;Paris 13e (75) Stage 800 € - 1 200 € par mois DESCRIPTIF DU POSTE Aux côtés du CTO (ancien Ebay NYC) et d'un senior dev, tes missions seront de nous accompagner dans le développement de nos applications Android et iOS et du site web en : Créant de nouvelles fonctionnalités dans l’app et dans l’API, avec un gros focus sur l’UI et les performances Améliorant notre outil de back-office pour le management du crowdsourcing de notre base de données Améliorant l'outil web mis à la disposition des libraires Créant des scripts de traitement de data (images, flux de stocks, catalogue BD) Nos technos/Notre stack On aime les technos modernes et efficaces qui nous permettent de coder vite et avec un haut niveau de qualité. Au quotidien on travaille avec : JavaScript, React native, React et Node Postgres, AWS et Github PROFIL RECHERCHÉ Le JavaScript est ta passion et tu as déjà travaillé avec des API: Autonome et rigoureux Force de proposition Doté de l’esprit startup Stage de fin d’étude, école d’ingénieur, université, convention de stage requise PROCESS DE RECRUTEMENT Entretien téléphonique suivi d'un entretien sur site avec le CTO. Pourquoi nous rejoindre Découvrir 2 mondes fantastiques : l’univers des BD Comics Mangas et celui des startups Participer à la croissance d’une startup avec un vrai périmètre de responsabilités dans la conception et dans l’execution Prendre de l’expérience en accéléré Profiter du campus de Station F INFORMATIONS COMPLÉMENTAIRES Type de contrat : Stage (6 à 12 mois) Date de début : 01 janvier 2020 Lieu : Paris 13e Arrondissement, France (75013) Niveau d'études : Bac +5 / Master Expérience : < 6 mois Télétravail ponctuel autorisé Salaire : entre 800€ et 1200€ / mois Station F - il y a 7 jours - Continuer pour postuler Signaler un abus
[STAGE] Développement Web avec HTML/Javascript à partir d'AO...;Javascript;France;Paris (75);easyQuorum;Temps plein, Stage;600 € - 1 000 € par mois;Paris (75) Temps plein, Stage 600 € - 1 000 € par mois Rattaché(e) directement aux CTO, vous aurez pour principales missions de développer les applications d'easyQuorum. Notre startup est en pleine croissance et nous recherchons des profils pour compléter nos équipes. Nous proposons un poste de STAGE à partir d'août ou septembre 2020 pour une durée de 3 mois minimum, ce poste n'est pas un poste en alternance, merci de ne pas postuler si vous ne rentrez pas dans ces critères. Vos missions au sein de l'équipe seront : - Gestion de projets - Développement Web en HTML/CSS/Javascript - Intégration de modèles de documents en Vue.js - Développement en C# - Création de tests automatisés - Tests et recette Les missions seront amenées à évoluer en fonction de vos motivations et aptitudes. Compétences techniques requises Une bonne base de connaissances en développement Web avec HTML / CSS / Javascript / jQuery / AJAX Des connaissances avec des frameworks Javascript comme Angular, React, Vue.JS, jQuery etc... Bref si vous êtes passionné(e) par le développement WEB, vous adorez concevoir des applications et vous êtes attiré par l'émulation d'une startup, vous êtes à la bonne adresse. Merci également de nous indiquer la date de début de votre stage, la durée et si c'est à temps plein ou à mi-temps. Si vous possédez un portfolio, veuillez nous le joindre dans votre lettre de motivation. La réussite de notre startup repose en grande partie sur la qualité de ses équipes, c’est pourquoi nous souhaitons nous entourer des meilleurs. Nous souhaitons tout mettre en œuvre pour que vous deveniez très bon : vous former, vous donner des responsabilités et vous faire comprendre l’enjeu de vos missions. Nous avons également besoin que vous soyez curieux, passionné(e) par les nouvelles technologies, au courant des dernières innovations, et très rigoureux(se). Type d'emploi : Temps plein, Stage Salaire : 600,00€ à 1 000,00€ /mois Expérience: développeur ou étudiant développeur informatique: 2 ans (Souhaité) développement Javascript : 1 an (Souhaité) développeur ou étudiant développeur Web: 1 an (Souhaité) il y a 3 jours Signaler un abus
Alternant Développeur web - TF1 Publicité H/F;Javascript;France;Boulogne-Billancourt (92);TF1;Apprentissage, Contrat pro;;Boulogne-Billancourt (92) Apprentissage, Contrat pro Type de contrat: CDD Profession.  Métier: Régie Publicitaire (Commerce, Revenue Management..  Société: TF1 PUBLICITE  Faisons connaissance En tant que première régie plurimédia d’Europe, TF1 Publicité commercialise les espaces publicitaires de nombreux supports sur plusieurs médias :  En Télévision, les écrans publicitaires classiques et les dispositifs de parrainage des chaînes du Groupe TF1 (TF1, TMC, TFX, TF1 Séries Films, LCI, TV Breizh, Ushuaïa TV, Histoire).  Sur le marché des radios, les espaces publicitaires des Indés Radios, de M Radio et de radios d’Outre-Mer.  En digital : les dispositifs publicitaires autour des déclinaisons digitales des chaînes commercialisées et des assets digitaux du Groupe (MyTF1, Studio 71, etc.) en poursuivant le déploiement de la stratégie digitale autour des écrans que sont la télévision, le PC, le mobile et les tablettes.  Au travers de la diversité et de l’attractivité de ces supports publicitaires, TF1 Publicité propose à ses annonceurs des modes d’expression différenciés et des dispositifs publicitaires adaptés à tous les besoins. Votre rôle au sein de l’équipe Direction : Direction Générale  Libellé du poste : Alternant Développeur web - TF1 Publicité H/F  Au sein du pôle Digital des opérations digitales, vous travaillez dans la structure dédiée aux développements des campagnes publicitaires événementielles.  Rattaché(e) au responsable de production, vous développez des maquettes et des formats publicitaires innovants et impactants et participez au déploiement du book créatif orienté autour de 5 axes majeurs : formats événementiels, companion ad, formats vidéos, overlay augmenté, lab créatif.  A ce titre, vos principales missions seront : Participation active aux études de faisabilité des nouveaux formats publicitaires, aux choix techniques et à leur mise en œuvre Aide à la définition de la solution technique optimale Développement des formats et applications dans le respect des délais de production Tests de mise en ligne Veille sur les nouveaux formats publicitaires digitaux Localisation du poste Lieu de travail : Boulogne Billancourt Vos atouts pour faire la différence Formation niveau Bac+3 minimum ou équivalent en Multimédia ou Informatique, en contrat d’apprentissage ou contrat de professionnalisation pour une durée d’1 an.  Curieux(se), persévérant(e), passionné(e) par le développement et la qualité du code, vous possédez de fortes appétences pour les nouvelles technologies et l’univers de la publicité. Vous aimez travailler en équipe et faites preuve de rigueur.  Les connaissances suivantes sont requises pour la prise en main du poste : HTML5, Javascript, Programmation Orientée Objets.  Connaissances supplémentaires appréciées : XML, JSON, VAST/VPAID, PHP… Il y a plus de 30 jours - Continuer pour postuler Signaler un abus
