Poste;Entreprise;Pays;Ville;Type de contrat;Salaire;Description
Python developer (Backend) REMOTE;Ace-stack LLC;USA;Research Triangle Park, NC;None;$70 an hour;Job Details Position : Python developer (Backend) REMOTE THIS POSITION IS REMOTE UNTILL COVID-19 situation, as situation normalise candidate has to join project Onsite .  Excellent knowledge of and experience with Python (Python 3) Excellent knowledge of Linux (RHEL, CentOS, Fedora) Excellent knowledge of version control systems (Git) Strong analytical skills Strong communication skills Strong organizational and leadership skills Strong written and verbal communication skills in English, ability to communicate effectively in a global team Ability to influence/impact beyond immediate team Ability to multi-task Ability to work unsupervised in a fast-paced environment, willing to learn on your own
MACHINE LEARNING ENGINEER - PYTHON, TENSORFLOW, #10647;InspiHER Tech;USA;United States;None;$90,000 - $140,000 a year;"Published May 11, 2020 Location Anywhere, United States of America Job Type Full-time Description TITLE: MACHINE LEARNING ENGINEER - PYTHON, TENSORFLOW JOB ID: 10647 LOCATION: Can live anywhere in the United States. 100% remote work SALARY: $90k - $140k STATUS: Direct Hire (not a Contract) &amp;nbsp; About the Client: Join our Loop client who is disrupting the Financial Services market in a whole new way through delivering structured data observations and predictive analytics using deep learning technology. About the Machine Learning Engineer, Python, Tensorflow Position: Looking for a Data Scientist - Machine Learning Engineer that will be directly involved in building cutting-edge technology for Financial Services clients. About the Machine Learning Engineer, Python, Tensorflow Responsibilities: Responsible for architecting and building machine learning tools and infrastructure using Python, AWS/K8s, Tensorflow and more Deploy and maintain model Microservices Build maintainable data pipelines for deep learning models Contribute to future product direction organizational decisions related to Software Platforms About the Machine Learning Engineer, Python, Tensorflow Requirements: 2-5 years Python Back-End Development required Proficiency with AWS and Kubernetes is needed Experience with Tensorflow, Fast API’s and Starlette ideal Knowledge of modern software development best practices &amp;nbsp; &amp;nbsp; &amp;nbsp;"
Python developer (Front end ) REMOTE;Ace-stack LLC;USA;Research Triangle Park, NC;None;$70 an hour;Job Details Position : Python developer (Front end ) REMOTE THIS POSITION IS REMOTE UNTILL COVID-19 situation, as situation normalise candidate has to join project Onsite .  Knowledge of HTML5 and Semantic HTML, JavaScript, CSS3, CSS-extension languages like Less & Sass (SCSS), TypeScript a plus Using popular front end frameworks like React, Vue, AngularJS, Angular, Ember.js etc Creating responsive UIs and implementing zero-data designs Knowledge of CSS Grid & Flexbox Measuring performance and optimizing front-end applications using tools like Lighthouse, Sitespeed.io Working with automated testing frameworks such as Mocha, Chai, Karma, Jest, Selenium/Webdriver, Phantom/Slimer and services such as Sauce Labs and BrowserStack Bundling and optimizing code using tools like webpack
Python Developer Intern;OXO Solutions;USA;Ruby, SC;None;$4,000 a week;"Job Description We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well. Responsibilities Write clean, maintainable code following best practices (unit testing, source control, continuous integration, automation, design patterns, etc.)  Debug code and troubleshoot problems  Collaborate with other developers, testers, and system engineers to ensure quality product enhancements  Take full responsibility for the quality of code and test cases that are developed  Job Summary Offered Salary 4000 Career Level Internship Experience 2 year Qualification MCA M.Tech CSE B.tech IT B.C.A B.tech (CSE/IT/ECE/ME)"
Python Developer;Piper Companies;USA;Saratoga, UT;None;$85,000 - $120,000 a year;Description Piper Companies is seeking a Python Developer for an exciting hypergrowth startup company in Saratoga Spring, Utah. The Python Developer will be supporting the next generation of products and data initiatives within the organization. A strong candidate for the Python Developer role will be an individual who is excited to work in a fast paced start up culture. Responsibilities for the Python Developer include: Support software developers, database architects, data analysts, and data scientists on data initiatives Data engineer and assemble data sets per business requirements Build data infrastructure and leverage a variety of big data technologies API Development Collaborate with various stakeholders within the organization to understand data needs  Requirements for the Python Developer include: 3+ years of data engineering and python experience Strong backend API Development experience Advanced SQL experience working with relational and non relational databases Experience with AWS cloud services is ideal - EC2, EMR, RDS, Redshift, SageMaker, Glue Experience with data pipeline and workflow management tools such as Airflow or Apache Flink is a plus Bachelor’s Degree and/or relevant work experience  Compensation of the Python Developer include: Salary Range: $85,000 - $120,000 plus a comprehensive benefits package including Medical (United), Dental (Guardian), Vision (VSP), and 401K (Voya through ADP)  Keywords: Backend Developer, API Development, Python Developer, Data Engineer, Python
Junior Programmer;Murphy Research;USA;Santa Monica, CA 90401 (Wilshire/Montana area);None;None;"Murphy Research is a full-service custom market research firm known for our innovative research design and consultative approach. We produce groundbreaking qualitative and quantitative research through our focus on creative design, rigorous execution, and enduring insights. Our team thinks out of the box, follows a steady execution process, and is empowered to produce the highest quality research product that truly matters to our clients.  We are actively seeking a Junior Programmer to join the Murphy Research team. In this role, you will collaborate with our research team to program online surveys dedicated to customized projects for a diverse range of Fortune 500 companies and to develop automation tools that optimize the Company’s internal workflow. Our research ranges across industries on diverse projects with clients like, Twitter, Disney, Gatorade, Honda, and Hershey's. This is an exciting opportunity to utilize your programming and problem-solving skills as you support some of the world’s most prominent brands with market assessment, brand strategy, product development, customer loyalty and engagement, and communications research. About You: You are a self-starter with a passion for programming and ongoing desire to learn on your own You have learned to code in any language, through a course, bootcamp, or any self-taught techniques; preference for experience with one of the following: C#, Python, JavaScript You love teamwork, but you’re great at managing independent work on multiple projects simultaneously; you love to share what you learn and are familiar with version control tools and systems like Git, Github, or Bitbucket You have an exceptional attention to detail and the ability to concentrate on intricate work for significant amounts of time while responding appropriately to interruptions Your written and verbal communication skills are points of strength You have great organizational skills and a proven ability to deliver high quality work in a fast-paced environment Bonus points for experience with server-side programming, VBA, or a basic understanding of web system administrations and network administration What You'll Be Doing: You’ll collaborate with a team of researchers to program survey questionnaires while integrating into the company’s workflow and learning front-end technologies such as XML, HTML, CSS, JavaScript, Python You will initiate development of special projects and respond to requests by Senior Management; projects will optimize the company’s workflow, efficiency, and productivity through automation, while providing you opportunity to lean into server-side software development, working with C#, ASP.NET Core, NGINX, AWS, REST API You will maintain proactive ongoing communication with your stakeholders and programming team on a project-by-project basis. This is including, but not limited to confirmations of all job specifications and sending daily updates and report statuses, ensuring completion of work along given timelines You will complete your own Quality Assurance (QA) testing and data checking procedures on all projects, including questionnaires where documentation is provided to ensure error-free skips and rotation, and a delivery of error-free work You will actively pursue knowledge of programming and CS tools; you will achieve all benchmarks as outlined in the training plan to learn all software programs, programming languages, and technical applications required of the position What We Offer: Daily opportunity for variety, challenge, and growth Great training, career advancement, and mentorship opportunitiesA collaborative, team-oriented, and high-performing atmosphere Competitive benefits package, including medical, dental, vision, 401k matching, paid time off, parking on-site, social activities, casual dress, and a key focus on work-life balance A prime Westside location in downtown Santa Monica, just blocks from the Expo Line, 3rd Street Promenade, and the beach!  This is a great entry-level opportunity for those interested in programming, research, data, and business!"
Data Scientist Entry Level - Pathrise Recruiting Partners;Pathrise;USA;Remote;None;None;What is Pathrise Recruiting Partners?  Pathrise Recruiting Partners connects top candidates to top employers. We use the same tactics and connections that we’ve used to place 300+ candidates to also bridge the connection between great candidates and top employers and recruitment firms. By applying to this position you gain access to a streamlined application process. This puts your resume right into the recruiting teams of our partners who are actively seeking candidates like you. To read more visit pathrise.com/pathrise-recruiting-partners  Job Description  Our partners are looking for entry level Data Scientists. In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions. These positions are ideal for someone with a passion for data science and is entrepreneurial. These positions are an exciting way for someone to break into data science and start building a career at organizations ranging from established tech companies to growing startups. Qualifications 0-3 years in data science Excellent communication skills, ability to understand customer needs and provide valuable recommendations Strong Python and SQL skills Able to effectively synthesize, visualize, and communicate your ideas to others Familiar with key data engineering concepts Experience with data visualization What will I be doing? Being involved with product discussions about high impact features Help with various data analysis and modeling projects projects Creating data visualizations for use in both internal and external capacities Using data to inform decisions made by product, engineering, and design teams This role is part of our Pathrise Recruiting Partners program. Submitting this application will allow your profile to be reviewed by our network of hiring partners. To read more about how this all works as well as more information about our partners please visit pathrise.com/pathrise-recruiting-partners
Jr. Software Developer - Remote;Piper Companies;USA;Raleigh, NC;None;$65,000 - $100,000 a year;Description Piper Companies is seeking a Jr. Software Developer – Remote for a growing cloud SaaS start up. The Jr. Software Developer – Remote will be responsible for the design, development, and implementation of new features to a brand new software product.  Responsibilities for the Jr. Software Developer – Remote include: Design, develop, and implement new backend services and applications Work with leadership and senior developers on how to build scalable, secure, and high quality code Collaborate with cross functional teams Thoroughly document work in an organized manner  Requirements for the Jr. Software Developer – Remote include: Proficiency in Java or Python Strong OO programming skills RESTful web service experience Excellent problem solver Strong verbal and written communication skills Bachelor’s Degree in Computer Science, Computer Engineering  Compensation of the Jr. Software Developer – Remote Salary Range: $65,000 - $100,000 plus a comprehensive benefits package including Medical (United), Dental (Guardian), Vision (VSP), and 401K (Voya through ADP)  Keywords: Java, OO, CS, CE, Computer Science, Computer Engineering, REST, API Development
Virtual Tampa Hackathon;CITI;USA;Tampa, FL;None;None;"Citi’s Institutional Clients Group (ICG) Operations & Technology team is excited to be hosting its first virtual hackathon starting on June 16th, 2020 and ending on July 1st, 2020. If you have 2+ years of technical experience and are interested in working in Tampa, we invite you to apply to participate in this event where you’ll have the chance to apply your skills to a real business challenge and get a glimpse into what a leading financial services institution is doing to remain at the forefront of innovation. We’re looking for fullstack developers and technical business analysts / project managers with experience in one or more programming languages including but not limited to: Javascript, Angular/React Java, C#, Python Additional technologies such as databases/ETL, Hadoop, and Jupyter Notebooks The virtual hackathon will take place over the course of two weeks, and you will have multiple opportunities to learn more about Citi through senior speaker series, employee Q&As, and networking sessions. Winners and other stellar participants will not only win fun prizes (e.g. Citi swag, Apple Watch), but they will also be automatically interviewed for open positions in Citi’s Tampa office! Please apply to participate in the event by Friday, June 12th. All applications will be reviewed on a rolling basis. - Grade : - Time Type : - Citi is an equal opportunity and affirmative action employer. Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity. Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity . To view the ""EEO is the Law"" poster . To view the EEO is the Law Supplement . To view the EEO Policy Statement . To view the Pay Transparency Posting ."
Independent & Self-motivated Python Backend Developer;None;USA;Remote;None;None;Job description Seez is growing and taking on more projects, and we’re looking for some new bright colleagues to help us with the challenging projects. We are focusing on the backend and are looking for some strong colleagues to work on python development projects. Our entire backend architecture is heavily built with python and you’re expected to know your way around the language. We have a core backend pipeline that runs webscrapers on a daily basis, aggregating data from multiple sources in multiple countries. This data is feed through a pipeline that cleans and updates the data continuously. This aggregated data can be viewed by our users on the Seez apps. We apply machine learning on multiple projects. The new projects will build upon the current architecture and some will be completely independent projects that may re-use some of the existing infrastructure. A quick overview of our backend technology stack: Python 3 (Flask, FastAPI, Scrapy) Redis and Celery PostgreSQL Docker Linux Firebase Odoo ERP You will have freedom, you will be challenged, and you will not be shut down due to bureaucracy, but your voice will be heard. You are expected to be able to handle multiple tasks and shouldn’t be afraid to take on challenges. However, you are expected to consider the challenges and be able to propose feedback. You will be part of a team and you are expected to pull on your teammates when need, but also be able to run on your own and actively seek feedback on projects. We value communication very highly and you will be expected to participate and join discussions in product development as well as company direction, lastly, you are not a code monkey. We have a very free and open minded culture and are preferably looking for someone with the same mentality. We value growing our team and there will be plenty of opportunities for you to jump into our other projects and get familiar with our other projects. You will be a part of a distributed team from the Middle East and across Europe. We will only accept applicants that are within +-2 hours of CEST. Daily communication is done through Slack and we use Zoom extensively. We have multiple weekly meetings – not counting one-on-ones and project related interactions. Our ideal candidate has the following characteristics You have been coding for a while.. You can keep your head cool in stressful situations You care about code quality, readability and maintainability You take pride in what you do, but welcome feedback Good communication skills and willingness to work in a team Prior experience in working with Scrum and, or Agile methodologies Perfect reading, writing and oral skills in English We’re looking forward to hear from you! Stay safe, and keep socially distancing.
