Poste;Métier;Pays;Ville;Entreprise;Contrat;Salaire;Description
Alternance - Data Scientist H/F;Data scientist;France;Paris 9e (75);Malakoff Humanis;Apprentissage, Contrat pro;;Paris 9e (75) Apprentissage, Contrat pro Contrat ALTERNANCE Finalité du poste Au sein du service DATA, vous participerez à la mise en œuvre des méthodes /techniques de Data science pour répondre à la mise en œuvre d'un produit DATA répondant à une question majeure du métier. Vos missions Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront: étudier des données disponibles qui permettront de définir les données qui seront utilisées dans l'élaboration du produit data selon les règles de conformité groupe et accord du Data identifier les données complémentaires à obtenir récupérer et analyser les données identifées pour le produit data à mettre en œuvre identifier la problématique des directions métiers pour réaliser le(s) modèle(s) initial(aux) et les évolutions successives répondant à la problématique élaborer les mécaniques anticipant l'évolution des données utilisées dans les modèles élaborer les systèmes auto apprenant élaborer le monitoring des modèles mis en œuvre modéliser les résultats pour les rendre exploitables par les managers et la direction générale supporter la direction métier dans la définition des KPI permettant de mesurer la valeur attendue, contribuer a leur analyse et la définition du plan d'action d'améliorations des algorithmes s'assurer de la mise en place des conditions d'industrialisation sur l'ensemble des dimensions organisationnelle, compétences, outils.... mettre en place la boucle d'apprentissage permettant l'amélioration des algorithmes Profil recherché Vous préparez un Bac+5 en alternance dans le domaine de la Data Science, Mathématiques appliquées, statistiques et informatiques, ou de type écoles d'ingénieurs. Vous connaissez les enjeux des directions métiers assurance. Vous avez une appétence forte pour la gestion des données. Et une première expérience en data science et en particulier en machine Learning. Vous connaissez les environnement Big Data. Vous aimez travailler en équipe et êtes un bon communiquant (écrit et oral). Vous avez des capacités d'écoute et d'analyse ainsi qu'un sens du contact, une disponibilité et une réactivité. La connaissance des outils d'analyse de données, d'exploration de données et de la programmation ainsi que de R et Python seraient un plus il y a 19 jours - Continuer pour postuler Signaler un abus
Senior Data Scientist H/F (75);Data scientist;France;Paris (75);Rexel;;;Paris (75) Senior Data Scientist H/F (75) Expert de la distribution multicanale pour le monde de l’énergie, Rexel accompagne ses clients professionnels dans la mise en œuvre de solutions innovantes. Engagé vers une croissance durable, la digitalisation est au cœur de l’entreprise. Description externe Rexel recrute un(e) Lead Data Scientist Poste rattaché au Responsable Business Analytics et Data Science Au sein de la Direction Business Optimization, le/la Lead Data Scientist analyse, modélise et traduit des problématiques business en une solution analytique opérationnelle, en étroite collaboration avec les différentes équipes métiers (Commerce, Marketing, Digitale, Supply Chain et IT). L’équipe Data Science travaille également en étroite collaboration avec la Direction Data, Innovation & Services du Groupe. Missions Vous comprenez et analysez les besoins des clients internes, validez les enjeux avec vos partenaires (ROI) et la faisabilité (qualité / coût / délais). Vous mettez en œuvre l'ensemble des méthodes et techniques nécessaires pour répondre aux problématiques au cours du projet avec les équipes métiers : sélection, analyse, qualification et acquisition des données, analyses exploratoires, descriptives (BI), prédictives (ML) et prescriptives. Vous intervenez sur l’ensemble du processus : phases exploratoires, prototypage, pilote terrain, industrialisation, déploiement, run En tant que Lead Data Scientist, vous êtes amené à piloter d’autres Data Scientists ou prestataires qui interviennent sur vos projets avec une orientation résultat et budget Vous communiquez sur l'avancement et les résultats de vos projets en adaptant votre démarche et votre discours de manière proactive. Vous participez à la réussite de l'équipe en partageant vos connaissances et vos méthodes. En tant que membre moteur de la communauté vous contribuez à l'expansion de la culture Data au sein de Rexel. Vous intervenez avec un focus majoritairement France, mais également sur des projets déployés à l’international. - Profil Niveau ingénieur ou Master 2 en Mathématiques appliquées et/ou Statistique et/ou Informatique et/ou recherche opérationnelle, Vous justifiez d'au moins 3 à 5 ans d'expérience réussie sur des missions équivalentes. Vos compétences couvrent plusieurs des points suivants : Algorithmes de machine learning (supervisés et non supervisés) : random forest, réseaux de neurones, régressions, time series, text mining… Optimisation, Recherche opérationnelle Programmation scientifique dans un langage de script : Python fortement recommandé (scikit, tensorflow..), ou R Bases de données et langage SQL Visualisation de données (librairies Python, Qliksense, D3...) Déploiement via docker Gestion de projet et de prestataires Votre capacité à analyser, modéliser et traduire les problématiques business vous permet de collaborer efficacement aussi bien au sein de votre équipe qu'avec les équipes métiers et techniques. Vous êtes passionné et disposez d'un sens pratique qui se traduit, entre autres, par la capacité à chercher et proposer les solutions adaptées (IT/Code/logiciel, etc.). Vous savez faire preuve de flexibilité et vous adapter à un contexte de montée en puissance de la practice Analytics au sein du groupe. Vous êtes motivé, organisé et autonome, aimez travailler en équipe et disposez de bonnes capacités de communication. Anglais courant pour échanger avec les différents supports éditeurs et les entités des autres pays. D’AUTRES RAISONS DE NOUS REJOINDRE Un package de rémunération attractif (variable, participation, mutuelle, prévoyance) Des formations adaptées grâce à la Rexel Academy (environ 37 000 heures de formation dispensées chaque année) Un parcours d’intégration construit sur mesure De nombreuses opportunités d’évolutions internes en France et à l’international (450 mobilités internes réalisées par an en moyenne) Un environnement dynamique, innovant et digitalisé dans lequel évoluer 80% de nos collaborateurs déclarent travailler dans un esprit d’équipe et de coopération. (enquête interne 2018)  QUI SOMMES-NOUS ? Société côté en bourse et présente dans 26 pays, Rexel intervient après d’installateurs de toutes tailles, mais aussi de sociétés industrielles ou tertiaires, publiques et privées. En France, Rexel compte 5 000 collaborateurs, 460 agences et 9 centres logistiques pour un chiffre d’affaires de 2.44 milliards d’euros. Vous êtes motivé pour rejoindre une équipe de passionnés, conviviale et centrée sur ses clients ? Envoyez-nous votre candidature ! EN SAVOIR PLUS SUR NOS MÉTIERS Découvrez nos métiers en vidéo et projetez-vous au sein d'une super équipe ! Découvrir nos vidéos métier Il y a plus de 30 jours - Continuer pour postuler Signaler un abus
Alternant(e) Data Scientist H/F;Data scientist;France;Boulogne-Billancourt (92);TF1;;;Boulogne-Billancourt (92) Apprentissage, Contrat pro Type de contrat: CDD Profession.  Métier: Digital, Data, Développement web  Société: TF1 SA  Faisons connaissance Première chaîne de télévision généraliste française, le Groupe TF1 ne compte pas que ses chaînes.  En effet, TF1 a engagé depuis plus de 25 ans une diversification de ses activités et est devenue un groupe de communication intégré qui développe au-delà de son cœur de métier, des activités sur des segments porteurs tels que la production audiovisuelle, le digital, la télévision payante, le e-commerce mais aussi l'exploitation de salles et la production de spectacles, les licences et les jeux.  Au sein de la Direction Innovation et Digital, l’équipe Data & Analytics renforce la stratégie globale de groupe TF1 avec un objectif principal : la création de valeur à partir des données collectées.  A ce titre l’équipe Data & Analytics accompagne toutes les directions métiers et développe des outils innovants et des modèles algorithmiques qui permettent d’optimiser l’expérience client, de piloter la performance et de monétiser les données en déployant en production différents projets stratégiques, à forte visibilité. Votre rôle au sein de l’équipe Au sein de l’équipe DATA, vous aurez pour missions de développer les outils statistiques et informatiques du DataLake.  Vous apporterez vos connaissances dans le traitement et l’agrégation de données provenant de sources variées et hétérogènes (logs techniques, bases CRM, études, réseaux sociaux, données marché,…). Egalement, vous aurez pour mission de mettre en place des processus d’alimentation de données dans l’optique de création de modèles statistiques dans le cloud (Microsoft Azure).  Tout au long de l’année, vous serez amené(e) à : Approfondir les nouvelles techniques de traitements des plateformes big data Mettre en place des alimentations de données dans le but de statistiques Intégrer les données en base grâce aux différents outils de manipulation de données Développer des rapports simples en Tableau  Localisation du poste Lieu de travail : Boulogne Billancourt Vos atouts pour faire la différence Etudiant(e) en fin de cycle informatique et BigData, datascience ou équivalent Rigoureux(se), vous avez un bon esprit de synthèse et un raisonnement structuré Vous avez des connaissances en : Python / SQL / Machine Learning Il y a plus de 30 jours - Continuer pour postuler Signaler un abus
ALTERNANT DATA SCIENTIST H/F;Data scientist;France;Issy-les-Moulineaux (92);BNP Paribas;Apprentissage, Contrat pro;;"Issy-les-Moulineaux (92) Apprentissage, Contrat pro ALTERNANT DATA SCIENTIST H/F (NUMÉRO DE L'EMPLOI : REAL_ESTATE20_0526_9)  Leader européen de services immobiliers, BNP Paribas Real Estate couvre l’ensemble du cycle de vie d’un bien : Promotion, Investment Management, Property Management, Transaction, Conseil et Expertise. Avec plus de 5400 collaborateurs, BNP Paribas Real Estate accompagne localement propriétaires, locataires, investisseurs et collectivités dans 32 pays (15 via ses implantations et 21 via son réseau d’alliances) en Europe, Moyen Orient et Asie. En 2018, BNP Paribas Real Estate a réalisé 968 M€ de revenus. Poursuivant sa croissance, en 2017, BNP Paribas Real Estate a acquis Strutt & Parker, l’un des principaux acteurs indépendants du marché immobilier au Royaume-Uni.  BNP Paribas Real Estate est une société du Groupe BNP Paribas  Pour plus d’informations : www.realestate.bnpparibas.fr Nous recherchons un(e) alternant(e) : Data Scientist H/F Poste en Alternance - basé à Issy-les-Moulineaux (92) Disponibilité : septembre 2020  Missions :  En tant que scientifique, vous serez amené à travailler sur des sujets innovants et variés en lien avec les différents métiers de BNP Paribas Real Estate. Quelques exemples de sujets: Press signals : analyse de sentiments de la presse afin d’anticiper les prochains cycles de marchés AVM : estimation des valeurs de biens résidentiels, bureaux… Clustering des entreprises ; Prédiction du changement de zone géographique Churn : prédiction du départ d’un locataire IOT, optimisation des espaces de bureaux Pour cela un travail préalable de qualification des données et de clusturing sera nécessaire.  D’une façon générale, vous aurez à : Répondre à la sollicitation des métiers internes pour les aider à analyser leurs activités Recueillir les demandes Identifier les enjeux et les besoins ainsi que les indicateurs clés Vous approprier le besoin et le traduire en projet d’analyse Identifier des données internes et externes nécessaires à l’analyse Structurer et rassembler les données : Synthétiser les données collectées Enrichir les données internes par des données externes (2nd and 3rd data) Préparer des données (nettoyages, création d’agrégats…) Analyser les données en mode POC/Projet : Mettre en place une méthodologie d’analyse Construire des features et analyses de pertinence Construire des modèles pour répondre aux enjeux métiers Contrôler et piloter la dérive des modèles Tester, contrôler la qualité et la cohérence des résultats avec le client interne Démontrer, par des démos régulières, les avancées des études aux cotés des équipes Data et métiers Participer à la Communauté Analytics regroupant les analystes des autres équipes sensibilisés à la data sciences Environnement de Travail :  Vous serez rattaché(e) à un Chief Data Scientist et intégré(e) au sein d’une équipe de 4 personnes. Le département « Data » est amené à jouer un rôle clé dans la maîtrise du cycle de vie de la donnée et dans la conception des solutions transverses aux lignes de métiers, aux fonctions et aux pays.  Apports de la mission :  Riche en diversité et en échanges avec les différentes lignes de métier, fonctions et différents pays, ce poste vous permettra d’instaurer une relation de confiance auprès de vos interlocuteurs, tout en développant vos compétences techniques dans l’apprentissage de sujets différents.  Profil recherché :  Vous disposez d’une formation Bac+4/5 (école ingénieur ou université), vous avez acquis de solides connaissances théoriques en mathématiques, statistiques et vous avez déjà implémenté au moins un algorithme de machine learning. Vous disposez d’une bonne connaissance en base de données en SQL, du cahier jupyter (ou autre IDE Python) et/ou R. Vous savez faire preuve d'autonomie, d'initiative et de rigueur pour mener à bien les projets.  Compétences comportementales nécessaires au poste  Rigueur et précision Capacité de synthèse Capacité à collaborer Capacité d’analyse il y a 4 jours - Continuer pour postuler Signaler un abus"
Data Scientist H/F;Data scientist;France;La Défense (92);AGYLIS;Temps plein, CDI;40 000 € - 50 000 € par an;La Défense (92) Temps plein, CDI 40 000 € - 50 000 € par an AGYLIS est un acteur important des Entreprise de Services du Numérique qui figure parmi le Top 300 des acteurs de l’IT Française. Avec un chiffre d’affaires de 10 M€, nous accompagnons nos clients sur les nouvelles technologies, le Décisionnel et le Digital. Nous intervenons auprès de clients Grands Comptes reconnus des secteurs de la Banque, des Assurances, de l'Industrie, de la Grande Distribution pour la conception, la réalisation et la maintenance de leur système d'information et de gestion. Pour 2020, nous avons pour ambition de réaliser une forte croissance sur l’ensemble de nos entités de Nantes, Lyon, Paris et Montréal. Nous recherchons pour l'un de nos clients un Grand Compte dans le domaine Bancaire Un(e) Data Scientist (H /F ) . Objectifs de la mission et tâches Le consultant interviendra au sein d’une équipe IT pour l'entité dédiée aux Cautions de crédits : Particuliers et Professionnels . La mission portera sur le suivi de POC Machine Learning et la proposition de solution d'intégration / industrialisation des modèles algorithmiques développés par les équipes Risques : Accompagnement des équipes Préconisations de bonnes pratiques de développement Python orienté ML Structuration de projet de type ML/DL Intégration de containers Docker Relais technique envers les interlocuteurs (francophone / anglophone) Participation aux projets suivant les sollicitations Gestion de l’environnement de DEV (Serveurs, BDD, etc.) Préconisations CI/CD Préconisations Cloud (AWS, Azure) langage Python - pratiques Machine Learning / Deep Learning. - web service - Cloud - Docker Profil : Ecole d’ingénieur ou Master avec spécialisation data/tech ou statistique. Expérience significative en Python. Connaissances avancées en Excel, VBA est un plus. Bonnes compétences statistiques et mathématiques appliquées. Expérience dans l'utilisation / la création d'API est un plus. Bon relationnel et bonnes compétences en communications à l’oral et à l’écrit Type d'emploi : Temps plein, CDI Salaire : 40 000,00€ à 50 000,00€ /an Expérience: da ou similaire: 1 an (Souhaité) il y a 9 jours Signaler un abus
DATA SCIENTIST / MACHINE LEARNING RESEARCHER INTERN;Data scientist;France;Paris (75);Joko;Stage;;Paris (75) Stage DESCRIPTIF DU POSTE Tu seras responsable du développement d'algorithmes de Machine Learning et de la réalisation d'analyses de données avancées. Tu travailleras au sein de l'équipe Data Science en interaction directe avec l'équipe de développeurs. Selon sa nature, un accent “recherche” pourra être donné au stage (avec notamment des possibilités de publications). Voici une liste non-exhaustive des missions possibles durant le stage : Tu travailleras au développement et à la constante amélioration des algorithmes de recommandation d'offres au sein de l'application, afin d'offrir l'expérience la plus personnalisée possible à nos utilisateurs. Tu participeras à la continuelle évolution des algorithmes permettant de qualifier le plus précisément possible la donnée brute envoyée par les banques. Tu réaliseras des analyses de données avancées afin d'appuyer la prise de décisions et la stratégie des équipes commerciales et des équipes produits. Tu participeras à toutes les étapes du processus de développement, depuis la modélisation des problèmes jusqu'au déploiement des modèles en production. PROFIL RECHERCHÉ Tu as le profil idéal si : Tu es autonome, créatif et tu sais gérer ton temps et ta to-do comme personne Tu as de bonnes connaissances dans différents domaines du Machine Learning Tu es un expert en Python Tu sais résoudre des problèmes complexes et abstraits Tu as éventuellement déjà travaillé avec des séries temporelles et des réseaux de neurones récurrents, ou tu es familier avec des algorithmes d'analyse de graphe Tout ce que tu pourras apporter d'autre sera le bienvenu, c'est important pour nous de constituer une équipe aussi diverse que possible en termes d'expériences, de cultures, de passions, etc. INFORMATIONS COMPLÉMENTAIRES Type de contrat : Stage (4 à 6 mois) Date de début : 10 août 2020 Lieu : Paris, France (75001) Télétravail total possible Station F - il y a 19 jours - Continuer pour postuler Signaler un abus
Data Scientist / Experience analyst;Data scientist;France;Paris (75);LIVEMENTOR;;40 000 € - 50 000 € par an;"Paris (75) 40 000 € - 50 000 € par an À propos LiveMentor est la référence du coaching d’entrepreneurs en France. Passionnés d'entrepreneuriat, ils ont créé une expérience d’apprentissage d’exception pour aider toute une génération à vivre de son projet. Dans leur communauté, ils comptent 6 000 entrepreneurs, et comptent doubler en 2020, portés par une croissance inédite. Qui sont ces entrepreneurs ? Des artisans, des thérapeutes, des e-commerçants, des freelances, et bien d’autres encore. Leur ambition est simple : changer la société française en aidant chacun à vivre de sa passion. Pour cela : Le coaching est vraiment intense et surtout, les mentors savent de quoi ils parlent. Ils ne recrutent que des anciens entrepreneurs ou freelances. Chaque mentor a suivi une formation poussée, et respecte la pédagogie LiveMentor. Ils ont développé une technologie de pointe pour le coaching en ligne. Ils ont créé une belle communauté d’entrepreneurs et de porteurs de projet. Et ils en prennent soin. Elle s’exprime via des rencontres, un groupe Facebook privé, et des événements. Et ils ne comptent pas s'arrêter là ! Descriptif du poste LiveMentor recherche son ""chiffre"" , à savoir celle ou celui qui saura faire parler les milliers de lignes de données qui remontent en permanence de nos entrepreneurs. Votre mission : donner vie aux chiffres pour nous aider à construire une expérience d'apprentissage hors normes - c'est à dire à l'écoute de ses utilisateurs, véritablement efficace et en itération constante ! En collaboration avec les équipes opérationnelles, mise en place, suivi et optimisation des KPIs clés de notre expérience : Csat, NPS, taux d'engagement, avancées des élèves dans l'expérience... User research : construire l'expérience académique la plus fluide possible pour nos élèves Identification des frictions dans notre expérience Appui aux équipes opérationnelles (dashboarding, aide à la définition des KPIs...) Innovation : conduite de projets transversaux en partenariat avec nos équipes OPS et produits visant à l'optimisation de metrics clés (lancement de nouveaux produits, fonctionnalités...) Profil recherché Profil *data analyst * Ecole d'ingénieurs ou un profil Grande Ecole de Commerce ayant l'habitude de mettre les mains dans le cambouis de la data Une première expérience dans un environnement data exigeant et si possible hands on (start up) est souhaitée ! Une bonne maitrise du SQL est un must have Une première expérience en Python, NoSQL ou R est un nice to have Bonne connaissance des logiques CRM (Hubspot est un plus) Profil bricoleur smart : les combinaisons astucieuses de Typeform, Zapier et les recherches de pépites sur des forums sont votre tasse de thé ! Possibilité d'être basé à Paris, à Aix en Provence ou encore en télétravail total ! Informations complémentaires Type de contrat : CDI Date de début : 20 mai 2020 Lieu : Paris, France (75011) Niveau d'études : Bac +5 / Master Expérience : > 1 an Télétravail total possible Salaire : entre 40000€ et 50000€ / an Postuler Voir toutes les autres offres de LiveMentor ISAI Group - il y a 13 jours - Continuer pour postuler Signaler un abus"
Data Scientist H/F - BE4897;Data scientist;France;Vincennes (94);PRO BTP GROUPE;CDD;;Vincennes (94) CDD Notre offre Référence de l'offre BE4897 - Mise en ligne le 20 mai 2020 Famille de métiers : Alternance / Stage Sous-famille de métiers : Analyse de la donnée Métier : Data scientist Contrat : CDD Lieu : Vincennes - 94300 Nous recherchons pour notre Direction de la Gouvernance des Données, un(e) : Data Scientist H/F Contrat en alternance d'une durée de 12 ou 24 mois à compter de Septembre 2020 Poste basé à Vincennes (94) ou à Cagnes sur Mer (06) Vos missions : Au sein de la Direction de la Gouvernance des Données et en lien avec ton tuteur, tu participes au développement des activités de la direction. Nous souhaitons t’accompagner dans ton alternance au travers des missions suivantes qui te seraient confiées : Participer au quotidien à la mise en place du plan d'action de la direction, Contribuer à la mise en place des processus de qualité des données, Participer à la création du DataLab, Conduire des études Datascience, Réaliser des veilles au sujet du Machine Learning et de l'Intelligence Artificielle dans le but d’harmoniser les pratiques entre les différents Data Analystes.   Afin de faciliter ton intégration, tu bénéficieras d’un parcours de formation personnalisé au sein de notre propre Campus de formation interne et en distanciel, afin de découvrir notre culture entreprise, nos activités et notre environnement de travail. Formation : De formation bac +4/5 de type Ecole d'Ingénieur avec une spécialisation en data sciences, ta capacité d'organisation, ta rigueur et ton esprit analytique te permettront de mener à bien tes missions. Autres connaissances ou qualification : Ouvert(e) d'esprit, tu apprécies travailler en équipe et interagir sur des sujets transverses. Tu as un intérêt certain pour les domaines de la Data Analysis, tu maitrises le Pack Office et tu possèdes idéalement des compétences en développement Phyton et R. Plus qu’une Alternance, une Expérience !  Les + de l’aventure : Une ambiance de travail agréable, au sein d’une équipe sympa Des bureaux à deux pas du bois de Vincennes ou sous le soleil méditerranéen Pas de stage photocopie c’est promis !    Ce poste de Data Scientist H/F t’intéresse ? N’hésite plus et envoie ta candidature (CV + Lettre de motivation), en cliquant sur Je postule à cette annonce !  Le Groupe PRO BTP est engagé en faveur de la diversité et de l’égalité des chances il y a 9 jours - Continuer pour postuler Signaler un abus
STAGE/CESURE - Data Scientist;Data scientist;France;Gennevilliers (92);PRISMA MEDIA;Stage;;Gennevilliers (92) Stage 1er groupe bi-média de France en audience print-digital, Prisma Media est aussi l'acteur N°1 en presse magazine et en audience vidéo. Un leadership qui assure à Prisma Media un potentiel optimal d'audience de plus de 40 millions de personnes chaque mois sur ses différents médias. Avec un portefeuille de 25 marques incontournables, le groupe est présent sur les principaux segments grand public (féminin, cuisine, télé, people, découverte, économie…). Porté par la mission de devancer les besoins et envies de ses lecteurs et utilisateurs sur tous les supports, Prisma Media adopte une stratégie offensive de développement et d'innovation dans les secteurs en forte croissance tels que la monétisation de la data, la vidéo et le mobile, avec une ambition d'avoir toujours UN MÉDIA D'AVANCE. Rattaché(e) au manager du service BI / Analytics / Data science, vous intervenez en tant que Data scientist afin de participer au développement de la data science chez Prisma. Ce service a pour vocation d'optimiser l’utilisation des données client et business par les différents services de l’entreprise, pour aider à la prise de décisions, améliorer la compétitivité de l’entreprise et participer activement à la transformation digitale. Tout cela s’effectue au travers des deux leviers que sont l’activité Analytics (BI) et la Data science. Vos Missions ?  Vous créez de la valeur autour de la data via l’analyse de données, l’utilisation de techniques de machine learning et la data visualisation Vous apportez une aide à la décision qui s’appuie sur les enseignements tirés des analyses et vous fournissez des recommandations actionnables aux métiers, via l’interprétation et la présentation des résultats aux équipes Votre stage portera sur un projet d’enrichissement de la base client via la modélisation du profil sociodémographique des abonnés Vous aurez la charge de mener ce projet dans son ensemble : collecte et compréhension des besoins métier, transformation et préparation des données, analyse exploratoire, développement et sélection du modèle, déploiement, restitution des résultats et recommandations au métier Plus particulièrement vous serez en charge des choix méthodologiques pour mener à bien ce projet, incluant notamment la collecte de données géomarketing et de données open source Vous serez également amené à intervenir sur d’autres projets autour de la data et de l’IA liés au business abonnement et aux données de la base CRM, mais également sur les données issues de la diffusion des magazine, du trafic digital, de la régie publicitaire (analyse des ventes, analyse des comportements pour identifier des leviers et des opportunités de croissance, parcours client, fidélité, valeur client, churn, etc) Vous serez accompagné dans vos différentes missions par les équipes IT, data engineers et data scientists, qui vous aideront dans les différentes étapes de votre projet Vous respectez l’éthique en matière d’usage de la data. Votre Profil ?  Ce poste est fait pour vous si : Vous êtes en formation supérieure (de type BAC+5, École d’Ingénieur ou équivalent universitaire Master) vous disposez de solides connaissances techniques en matière de data et avez également une réelle aptitude à comprendre les enjeux business et plus particulièrement ceux engendrés par la data Vous disposez d’une expertise dans le domaine de la data science et des statistiques Vous connaissez les techniques de data science et de machine learning (apprentissage supervisé et non-supervisé dont gradient boosting, réseaux de neurones, clustering, réduction de dimensions, séries temporelles, statistiques avancées) que vous avez déjà eu l’occasion de mettre en application sur divers projets en relation avec le monde étudiant et/ou professionnel Au-delà de vos compétences techniques, vous avez une approche business-centric IT Vous êtes un bon communicant (la restitution des résultats aux équipes est clef) et aimez le travail en équipe Vous avez la capacité de présenter des notions complexes de manière simple et claire Vos Compétences techniques ?  Python (NumPy, SciPy, Pandas, Scikit-Learn) Compétences cloud AWS ou GCP Git Bases de données Oracle / SQL NoSQL Data visualisation (Salesforce, Tableau, PowerBI, QlikView) Durée : Stage ou césure de 6 à 12 mois Rémunération : TBD Contact: mrochet@prismamedia.com  Votre future entreprise ? Vous vous demandez qui se cache derrière GEO, Télé Loisirs, Femme Actuelle, Capital, Gala, Voici et une quinzaine d’autres titres ? C’est Prisma Media, leader historique de la presse magazine, désormais une entreprise full media print, digital, vidéo forte de :  1,5 millions d’abonnés à nos magazines 80 millions de magazines vendu par an Plus de 30 Millions de visiteurs uniques par mois sur nos sites Web Son appartenance au Groupe Bertelsmann Leader mondial dans le domaine des Media (M6, RTL, BMG, Freemantle…)   Les petits plus chez nous ? Nos chiffres et nos marques ne sont pas des arguments suffisants pour attirer votre attention ? Ne vous en faites pas, nous en avons d’autres !  Des locaux attrayants : ZenZone (fauteuil massant, hamac), jardin, terrasses, Ping-pong, babyfoot Une conciergerie : pressing, coiffeur, boutique… Café et thé gratuits, cantine de qualité avec des produits de saisons cuisinés sur place Des formations & conférences mensuelles sur des thématiques diverses : réseaux sociaux, développement personnel, intelligence artificielle… Des events annuels : Garden party, journées Vis ma vie, afterworks… Prisma Media propose tous ses postes aux personnes en situation de handicap en privilégiant une logique de compétence et d'emploi pérenne. Le groupe est signataire de la Charte de la Diversité et partenaire de l'association Adapt. Exercice de vos droits Conformément à la réglementation en vigueur, vous pouvez exercer vos droits d'accès, de rectification, d'opposition, de suppression, de limitation du traitement, et à la portabilité des données à caractère personnel, en adressant votre demande au DPO du Groupe Prisma Media, soit à dpo@prismamedia.com soit par courrier à Prisma Media - DPO, 13 Rue Henri Barbusse. 92230 Gennevilliers. Entreprise: Prisma Media SNC Pays: France Etat/Région: Hauts-de-Seine Ville: GENNEVILLIERS Code Postal: 92624 Emploi ID: 82824 [[customQuickApply]]82824Prisma Media SNC il y a 4 jours - Continuer pour postuler Signaler un abus
STAGIAIRE DATA SCIENTIST;Data scientist;France;Paris (75);craft ai;Stage;;"Paris (75) Stage DESCRIPTIF DU POSTE Ce que vous allez faire Chez craft ai, nous aimons nos clients ! Nous avons une équipe dédiée à leur bonheur : l'équipe ""Customer Success"", en charge d'accompagner clients et prospects pour leur faciliter l'usage de notre API. Nous les aidons aussi bien sur les aspects techniques que sur des sujets plus stratégiques liés à l'intégration d'Intelligence Artificielle dans leur business. Les ingénieurs de l'équipe customer sucess interviennent donc chaque jour auprès de nos clients pour les conseiller, les former, mais aussi pour participer à la conception et au développement de leurs différents projets IA. Un super exemple de cas client géré par l'équipe Customer Success est disponible là . Il résume parfaitement l'activité réalisée par l'équipe dans le cadre d'un projet mené par la Mairie de Paris en collaboration avec Suez. Nous cherchons à renforcer cette équipe d'un stagiaire développeur/data scientist passionné(e) ! Durant ce stage, vous serez amené à prendre en charge des projets, de l'analyse des besoins, à la collecte de données et à l'implémentation de prototypes fonctionnels. En particulier, votre rôle consistera à : Comprendre les problématiques métier des clients et prospects, plus particulièrement autour de l'exploitation de leurs données ; Développer des démonstrateurs mettant en évidence la plus-value de l'IA en utilisant craft ai, Démontrer et communiquer sur les résultats (présentation clients, articles de blog, présentation meetups, salons, ...), Avoir un impact direct sur le produit en tant qu'utilisateur et spécialiste des problématiques métier. PROFIL RECHERCHÉ Ce dont nous avons besoin Culture technique et métier, notamment autour du Machine Learning et de l'Intelligence Artificielle, Compétences en développement logiciel, Capacité à travailler en itérations courtes et à prendre en compte les retours, Excellence à l'écrit et à l'oral, au moins en Anglais et en Français. Ce que vous allez apprendre Développer des prototypes fonctionnels d'applications ou services intégrant des modèles prédictifs, Comprendre les enjeux métiers de marchés en pleine transformation, Maitriser les rouages des algorithmes de Machine Learning appliqués à des cas Business, Et vous serez acteur du développement d'une startup tech ambitieuse en pleine croissance ! INFORMATIONS COMPLÉMENTAIRES Type de contrat : Stage (4 à 6 mois) Date de début : 01 août 2020 Lieu : Paris, France (75012) Niveau d'études : Bac +5 / Master Expérience : < 6 mois Station F - il y a 14 jours - Continuer pour postuler Signaler un abus"
