Poste;Métier;Pays;Ville;Entreprise;Contrat;Salaire;Description
Data Scientist;Data scientist;USA;San Francisco, CA 94103 (South of Market area);Twitter;;;By applying for this role, you could choose to work in the following locations: US - Remote US San Francisco  Who we are: Twitter is looking for a data scientist to join the Capacity Engineering team.  You will work with a team of software engineers and data scientists to build a new capacity management platform to predict demand, track supply, prioritize allocation, and examine utilization across a fleet of hundreds of thousands of physical servers in our private cloud and an expanding footprint in public cloud. You’ll build data pipelines and visualizations to help Engineering understand their capacity usage and plan their future capacity needs. You’ll build prediction models for short and long-term demand projections to drive the necessary supply. Collaborating with business leaders, Finance, and Engineering you’ll deliver deep insights into how budgets are spent and capacity utilized to understand the return on investments. You’ll provide Finance and Supply actionable recommendations about trends to inform long term strategic planning for the business.  What you’ll do: Build and manage data pipelines to track supply, demand, and utilization across a large cloud platform. Build appropriately complex models for capacity demand on timescales ranging from days to years using historical data, explicit manual input, key traffic drivers, seasonal trends, and special events. Build systems to continuously update the capacity demand plan as new information is ingested. Determine appropriate capacity headroom sizing to mitigate demand and supply variance. Work with UI engineers to provide reports and dashboards to inform stakeholders of key performance metrics. Work with UI engineers to design clear, simple data visualizations and intuitive interfaces to support ad-hoc drill downs into large datasets. Prepare and deliver regular capacity analysis, commentary, and recommendations to Supply and Finance on long-term trends to inform infrastructure strategy and company budgets. Influence technology choices for data analysis tools.  Who you are: You’re passionate to work on large datasets to generate knowledge on behaviors and trends and have a diverse interest and skill set covering data analysis, statistical modeling, machine learning, and visualization. You excel at communicating complex insights to both technical and non-technical stakeholders. Expertise in time series analysis applied to forecasting is especially desirable. Experience with capacity planning and/or supply chain management is beneficial but not required.  Requirements: 2+ years of industry experience involving quantitative data analysis to solve real-world problems. BS or higher degree in Data Science, Statistics, Applied Math, Operations Research, or a related field. Experience with scripting languages (Python preferred), SQL, and a shell. Experience with big data analytics tools/libraries such as Spark or Scalding  We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran status, genetic information, marital status or any other legally protected status.  San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. 28 days ago report job
Data Scientist Entry Level - Pathrise Recruiting Partners;Data scientist;USA;Remote;Pathrise;;;What is Pathrise Recruiting Partners?  Pathrise Recruiting Partners connects top candidates to top employers. We use the same tactics and connections that we’ve used to place 300+ candidates to also bridge the connection between great candidates and top employers and recruitment firms. By applying to this position you gain access to a streamlined application process. This puts your resume right into the recruiting teams of our partners who are actively seeking candidates like you. To read more visit pathrise.com/pathrise-recruiting-partners  Job Description  Our partners are looking for entry level Data Scientists. In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions. These positions are ideal for someone with a passion for data science and is entrepreneurial. These positions are an exciting way for someone to break into data science and start building a career at organizations ranging from established tech companies to growing startups. Qualifications 0-3 years in data science Excellent communication skills, ability to understand customer needs and provide valuable recommendations Strong Python and SQL skills Able to effectively synthesize, visualize, and communicate your ideas to others Familiar with key data engineering concepts Experience with data visualization What will I be doing? Being involved with product discussions about high impact features Help with various data analysis and modeling projects projects Creating data visualizations for use in both internal and external capacities Using data to inform decisions made by product, engineering, and design teams This role is part of our Pathrise Recruiting Partners program. Submitting this application will allow your profile to be reviewed by our network of hiring partners. To read more about how this all works as well as more information about our partners please visit pathrise.com/pathrise-recruiting-partners 30+ days ago report job
Full Time Opportunities for Students or Recent Graduates: Da...;Data scientist;USA;Redmond, WA;Microsoft;;;Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft’s devices, operating systems, and services. As a Data Scientist, you will provide unique insight into business and customer scenarios that cut across organizational boundaries and lead the growth of a data-driven culture within Microsoft.  Do you want to work on a meaningful and impactful project and make a difference? Are you willing to learn from others and open to new ideas? Do you want to support others to succeed and operate in a highly-collaborative and global environment? If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job. Read on to learn more about opportunities and apply online! Responsibilities As a Data Scientist, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.  You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results. Qualifications Currently has or is in the process of obtaining their BA/BS or Masters in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc. Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#. Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS. Some experience and or project course work with product and service telemetry systems. Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal. Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged. Passion to learn from your peers, manager, and other stakeholders in the Data Science domain. Ability to interact with peers and stakeholders to drive product and business impact. Strong interpersonal and communications skills.  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.  Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work. 30+ days ago report job
Research Data Scientistnew;Data scientist;USA;San Francisco, CA 94143 (Haight-Ashbury area);University of California San Francisco;;;The Research Data Analyst will join a collaborative team of researchers at the F.I. Proctor Foundation who study child health and infectious and inflammatory eye diseases in the U.S. and internationally. Research projects include cluster- and individual-randomized trials that involve domestic and international collaboration. For this project, the Proctor team is joined by health economists from UCSF (Institute for Health Policy Studies and Institute for Global Health Sciences) and UC Berkeley (School of Public Health).  The Research Data Analyst will support efforts to assess the cost and cost-effectiveness of different approaches to distributing azithromycin to reduce under-five mortality in Niger, as part a large national scale-up trial. The individual will be asked to assist with study refinement, draft study protocols and operations manuals, create data collection forms, design databases, collect data, train and oversee other data collectors, do data quality assurance, manage data, analyze cost data, design and run cost-effectiveness analyses, write and assist with publications, and provide assistance with grant writing.  This position requires an employee who can be relied upon for primary economic and statistical analyses of a complex nature, design and manage databases for cost data collection, design and implement cost-effectiveness analyses, provide basic training and support in statistical and data-related principles to residents, fellows and other employees, and draft grants, protocols, analysis plans and manuscripts. The employee should show a keen interest in cost-effectiveness research and a desire to contribute to the state of knowledge on optimal strategies for the prevention of disease. The individual must be able to multi-task, problem-solve, and apply creative solutions to new and unexpected situations with limited supervision, and to seek and use guidance from senior investigators as appropriate. The employee must be able to communicate effectively with the UCSF teams and international collaborators. This position may include travel to Africa on an annual or twice-annual basis.  PROCTOR FOUNDATION FOR RESEARCH IN OPHTHALMOLOGY The F.I. Proctor Foundation for Research in Ophthalmology at UCSF is committed to engaging in research activities and providing state-of-art patient care that address infectious and inflammatory disease that cause blindness. The mission is the prevention of blindness worldwide through research and teaching focused on infectious and inflammatory eye disease.  ABOUT UCSF The University of California, San Francisco (UCSF) is a leading university dedicated to promoting health worldwide through advanced biomedical research, graduate-level education in the life sciences, health professions and excellence in patient care. It is the only campus in the 10-campus UC system dedicated exclusively to the health sciences. Today report job
Data Scientist;Data scientist;USA;Costa Mesa, CA 92626;Intelliloan;;$20.98 an hour;Intelliloan has been established for over 26 years and we are quickly growing! We are currently looking for a motivated, determined, and growth-driven individual to administer and manage our systems out of our Costa Mesa, CA location. As a Data Scientist, you will be responsible for managing, troubleshooting, providing reliable operation of our computer systems and other duties as assigned. The ideal candidate will have a strong sense of urgency, is detailed-oriented, and is collaborative. *This is a support role and does not require extensive experience, can be remote* Responsibilities: Activation of new users, providing login setup information and deactivating any inactive users Providing technical assistance and quickly troubleshooting issues Verifying levels of user access to specific applications, objects, tabs, and records by managing system security settings Developing maintenance reports to monitor data quality Analyzing reports in order to optimize and improve performance Ensuring high-quality user experience through continuous assessment of system workflows and distributions Actively loading leads to CRM system and sending out daily update reports on a daily basis Construct, test and manage system integrations within Velocify and other company systems Planning and launching weekly projects from start to completion Developing dialing campaigns and strategies within Five9 Qualifications: Bachelor’s Degree preferred but not required Must be highly proficient with SQL, with some knowledge of python Proficient in MS Office Suite Ability to troubleshoot system, user, data and process issues Detail-oriented and high analytical skills Strong written and verbal communication skills Benefits: Training and Growth Opportunities Medical, Dental, Vision, Life Insurance 401K with Matching Contribution Paid Time Off and Holidays 1st to 2nd year is 2 weeks per year 3rd to 4th year is 3 weeks per year 5+ years is 4 weeks per year 7 Holidays per year $1,000 Employee Referral Bonus Program Corporate Discount Entertainment Programs Job Type: Full-time Pay: $20.98 per hour Benefits: 401(k) 401(k) Matching Dental Insurance Disability Insurance Employee Discount Health Insurance Life Insurance Paid Time Off Professional Development Assistance Retirement Plan Vision Insurance Experience: SQL: 1 year (Required) Education: Bachelor's (Required) Location: Costa Mesa, CA (Preferred) Work Location: One location Fully Remote Schedule: Monday to Friday 8 hour shift Indeed - 13 days ago report job
Data Scientist;Data scientist;USA;New York, NY;Source Enterprises;;;Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making. Job Description A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products. You will collaborate with cross-functional teams to define, design, implement, data mining capabilities and effectively provide the results, in a fast paced environment, necessary to meet our business needs. This position may include working remotely and provides flexible hours to accommodate productive work-flow. Responsibilities: Selecting features, building and optimizing classifiers using machine learning techniques Data mining using state-of-the-art methods Extending company’s data with third party sources of information when needed Enhancing data collection procedures to include information that is relevant for building analytic systems Processing, cleansing, and verifying the integrity of data used for analysis Doing ad-hoc analysis and presenting results in a clear manner Creating automated anomaly detection systems and constant tracking of its performance Stay current on modern trends and advances in data mining technology Work closely with our experts and other team members to efficiently prototype/develop features and functions for our various products Perform other duties as assigned Qualifications: Internship candidates should have high interest in learning top of the line data mining platforms, programming, tools, testing, and analyzing business needs: Understanding of machine learning techniques and algorithms, such as: k-NN, Naive Bayes, SVM, Decision Forests, etc. Some knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etc Data visualization tools, such as D3.js, GGplot, etc. NoSQL databases, such as MongoDB, Cassandra, HBase, etc. Statistics skills, such as distributions, statistical testing, regression, etc. Data-oriented personality Excellent writing & organizational skills Independent work ethic Detail oriented Strong drive to succeed Entrepreneurial mindset Proactive Good communicator Team player Autonomous Passion for coding, solving problems and working in a team environment Use a provided online productivity platform to organize and keep track of your completed tasks. Makes suggestions for processes, coding, implementation, and/or performance improvements. Please send a resume for consideration. Part time and Full time positions available. Flexible at home positions available. 30+ days ago report job
Data Scientistnew;Data scientist;USA;Boston, MA 02210 (South Boston area);NASDAQ;;;Applies and integrates statistical, mathematical, predictive modelling and business analysis skills to manage and manipulate high volume data from a variety of sources and able to identify business opportunities from the insights and predictions that result from that analysis. Collates, models, interprets and analyses data, explains variances and trends and recommends business opportunities from that analysis. Works on and off the cloud. Under supervision , applies and integrates statistical, mathematical, predictive modeling and business analysis skills to manage and manipulate complex high volume data from a variety of sources. Analyzes large quantities of data and presents insights and predictions. Works with senior team members to present the insights in line with business opportunities. Identifies unique opportunities to collect new data. Generates algorithms and creates computer models. Collaborates with database engineers and other scientists Nasdaq is an equal opportunity employer. We positively encourage applications from suitably qualified and eligible candidates regardless of age, color, disability, national origin, ancestry, race, religion, gender, sexual orientation, gender identity and/or expression, veteran status, genetic information or any other status protected by applicable law. Today report job
Data Scientistnew;Data scientist;USA;Remote;TrueAccord;;;Why TrueAccord?  Debt collection is failing consumers. Every year, more than 70 million Americans have negative experiences with the collections process, and they deserve a much better treatment - more relevant, more digital, less abrasive. That’s why banks, lenders, and industry leaders are coming to TrueAccord for innovative solutions in recovering outstanding receivables.  TrueAccord is a category-defining company. We combine machine learning with a human-based approach to guide both lenders and borrowers through a challenging financial process. With a world-class leadership team, passionate and driven team members, and a diverse and growing client base, TrueAccord is well positioned for continued success.  Your Role:  TrueAccord is looking for a Data Scientist to join its growing Data Science team. You will join a team dedicated to creating a data driven culture and to bringing rigor to the way we make decisions.  As a Data Scientist on this team you will build out statistical, machine learning models that optimize and elevate the collections process for our consumers, as well as lead automation initiatives in the company. You will work closely with engineers and product partners to identify machine learning-based approaches destined to have the highest impact on external and internal customer experience.  We’re looking for someone with an excellent grasp on core machine learning techniques and a product focused mindset. You should be passionate about using data to create positive, customer experiences, a strong self-starter, and determined to have a huge impact at TrueAccord. Key Responsibilities: Apply machine learning techniques to improve customer experience, reduce operating costs, and improve our business position Design and implement machine learning models, and deploy them while collaborating with engineering team members Drive data driven development across the company by educating and coaching other teams in Data Science best practices and experimentation methodology Document development lifecycle and design model development infrastructure You have: 1-3+ years relevant experience | Advanced degree | Completed graduate level coursework in statistics-related fields, experimental design, or quantitative social sciences Demonstrated skill in developing machine learning solutions to business problems in a cross functional team and implementing from conception to business impact Proven understanding of modern machine learning techniques, such as classification, regression, recommendation systems, optimization, and deep learning. Solid Python programming skills You might also have: Experience building model development pipelines, productionizing models or are familiar with machine learning technologies (e.g. Tensorflow) Working knowledge of Big Data technologies: AWS, Spark etc. Strong cross-functional communication skills with technical and non-technical partners Solid understanding of experiment design Experience with natural language processing techniques FinTech background Appreciate the option of working in San Francisco, where most of TrueAccord’s engineering is based What TrueAccord offers you + Culture & Benefits  TrueAccord is distributed company with a major presence in the San Francisco Bay area and Lenexa, KS. We offer a healthy work environment that continuously builds an inclusive and diverse culture where everyone is able to develop the best version of themselves. We are a dynamic group of people who are subject matter experts with a passion for change.  We offer: *** Generous paid time off *** Paid training *** We promote work/life harmony *** Paid holidays *** Health, dental and vision benefits *** 401K with matching  Our teams are crafting solutions to big problems every day. If you’re looking for an opportunity to do impactful work, join TrueAccord and make a difference.  Our Dedication to Diversity & Inclusion  TrueAccord is an equal opportunity employer. We promote, value, and thrive with a diverse & inclusive team. Different perspectives contribute to better solutions and this makes us stronger every day. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. 7 days ago report job
Data Scientist, Analyticsnew;Data scientist;USA;New York, NY 10011 (Flatiron District area);Bowery Farming;;;Bowery is growing food for a better future by revolutionizing agriculture. Our modern farming company combines the benefits of the best local farms with advances made possible by technology to grow produce you can feel good about eating. BoweryOS, our proprietary software system, uses vision systems, automation technology, and machine learning to monitor plants and all the variables that drive their growth 24/7. Because we control the entire process from seed to store, Bowery farms use zero pesticides, 95% less water, and are 100+ times more productive on the same footprint of land than traditional agriculture. Bowery produce is currently available at select Whole Foods and Foragers stores in the Tristate area, and featured on the menus of Tom Colicchio’s New York restaurants Craft and Temple Court. Based in New York City, the company has raised over $170 million from leading investors including GV, General Catalyst, GGV Capital, First Round Capital, Temasek and Almanac.  About The Role: This is an opportunity to join a small, growing team and make a substantial impact at Bowery. We’re looking for someone that can learn, adapt and roll with a fast-paced, ever-changing environment and who isn’t afraid of uncertainty.  Data analysis at Bowery means building data pipelines, crafting data visualizations, and helping a wide range of teams interpret reams of data generated by “the Techiest Farm in the World.” The data function at Bowery is central to the vision of the company as well as its day to day operation. You’ll be part of the Data & AI team which is responsible for everything from collecting data, to reporting facts, investigative analysis, building machine learning and computer vision models. What You'll Do: Develop SQL to transform the raw data produced by the farm into a comprehensive data warehouse as the authoritative source for all facts about the business. Build automated reporting which effectively draws attention to important information and helps decision makers understand our priorities. Partner with other functional areas to develop metrics, understand analytical needs, and interpret results about our crops and our business. Collaborate on the design and creation of data tools and decision frameworks used by our farm operators, agricultural scientists, and sales team to drive positive change. Build and use statistical and algorithmic models to proactively surface and predict relationships in data. Contribute to Bowery’s data-driven culture, and influence best practices. What You'll Have: You are fluent in SQL, have opinions about a well-designed database, and know how to deal with data too big to analyze in-memory. You are comfortable working in a highly technical team: contributing through version control, peer-reviewing code, and managing processes in production. You are comfortable being the technical resource for non-technical teams: translating business needs to technical requirements, communicating quantitative observations to make the teams around us more effective and well-informed. You’ve got a natural attention to detail and drive for order that yields accuracy and reliability in the data you work with. You can own the critical trust-based relationship with our internal stakeholders. You have experience in and a passion for visualizing data to tell clear stories and support decision making. You have some familiarity with data science languages like R or python, and enjoy learning more. You’re confident in taking ownership of projects from start to finish and enjoy the process of turning nebulous ideas into reality. You believe that teams succeed and fail together and take responsibility for ensuring the success and safety of your teammates. We celebrate unique backgrounds, qualities, and cultures that will enrich the workplace. Join us in creating an inclusive work environment that is free of bias and discrimination, where everyone can be their authentic self. We strongly encourage people from all walks of life and underrepresented backgrounds to apply and join the Bowery Farming team. We are an equal opportunity employer. 1 day ago report job
Genomics Scientistnew;Data scientist;USA;San Francisco, CA 94143 (Haight-Ashbury area);University of California San Francisco;;;Under supervision, the Staff Research Associate I (SRA I)/Genomics Scientist will learn to preform state of the art next generation sequencing approaches such as RNA-seq and single cell RNA-seq. The individual will work under general supervision and utilize problem solving skills to execute experimental methods. The Genomics Scientist will learn and use various protocols to generate DNA and RNA sequencing libraries. S/he will interact closely with other laboratory members and will be responsible for meticulous handling and processing of research and clinical samples.  Responsibilities will include both manual and automated preparation of sequencing library methods for model organisms and clinical samples, and pre-processing and basic analysis of next generation sequencing data. The individual will also aid in new and ongoing research projects involving other sample types. Strong organization skills are required.  The candidate will work under supervision on multiple projects and will learn project management skills. This position represents an excellent opportunity to further basic laboratory and high-throughput molecular biology skills in a dynamic, well-established functional genomics research environment.  THE COLABS The CoLabs are a collection of integrated laboratories specializing in infrastructure or technologies. It seeks to revitalize the model for core resources by capitalizing on critical personnel and cutting-edge technologies, and driving collaboration across disciplines. The model will house all CoLabs teams in a contiguous space and create a set of common pipelines and workflows in one centralized locale. It will recruit and retain world-class staff through project engagement, backstopped “tenure,” and annual operational funds. It will develop and invest in transformative methods and technologies.  In its current form, the CoLabs consolidate three existing groups, Genomics, Flow Cytometry, and Biological Imaging Development (BIDC), and establish two new ones, Disease to Biology (D2B) and Data Science (DS), placing them all under one roof. The CoLabs will help organize and integrate the UCSF community through common pipelines and data curation around a set of collaborative “CoProjects” that will tackle fundamental questions in the field. While CoProjects are investigator-driven, the day-to-day operations must be managed and run through the cutting-edge CoLabs, which house world-class staff and technologies.  GENOMICS COLAB The Genomics CoLab serves as an innovative hub of molecular biologists, genomicists and bioinformaticians engaging in collaborative research across UCSF campuses. At the Genomics CoLab, we emphasize in the development of novel genomic approaches and providing advanced genomic and bioinformatic resources for investigators who wish to integrate modern genomic approaches into biological research. These approaches include bulk- and single-cell RNA-seq, small RNA-Seq, ChIP-Seq, ATAC-seq and whole exome/genome sequencing. We are also actively working on integrating novel genomic methods such as combinatorial genomic methods, special transcriptomics, and new epigenomic approaches such as CUT&TAG.  ABOUT UCSF The University of California, San Francisco (UCSF) is a leading university dedicated to promoting health worldwide through advanced biomedical research, graduate-level education in the life sciences and health professions, and excellence in patient care. It is the only campus in the 10-campus UC system dedicated exclusively to the health sciences. Just posted report job
