Poste;Métier;Pays;Ville;Entreprise;Contrat;Salaire;Description
Full-Stack Developer Javascript (Node.js / Angular);Javascript;France;Lyon (69);United Motion Ideas;;;Full-Stack Developer Javascript (Node.js / Angular) United Motion Ideas - Lyon (69) Temps plein, CDI Postuler Full-Stack Developer Javascript (Node.js / Angular), tempérament d’entrepreneur. Nous recherchons des passionnés d'innovation, capables de voir ce qui manque au monde actuel et désireux de le construire. Vous avez envie de rejoindre une équipe dynamique, aux profils variés et complémentaires ? Vous souhaiteriez améliorer le monde en interagissant avec une multitude d’acteurs de l’innovation ? Dans le cadre du développement de notre Start Up lyonnaise, United Motion Ideas, spécialisé dans le monde de l’innovation, nous recherchons notre prochain Full-Stack Developer Javascript. De par notre plateforme web d’étude de marché digitalisée, nous permettons aux porteurs d’innovation de prendre les meilleures décisions quant à la suite de leurs projets. De façon rapide, qualitative et à moindre coût. De façon automatisée, notre plateforme permet de faire valider par des professionnels du monde entier le potentiel marché d’une innovation, de trouver des partenaires, d’élargir les domaines d’application et obtenir des avis qualifiés. Pour ce faire, nous avons besoin de vous. Profil recherché : Vous avez une formation bac +4/5 d’ingénieur informatique ou équivalent universitaire (stage de fin d’étude possible). Vous avez un profil junior, avec une vraie curiosité et une envie d’apprendre. Vous souhaitez rejoindre une startup en pleine croissance et vous disposez déjà d’une ou plusieurs expériences dans : Le développement front-end avec Angular 6+ Le développement back-end avec Node.js et ECMAScript 6, Le design et le développement d’API REST, Les bases de données NoSQL comme MongoDB. Des connaissances en Docker seraient un plus Enfin, vous êtes familier avec les méthodes Agile (SCRUM) et vous avez l'habitude de travailler en équipe. Vous avez l’esprit entrepreneur et vous voulez vous investir dans un projet ambitieux aux multiples challenges technologiques. Langue française et anglaise demandées. Poste : Vous intégrerez notre équipe de champion, composée de 4 développeurs ( full-stack et front-end). Vos missions vous amèneront à : Participer à la conception et au développement back-end & front-end de la plateforme et des nouveaux projets UMI. Écrire des tests unitaires et assurer le suivi applicatif de la plateforme. Challenger le fonctionnement de l’application et des algorithmes actuels et proposer des axes d’amélioration. En lien avec l’équipe, vous êtes acteur de la stratégie globale de l’entreprise. Environnement technique : Front-end : Angular 6+, TypeScript, HTML5, CSS3, Universal Back-end : Node.js, ECMAScript 6, Express.js, NPM, Socket.io, MongoDB, Redis, ElasticSearch, Kafka Outils : Docker, Gulp, Bower, Karma, Git, WebStorm Intégration continue avec Docker + Github + Rancher Python Type d'emploi : CDI – stage de fin d’étude en vue d’une embauche accepté Offre à pourvoir dès à présent. Expérience: javascript: 2 ans (Requis) Angular ou équivalent : 1 an (Requis) Si vous vous reconnaissez dans cette description, si vous souhaitez participer au monde de demain et embarquer dans cette aventure, envoyez-nous votre CV et lettre de motivation. Avantages : Participation au transport Type d'emploi : Temps plein, CDI Expérience: developer ou similaire: 1 an (Souhaité) Il y a plus de 30 jours Signaler un abus
Webmaster / Webdesigner H/F;Javascript;France;Paris 10e (75);SSP26;;2 200 € - 2 400 € par mois;Webmaster / Webdesigner H/F SSP26 - Paris 10e (75) 2 200 € - 2 400 € par mois - Temps plein, CDI Postuler Informations sur le poste Type de contrat : CDI - Temps plein Description HT26 est une marque de cosmétiques dédiée à la beauté noire et métissée. Présente en France et à l'international, elle est devenue une référence pour des milliers de clients. En progression, HT26 cherche à toucher de nouveaux marchés, en exploitant de nouveaux canaux de communication (places de marchés, réseaux sociaux, etc.) et en développant leurs gammes de produits. Votre mission Accompagné(e) du responsable de la société, vous aurez pour missions : L'administration du site B2C de la marque HT26 et l'optimisation de leur référencement La création de contenus web (illustrations, vignettes, vidéos, newsletters, etc.) La création de contenus print (leaflet, flyer, affichage, brochure, etc.) La publication sur CMS Prestashop (fiches produits, articles, etc.) La coordination avec les agences et les intervenant externes (mises à jour, évolutions, création de contenus, fonctionnalités), planifier les interventions, validations et mises en lignes. Le suivi et la mise en œuvre des plans de marquages (Analytics, Adwords, Criteo) L'intégration technique et suivi des différents canaux e-commerce (Adwords, retargeting, places de marché, réseaux sociaux, etc.) Le suivi des réseaux sociaux Facebook, Instagram, Youtube, etc. La veilles technologique nécessaire à l’amélioration continue des sites web de l'entreprise La formation et assistance des utilisateurs Conditions requises Votre profil Formation supérieure Bac+2/+5 spécialité informatique ou développement web. Une expérience professionnelle e-commerce, dans le commerce de détail serait un plus, ainsi qu'une expérience en montage de vidéos. Une bonne connaissance des réseaux sociaux est indispensable. Langages de programmation : HTML, CSS, Javascript, PHP + Frameworks (CSS / PHP) Type d'emploi : Temps plein, CDI Salaire : 2 200,00€ à 2 400,00€ /mois Avantages : Participation au Transport Expérience: webmaster h/f ou similaire: 2 ans (Souhaité) Télétravail: Non Aujourd'hui Signaler un abus
Ingénieur d'Etudes et Développement H/F;Javascript;France;La Rochelle (17);SYSTEL S.A.;;2 300 € - 3 400 € par mois;Ingénieur d'Etudes et Développement H/F SYSTEL S.A. - La Rochelle (17) 2 300 € - 3 400 € par mois - Temps plein, CDI - Télétravail A répondu à 75 % ou plus des candidatures sur les 30 derniers jours, généralement en 1 jour. Postuler SYSTEL, l’entreprise participant à la prévention et à la sécurisation des populations... La société SYSTEL, dont l’établissement principal et le siège social sont situés à La Rochelle, coopère depuis plus de trente ans avec les Services d'Incendie et de Secours et à ce titre, a acquis une expérience unique face aux exigences qu’impliquent le TRAITEMENT DE L’*ALERTE* et la GESTION DES RESEAUX DE TRANSMISSIONS. ...Leader de son marché... SYSTEL est leader sur le marché français de l’alerte et de la gestion des réseaux de transmissions auprès de la Sécurité Civile, sapeurs-pompiers et SAMU. Egalement déployées en Grande Bretagne, Ecosse, République d'Irlande, Irlande du Nord, Suisse, Belgique et Monaco les plateformes SYSTEL concentrent toute l'ingénierie et la technologie nécessaires au traitement de la prise d'appel à l'engagement des moyens. ...Experte dans son métier... Systel est éditeur et intégrateur dans ces domaines : Systèmes à haute disponibilité Réseaux robustes d’alerte Transmissions hertziennes et numériques critiques Téléphonie d’urgence Logiciels de gestion de ressources temps réels Systèmes d’information géographiques 2D & 3D Assistance technique et formation des exploitants, SYSTEL améliore les services rendus à ses clients par le recrutement et la formation de techniciens experts ainsi que par la mise en place des meilleurs outils. …Dynamique et remplie de challenges. Forte de ses 135 collaborateurs, la société s’est structurée afin de répondre globalement aux projets dans le domaine des réseaux d’alertes et de transmissions. La taille de SYSTEL permet de pleinement s’impliquer tout en offrant de nombreuses opportunités d’expériences internationales. Rejoindre SYSTEL, c’est aider ceux qui sauvent des vies tous les jours. Ingénieur d'Etudes et Developpement C++ / LINUX (H/F) __ ** Basé(e) à AYTRE, vous intégrez l’équipe SGP (Système Gestion de la Parole) composée de 6 personnes. En tant que développeur Back-End (H/F), vous serez en charge de : · Participer à l'analyse fonctionnelle et technique du produit, · Rédiger les tests unitaires et la documentation technique de vos développements, · Concevoir et développer des services complexes tout en respectant les bonnes pratiques afin d'assurer un livrable performant, robuste et sécurisé · Développer les futurs services en C++. Dans le respect des processus, vous serez amené(e) à travailler avec les outils collaboratifs tels que GIT et TFS (Team Foundation Server). Les compétences attendues sont : Langages : · C++ · JavaScript · HTML/CSS Système Exploitation : · Linux / Docker Outils et Framework · Git · Angular 7-9 (apprécié) Autres compétences : · Bonnes connaissances en réseau · Programmation temps réel et concurrente · Connaissance de la voix sur IP · Bon niveau d’anglais serait apprécié De formation supérieure, idéalement BAC+4-5 en informatique, vous disposez déjà d'une expérience significative dans le développement C++ sous Linux. Vous devez également être curieux et avoir de bonnes compétences pour appréhender par vous-même de nouveaux outils et proposer des améliorations ergonomiques et graphiques. Pour réussir dans ce poste, il est indispensable d’avoir de bonnes capacités de communication et d’aimer le travail en équipe. Type d'emploi : Temps plein, CDI Salaire : 2 300,00€ à 3 400,00€ /mois Expérience: ingénieur ou similaire: 1 an (Souhaité) Télétravail: Oui Il y a plus de 30 jours Signaler un abus
DÉVELOPPEUR WEB FULLSTACK JAVASCRIPT ANGULAR 9 (STAGE);Javascript;France;Lyon (69);Cellance;;150 € par an;DÉVELOPPEUR WEB FULLSTACK JAVASCRIPT ANGULAR 9 (STAGE) Cellance - Lyon (69) 150 € par an - Stage, Freelance / Indépendant Postuler Vous êtes curieux et enthousiaste ? Vous vivez chaque projet comme un challenge collectif ? Vous souhaitez participer au développement d'une start-up à forte croissance de la FrenchTech ? Vous voulez un job de développeur en Full Stack JS enrichissant utilisant des technos de pointe ? Nous avons fondé Cellance en 2016 qui édite des outils de gestion de projet collaboratif pour ses clients. Nos offres sont couplées avec un accompagnement conseil pour durablement faire évoluer les pratiques managériales et adapter les organisations. Dans une phase de croissance rapide, nous cherchons à étoffer notre équipe, aujourd’hui composée de 15 collaborateurs soudés. Notre ambition : doubler de taille d’ici fin 2021 ! Nous sommes à la recherche d’un développeur en stage (4 à 6 mois) pour notre bureau de Lyon débutant idéalement entre juillet à septembre afin de participer au développement de nos applications B2B. Responsabilités et missions : En lien direct avec le CTO et en équipe resserrée, suivant une méthodologie AGILE avec Jira, vous participez à l’ensemble des phases du projet : Définition des spécifications fonctionnelles et design des nouveaux écrans, Développement FrontOffice : Angular 9, TypeScript, Cordova (iOS / Android), Webpack, Material Design, RxJS ... Interconnexion BackOffice : API REST, Node.JS, Typescript, Nest.JS, ORM Sequilize, base de données SQL, passport.JS JWT, Socket.IO… Déploiement en ligne et sur les Stores Qualifications et compétences : Vous avez idéalement un BAC+4/5 en informatique Vous êtes autonome, débrouillard et rigoureux, De nature curieuse et ouverte, vous avez le goût du travail en équipe et la volonté de vous investir au sein d’une société innovante, Vous disposez de bonnes connaissances en développement d’applications web JS (Angular 9, Node.js, Git) et des patterns asynchrones, Vous aimez être au top sur les dernières news et tendances de la tech. Avantages : Participer à des projets de développement qui utilise les dernières technologies du moment, Mutuelle, 50% de l’abonnement TCL, un bon d’achat de 150€/an pour améliorer ton confort au bureau, Des bureaux sympas d’environ 200 m² à Jean Macé (grands bureaux, du bon café, un babyfoot, Spotify pour tous …) Type d'emploi : Stage, Freelance / Indépendant Il y a plus de 30 jours Signaler un abus
Développeur(euse) Web Full-Stack CDI;Javascript;France;Rosheim (67);LDE;;;Développeur(euse) Web Full-Stack CDI LDE8 avis - Rosheim (67) Temps plein, CDI Postuler Nos clients sont des établissements scolaires. Notre capacité à comprendre et à répondre à leurs besoins, alliée à une bonne expertise logistique et informatique, nous a permis en 20 ans de gagner la confiance de plus de 1200 clients, situés dans 90 pays et sur cinq continents. Nous employons 35 personnes réparties entre notre siège à Strasbourg, notre bureau à Paris, et notre société sœur allemande. En 2017, nous avons réalisé un chiffre d’affaires de 38 millions d’euros. Nous bénéficions du soutien de la Région Grand Est, de la Banque Publique d'investissement et de l’Union Européenne pour ses développements autour du numérique scolaire. Nous recherchons un lead développeur en CDI, au département informatique et numérique pour participer à la conception et à la réalisation de nos projets. Ce poste demande des connaissances dans le développement web, la gestion d’interface responsive ... Les environnements, langages et technologies suivantes seront mises en œuvre : Python (POO), Django JavaScript (VueJs), HTML, CSS Nous recherchons un profil BAC+2 ou Bac+3 minimum, sérieux, organisé, et motivé par les défis techniques. La rémunération sera fonction du profil et de l'expérience du candidat. Le poste est à pourvoir impérativement dans nos locaux situés à Rosheim, France : Télétravail possible quelques jours par semaine suivant profil. Type d'emploi : CDI Type d'emploi : Temps plein, CDI Il y a plus de 30 jours Signaler un abus
Développeur Web Front-End H/F;Javascript;France;Les Ulis (91);Whelpy;;700 € - 950 € par mois;"Développeur Web Front-End H/F Whelpy2 avis - Les Ulis (91) 700 € - 950 € par mois - Temps partiel, Stage - Télétravail A répondu à 51 %-74 % des candidatures des 30 derniers jours, généralement en 3 jours. Postuler Whelpy est une startup française spécialisée dans la réparation électroménager à domicile. Grâce à sa plateforme (whelpy.io) elle permet au particulier de prendre directement rendez-vous en ligne et un technicien intervient directement au lieu de domicile pour réparer son appareil électroménager. Whelpy est présent aujourd'hui à Paris, Lyon, Marseille, Lille, Montpelier, et Nice. Afin de toujours satisfaire nos clients, nous sommes à la recherche d'un Stagiaire passionné par le développement et amoureux des projets complex afin de contribuer à l'amélioration continue de notre plateforme. Tes missions : Développer les fonctionnalités de notre superbe plateforme Whelpy.io avec Angular ; Échanger avec les équipes Back-End et Produit sur l’évolution de la plateforme (partager tes bonnes idées !). Profil recherché - Formation type Bac+5 en informatique. Université, école d’ingénieurs… nous sommes ouverts à toutes les formations ; Angular fait partie de ton quotidien (tu ne pars pas de 0 sur ce framework) ; Tu maîtrises ces technologies : Javascript, HTML5/CSS3, LESS/SASS, Responsive Design, Angular ; Tu as déjà utilisé Git (Gitflow) ; La connaissance de technologies Back-End est un plus ; Type de contrat : Stage de fin d’études temps plein ou alterné de 4 mois minimum avec possibilité d’embauche à la suite ; Rémunération fixe selon profil + tickets restaurant. Type d'emploi : Temps partiel, Stage Salaire : 700,00€ à 950,00€ /mois Télétravail: Oui il y a 3 jours Signaler un abus"
Développeur -Intégrateur web / JAVASCRIPT/ HTML / CSS/ VueJS...;Javascript;France;Issy-les-Moulineaux (92);Ilyeum;;400 € par jour;Développeur -Intégrateur web / JAVASCRIPT/ HTML / CSS/ VueJS/ TMS (H/F) / Freelance Ilyeum - Issy-les-Moulineaux (92) 400 € par jour - Temps plein, Freelance / Indépendant Continuer pour postuler Nous recherchons pour le compte de notre client dans le domaine des médias un développeur/intégrateur Web Marketing dont la mission visera notamment d’accompagner le responsable de l’innovation.  Sa mission portera sur l’implémentation de solutions publicitaires et statistiques sur les sites Web, sur l’intégration de sites Full-Stack et sur l’intégration des pages statiques des sites du groupe.  Le développeur/intégrateur Web-Marketing est confirmé (entre 3 et 6 ans d’expérience), autonome, curieux, bon communicant, il/elle a l’expérience de l’implémentation d’un ou plusieurs outils d’AdServing et TMS (Tag Management System).  Les missions principales du profil sont : Implémentation solutions publicitaires (Google DFP, Outbrain, Teads ) sur sites desktop/mobile via le TMS interne (Javascript et CSS). Implémentation des solutions de collecte des données statistiques (AT Internet, Parsely, ) sur sites desktop/mobile via le TMS interne (Javascript). Développement de sites Full-Stack. Intégration HTML/CSS des pages statiques (pages multilingues, desktop/mobile). Mise en place d’opérations spéciales via le TMS (exemples : habillage événementiel des sites, changement de logo sur nos sites, ). Industrialisation des développements réalisés (utilisation de GitLab / Jenkins). Documentation des procédures et des produits existants. Travail avec plusieurs équipes (développements, exploitation, marketing produits, réseaux sociaux, ingénieries et éditoriales). Gestion (setup, sécurisation, branding) du portefeuille de nos pages et comptes sociaux (Facebook, Twitter, Google, Youtube, Dailymotion, ). Les compétences attendues : Les compétences attendues du profil sont : Intégration JS/CSS/HTML/V. Développement de frontaux Web, API et back-end (PHP et Symfony). Connaissance en Ajax, JSON, XML. Capacité à travailler avec des API. Sensibilité aux problématiques de cache, d’architecture existante et de performance. Connaissances techniques de base sur le fonctionnement des systèmes d’exploitations mobiles (iOS et Android). Culture de la qualité du code produit. Autonomie, sens de l’organisation et force de proposition. Pragmatique et orienté résultats. Très bon relationnel. Agile (SCRUM). Connaissance de l’univers des médias éditeurs et de ses contraintes. Curiosité pour trouver des solutions efficaces aux dysfonctionnements quotidiens (exemple : recherche de la cause d’une lenteur d’affichage d’une page). Notions de SEO et de Web Performance. - Notions de Web Marketing. Anglais courant. Freelance-info - il y a 6 jours - Continuer pour postuler Signaler un abus
STAGE DÉVELOPPEUR JAVASCRIPT FULLSTACK;Javascript;France;Paris 13e (75);Bubble;;800 € - 1 200 € par mois;STAGE DÉVELOPPEUR JAVASCRIPT FULLSTACK Bubble - Paris 13e (75) 800 € - 1 200 € par mois - Stage Continuer pour postuler DESCRIPTIF DU POSTE Aux côtés du CTO (ancien Ebay NYC) et d'un senior dev, tes missions seront de nous accompagner dans le développement de nos applications Android et iOS et du site web en : Créant de nouvelles fonctionnalités dans l’app et dans l’API, avec un gros focus sur l’UI et les performances Améliorant notre outil de back-office pour le management du crowdsourcing de notre base de données Améliorant l'outil web mis à la disposition des libraires Créant des scripts de traitement de data (images, flux de stocks, catalogue BD) Nos technos/Notre stack On aime les technos modernes et efficaces qui nous permettent de coder vite et avec un haut niveau de qualité. Au quotidien on travaille avec : JavaScript, React native, React et Node Postgres, AWS et Github PROFIL RECHERCHÉ Le JavaScript est ta passion et tu as déjà travaillé avec des API: Autonome et rigoureux Force de proposition Doté de l’esprit startup Stage de fin d’étude, école d’ingénieur, université, convention de stage requise PROCESS DE RECRUTEMENT Entretien téléphonique suivi d'un entretien sur site avec le CTO. Pourquoi nous rejoindre Découvrir 2 mondes fantastiques : l’univers des BD Comics Mangas et celui des startups Participer à la croissance d’une startup avec un vrai périmètre de responsabilités dans la conception et dans l’execution Prendre de l’expérience en accéléré Profiter du campus de Station F INFORMATIONS COMPLÉMENTAIRES Type de contrat : Stage (6 à 12 mois) Date de début : 01 janvier 2020 Lieu : Paris 13e Arrondissement, France (75013) Niveau d'études : Bac +5 / Master Expérience : < 6 mois Télétravail ponctuel autorisé Salaire : entre 800€ et 1200€ / mois Station F - il y a 6 jours - Continuer pour postuler Signaler un abus
Développeur Front Javascript ES5/ ES6/ WEBPACK (H/F) / Freel...;Javascript;France;Issy-les-Moulineaux (92);Ilyeum;;450 € par jour;Développeur Front Javascript ES5/ ES6/ WEBPACK (H/F) / Freelance Ilyeum - Issy-les-Moulineaux (92) 450 € par jour - Temps plein, Freelance / Indépendant Continuer pour postuler Nous recherchons pour le compte de notre client dans le secteur de médias un développeur Front Mission axée principalement sur les parties front et dans une moindre mesure sur la partie back (PHP). C’est une prestation qui s’effectuera au sein d’une équipe d’une vingtaine de personnes (développeurs back, développeurs front, PO, scrum master), dans le cadre de la méthodologie Agile Scrum.  Références attendues : Javascript ES5 min. , SASS, notions de PHP/twig, Git, bon relationnel, travail en équipe webpack, twig, ES6 ou TypeScript Symfony, Service Worker, Docker, SEO, Accessibilité, Webperf, expérience de site media/à fort trafic  Références complémentaires : Kubernetes , Agile (Scrum) Freelance-info - il y a 7 jours - Continuer pour postuler Signaler un abus
Développeur web junior;Javascript;France;Paris 8e (75);Biskot;;;Développeur web junior Biskot - Paris 8e (75) Continuer pour postuler DÉVELOPPEUR WEB JUNIOR Au sein d'une équipe passionnée, vous êtes en charge de missions riches et variées comme l'évolution et la maintenance de sites Internet réalisés sur mesure. Grâce à une équipe dynamique à taille humaine et à votre implication, vous montez compétence et pourrez ainsi évoluer au sein de l'agence. POSTULER À CETTE OFFRE Profil recherché Jeune diplômé ou auto-didacte Premières expériences / réalisations en PHP / MySQL Qualités recherchées Passion du web Curiosité Rigueur et implication Souplesse et capacité d’adaptation Bon relationnel / Esprit d’équipe Auto-évaluation Compétences recherchées PHP / MySQL HTML 5 / CSS 3 Javascript Compétences appréciées Anglais technique Notions de référencement Intégration des API couramment utilisées (Google, Facebook, Twitter...) Informations sur l'offre Type de contrat : CDI à temps plein Il y a plus de 30 jours - Continuer pour postuler Signaler un abus
