Poste;Métier;Pays;Ville;Entreprise;Contrat;Salaire;Description
Front-End Engineer (React, Javascript, HTML, CSS (Open to Re...;Javascript;USA;New York, NY 10003 (Flatiron District area);Medidata Solutions;;;"Medidata is making a real difference in the lives of patients everywhere by accelerating critical drug and medical device development, enabling life-saving drugs and medical devices to get to market faster. Our products sit at the convergence of the Technology and Life Sciences industries, one of most exciting areas for global innovation. Nine of the top 10 best-selling drugs in 2017 were developed on the Medidata platform. Medidata’s solutions have powered over 17,000 clinical trials giving us the largest collection of clinical trial data in the world. With this asset, we pioneer innovative, advanced applications and intelligent data analytics, bringing an unmatched level of quality and efficiency to clinical trials enabling treatments to reach waiting patients sooner. Your Mission: Medidata is looking for an engineer, with emphasis on frontend development, to design, enhance and implement new features and functionality in Medidata’s Data Science Platform Suite of products. Data Science Platform is a critical piece of Medidata’s strategy to grow to over one billion in revenue and includes ingestion and export of data in addition to apps that standardize clinical data and run statistical algorithms that unlock the value of our data assets for our customers. Be passionate about application development! Your primary responsibilities will include hands-on development of Medidata’s software applications using Javascript and React. Design, build, test, document, deploy, monitor, and maintain applications in a production environment. Apply good technical practices such as continuous integration, test automation, and Github Pull Request reviews. Work closely with Agile team members, collaborating with testers to ensure quality and with product managers to turn great ideas into detailed requirements. Your Competencies: Be self motivated and eager to engage in high impact, challenging engineering problems while continuously raising the standard of quality in our products and services in a full solutions-oriented SaaS environment Solid expert experience with HTML/CSS, JavaScript and React.js Experience with reusable React component designs and cards applying best practices is a MUST. Strong communication and collaboration skills Ability to work in a fast paced dynamic environment Experience working in an Agile development environment Source control management (Git/Github) experience TDD/BDD experience or desire! Your Education & Experience: Be excited about staying current with new technologies and engineering concepts. Bachelor’s degree in computer science (or related field); or have completed a development boot camp; or equivalent years (6) of experience Medidata Solutions, Inc. is an Equal Opportunity Employer. Medidata Solutions provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability status, protected veteran status, or any other characteristic protected by the law. Medidata Solutions complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities.  #LI-AS1 1 day ago report job"
html Coder;Javascript;USA;Sebastopol, CA;Resmatic Inc.;;;"We have an ongoing need for HTML coders working offsite on a CONTRACT basis. Hand-write basic, clean html code on a contract basis. Work with designers and customer reps to make modifications and updates to existing and new client's websites. Use your internet skills to search and compile information from the web. Qualifications: This is a telecommuting opportunity. You'll need your own computer, workspace and internet connection. You have experience succeeding at projects as a freelance contributor. Mastery of html, photoshop, and working knowledge of installing and configuring pre-written perl scripts. Knowledge of perl and Javascript a plus. This is a contract ""as-needed"" position that requires that you be reachable during normal business hours. 30+ days ago report job"
Web Developer (in-house or remote);Javascript;USA;San Diego, CA;Cullinan Digital;;;Do you WordPress? Did you spend hours crafting a skill that the rest of the world seems to think is useless? Is the fact that you majored in something stupid ruining your job prospects? Are your parents bothering you about doing something productive with all time you spend on the computer? If so, we have a job for you. We are looking to add an entry-level developer to our team. You must have strong WordPress knowledge, be comfortable building and maintaining websites, and able to find and fix errors. Advanced training is provided on the job, but you should be familiar with theme development as well as basic coding languages such as HTML, CSS, Javascript and PHP. The skills you actually need are attention to detail, the ability to stare at computer screen for hours on end, be able to communicate with our clients, and to learn from your mistakes quickly. The position is full-time and paid hourly. Benefits are provided. Full-time opportunity 30+ days ago report job
Full Stack Javascript Developer;Javascript;USA;Remote;Teramind;;;Teramind is looking to hire a Full Stack Software Engineer to join our rapidly growing software development team. On our team, you will be designing, developing, and supporting the core functionality that drives our technology and services using the latest technology available.  Our codebase is 80% Node.js with some PHP on the backend, and Angular on the front-end. We use Redis, Postgres, Docker, and other modern technologies in our stack. We are firm believers that highly-qualified devs can adapt to any syntax / technology, so feel free to apply even if you don't meet all the requirements. We value the ability to learn just as much as proficiency in any particular technology.  This job is Full-time, REMOTE. Requirements (in order of importance) Happy and ambitious personality (non-negotiable!) Proven experience in writing clean code, observing design patterns, etc. Excellent Javascript Excellent HTML / CSS Excellent SQL Ability to function efficiently in a Linux environment Must be enthusiastic about learning new technologies   Responsibilities Must be able to work effectively with a remote team Develop functionality, test, deliver, and support the functionality post-delivery 30+ days ago report job
UI/UX Designer Entry Level - Pathrise Recruiting Partners;Javascript;USA;Remote;Pathrise;;;What is Pathrise Recruiting Partners?  Pathrise Recruiting Partners connects top candidates to top employers. We use the same tactics and connections that we’ve used to place 300+ candidates to also bridge the connection between great candidates and top employers and recruitment firms. By applying to this position you gain access to a streamlined application process. This puts your resume right into the recruiting teams of our partners who are actively seeking candidates like you. To read more visit pathrise.com/pathrise-recruiting-partners  Job Description  Our partners are looking for entry level UI/UX Designers. These roles will often involve working directly with the user experience of a given company's existing core products as well as building and researching opportunities to launch new features. These opportunities are great for someone who is looking to build a foundation for a career in UI/UX Design and join a team that will support their future professional growth. What you'll do Ideating, scoping, and prioritizing new product features that are high value Working closely with growth to build optimal marketing and branding materials Conducting user research to shape product roadmaps Leveraging data to inform product enhancements and new features Requirements Passionate about education and career development 0-2 years experience developing in HTML/CSS and Javascript 0-2 years of experience in industry as a Product Designer or in a related field Experience with user research A strong portfolio that showcases strong design sense and frontend engineering This role is part of our Pathrise Recruiting Partners program. Submitting this application will allow your profile to be reviewed by our network of hiring partners. To read more about how this all works as well as more information about our partners please visit pathrise.com/pathrise-recruiting-partners 30+ days ago report job
Junior Web Developer;Javascript;USA;New York, NY;Crunchapps;;;Join an Innovative Deep Learning team with the opportunity to be creative while supporting ever-changing technology. Our Ideal Candidate Is/Has 1+ years experience with website design Great HTML and CSS skills, experience developing web sites without templates Graphic design experience strongly preferred JavaScript Good collaboration, teamwork, and learning skills RWD Nice to haves Image processing / production skills and experience with InDesign, Photoshop, and Illustrator 16 days ago report job
 New Writers;Javascript;USA;Austin, TX 78704 (South River City area);Edible Austin;;;The strength of our publication highly depends on the work of our freelance writers. With an interest in expanding our network of creatives within the Central Texas community, we encourage submissions of ideas, samples and portfolios from anyone who would like to publish within Edible Austin.  Writing Submissions: Please send story pitches along with a writing sample to This email address is being protected from spambots. You need JavaScript enabled to view it.. Please note that due to the time consuming nature of writing, editing and printing, we request that you send story ideas for a particular issue at least 20 weeks before the issue release date. Applications not submitted by email from the applicant will not be considered. 30+ days ago report job
JavaScript Engineer;Javascript;USA;Campbell, CA 95008 (Central Campbell area);Arteris;;;Campbell, CA or Austin, TX Would you like to work on a small team as a SW developer contributing to products that will be used in the next generation of advanced smartphones, automobiles and other computing devices? In this role, you will be a key part of the core engineering/product development team helping create new products and features. As a member of the SW team, you will be working in a cross-functional role, interacting with software, hardware and applications engineering to develop new end-to-end applications for the semiconductor IP industry. You will be tasked to create advanced GUIs that will enable end-users to custom build semiconductor IP for their next-generation Systems-on-Chip (SoCs). You will have the opportunity to be part of a proven successful startup and to influence development environment, architecture, verification and everything in between. You’ll no longer be stuck in a silo or just a cog in the machine. Your co-workers will be an experienced team of industry experts that love what they do. Skills and Experience: Required: BS/BA degree in EE/CS or other technical discipline with a focus on software development. Interest and background in computer hardware, chip design and hardware engineering. 4+ years hands-on development of JavaScript front-end applications from the ground up, preferably with some back-end application development experience as well. Full stack development experience when building new and robust applications in JavaScript with node-webkit. Concrete front-end UI experience with frontend frameworks. Grunt / Unit testing / Integration /UI Testing. Motivated and self-driven individual with a proven track record for delivering high-quality code when previously building/architecting scalable front-end solutions. Desired: Experience with Node.js Familiarity working/developing in a Unix/Linux environment. Experience as a developer or user of EDA tools, especially software generating hardware. Prior start-up experience. Today report job
Remote PHP/JavaScript Developer (Intermediate+);Javascript;USA;Rutland, MA 01543;Scopic Software LLC;;;Join the world’s largest virtual company! Work from anywhere – Flexible hours – Training & travel opportunities  Scopic is seeking a Remote PHP/JavaScript Developer (Intermediate+) to join our team of 250+ professionals across 40 countries. The successful candidate will work with a talented senior team to develop industry-leading applications with the latest technologies. The initial project is a complex audiovisual media and translation system.  At Scopic, we believe great technical engineers can be found in every corner of the globe, and talent shouldn’t be limited by location. Our employees work in nearly every time zone, from whenever they feel most comfortable, and our software benefits from this diversity of perspectives and expertise.  Develop Meaningful Applications for Clients Invested in Your Success All Scopic projects involve working with challenging, innovative applications. When you work with us, you will not just be maintaining old code or wasting time on applications that will never see the light of day. The applications Scopic engineers are the cornerstone of our clients’ businesses. Clients and users will rely on you to write quality code and keep mission-critical applications running optimally.  Grow Your Skills and Your Career, Fast We offer training opportunities to keep your skills sharp and encourage you to stay up-to-date with ever-evolving technologies. As your skills grow, you will have opportunities to move up in the company. If you work hard and deliver quality results, you will do very well here. Pay raises and promotions are completely merit-based, so your success is in your hands.  Become a Valuable Part of a Small, Dynamic International Team Unlike huge tech corporations like Google and Microsoft, Scopic employees don’t get lost in bureaucracy or sidelined doing the same boring tasks day after day. Most projects last six months to one year, so our developers have the opportunity to try their skills on a diverse range of applications. Scopic programmers work independently and are entrusted with considerable responsibility.  Why Work With Scopic? Flexible working hours, set your own schedule Freedom to travel and work from anywhere in the world Ability to work wherever you are most comfortable (home, office, park, café, etc.) Reliable, consistent workload Flexible payment options in $US – salaried and hourly positions available Annual pay increases for good performance Paid training and other professional growth opportunities International travel opportunities (not required) Interesting, challenging projects using the latest technologies  Requirements: 3+ years of commercial software development experience Senior-level PHP skills Knowledge of JavaScript Experience with Laravel, Yii or a similar MVC framework Excellent knowledge of SQL and database optimization Experience with MySQL, Amazon Aurora preffered Ability to understand and work with a large existing codebase involving multiple services Good understanding of cloud infrastructure, including scalability and availability patterns such as horizontal scaling, service discovery, etc. Experience with AWS, preferred Bachelors degree or higher Intermediate written and spoken English Overlap with EU working hours  This is a full-time, home-based position.  Compensation: Depending on experience.  About Scopic Scopic is the world’s largest virtual company. Founded in 2006, we have grown consistently by delivering innovative, cutting-edge software and marketing services for our clients and creating an empowering environment for our employees.  We champion software for clients and users around the globe. With 10+ years in the industry and 1000+ projects under our belt, we’ve developed and marketed software for Manufacturing, Media and Entertainment, Fintech, Healthcare, Food and Fitness, and Gaming. infopraca.pl - 14 days ago report job
Full Stack Developer;Javascript;USA;Remote;PROOF;;;Description This position is 100% remote, and we will consider all qualified candidates regardless of location given they can be available during PROOF’s standard business hours (9am to 5pm MST). Launched in 2017, PROOF has set out to change the service of process industry and created the first software of its kind to directly connect law firms with process server professionals. Our platform is trusted and used by over 1,000 law firms and government agencies throughout the US. You can learn more about PROOF and what we do on our website: https://www.proofserve.com As a software developer for PROOF, you’ll have a very diverse role and will be working on improving many different components of our platform, including our backend API, frontend web app, and mobile apps. You’ll be working directly alongside our CTO, as well as providing guidance and assistance to junior developers. You will be working in an environment where everything you contribute is incredibly important to the end product and success of the company - you will not be just a cog in the machine. You will have real ownership over your projects and contribute significantly to the direction of our company. Requirements Expert full-stack developer with knowledge of PHP and JavaScript, ideally experienced with using frameworks like Laravel and React Expert knowledge in API design and development Export knowledge of MySQL, including query design and optimization High accountability and ownership of your work You’re excited to work on a fast-moving team and deal with exponential platform growth You’re able to effectively balanced speed/quality/tech debt and make engineering decisions that enable speed while maintaining quality results Collaborate with CTO & product team on new feature design, development, and implementation A self-starter, able to work in a remote environment without constant supervision Work remotely from anywhere, but you must be able to work during our standard business hours (9am to 5pm MST) Direct communication in supporting our Customer Experience, Product, and general Business teams as needed Benefits We are looking for a full-time developer. You will start out with a 3-month contract-to-hire contract and afterwards convert to a full-time employee with a competitive salary & benefits. Job Types: Full-time, Contract COVID-19 considerations: Your work will be performed 100% remote - so there are no COVID-19 risks. Contract Length: More than 1 year Contract Renewal: Likely Work Location: Fully Remote Benefits: Health insurance Paid time off Work from home Flexible schedule Other This Job Is: A job for which military experienced candidates are encouraged to apply A “Fair Chance” job (you or the employer follow Fair Chance hiring practices when performing background checks) A good fit for applicants with gaps in their resume, or who have been out of the workforce for the past 6 months or more A job for which all ages, including older job seekers, are encouraged to apply Open to applicants who do not have a college diploma A job for which people with disabilities are encouraged to apply Schedule: Monday to Friday Company's website: https://www.proofserve.com Indeed - 19 days ago report job
