Poste;Métier;Pays;Ville;Entreprise;Contrat;Salaire;Description
Java Developer - Remote;Java;USA;Remote;Piper Companies;;$65,000 - $90,000 a year;"Java Developer - Remote Piper Companies10 reviews - Remote $65,000 - $90,000 a year - Remote Apply On Company Site Description Piper Companies is seeking a remote Java Developer. The Java Developer will be responsible for the development of APIs. The ideal candidate for the Java Developer role will have strong Java experience.  Responsibilities for the Java Developer include: Collaborate with team members to build software products/applications Perform code reviews to ensure performance Contribute to the complete software development life cycle process  Requirements for Java Developer include: 3+ years of professional software development experience Strong hands-on Java experience Experience with backend API development Strong verbal and written communication Bachelor’s Degree in Computer Science and/or Computer Engineering preferred or relevant work experience  Compensation of the Java Developer: Salary Range: $65,000 - $90,000 plus a comprehensive benefits package  Keywords: JAVA;JAVA DEVELOPER;Software Developer;Software Engineer;microservices;spring;spring boot;REST;applications;Computer Science;Computer Engineering;benefits;Remote ZP Group - 16 days ago report job"
Entry Level Java Developer;Java;USA;Union City, CA;itech informatix;;;Entry Level Java Developer itech informatix - Union City, CA Apply On Company Site Qualification : Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering. (No prior experience in computing is required we will train the selected candidates). Candidates in US with a valid US Work Authorization need to apply Skills Required : Basic knowledge of Core Java. Should have knowledge in C, C++, Coding. Application development involving designing, coding, debugging and testing various software applications using applicable/prescribed technologies. Involve in Object oriented programming, design and analysis. Use various methodologies in software programming to accomplish modeling and simulation Some Benefits of Working with ITECH, Inc : We specialize in Java J2EE Placement E Verified Filing of H1B and Green Card. On the Job Technical Support Interview Preparation and Tips Mock Interviews for Functional and Technical Preparation for client Interviews Free Guest House accommodation to outstation candidates and provision of basic Groceries Extremely Strong Sales and Marketing team with solid network of Fortune 500 Clients On Time pay rolls 30+ days ago report job
Teacher (DoDEA Virtual High School)new;Java;USA;Quantico, VA;US Department of Defense;;$46,845 - $153,653 a year;"Teacher (DoDEA Virtual High School) US Department of Defense5,353 reviews - Quantico, VA $46,845 - $153,653 a year - Full-time, Part-time - Remote Apply On Company Site Duties Summary Positions are open for the following subject areas: Teacher (English), Teacher (Computer Science), Teacher (General Science), and Teacher (Spanish)  IMPORTANT INFORMATION: If you are interested in applying, please follow this link: https://webapps.dodea.edu/eas/login.cfm  DO NOT apply via USAJOBS.  Applications submitted to USAJOBS WILL NOT receive consideration.  You must select Virtual School on your EAS application. Responsibilities The incumbent: Teaches specific courseware via the Schoology Learning Management System (LMS) to students participating in online learning. Monitors, tracks and evaluates student progress. Notifies DVHS administrators and the DVHS PPS department of any student progress issues. Works collaboratively and communicates regularly with appropriate staff, students, sponsors, and administrators. Supports, counsels, and motivates students to meet or exceed grade level standards Creates a positive learning environment and establishes good rapport with students and stakeholder Collaborates with other educators in required weekly digital learning communities (DLCs) to exchange ideas and utilize best practices for online learning. Personalizes instruction based on student need. Coordinates with Special Education and English Second Language staff to provide accommodations and/or modifications for students. Utilizes synchronous tools to provide same-time support for students. Uses multimedia technology to reteach or enhance courseware based upon student needs. Highly Desirable Skills: Experience in teaching online or blended courses Experience working with a Learning Management System (e.g. Schoology, Blackboard, etc.) Proficiency in using Microsoft Office, Google Applications for Education, and multimedia applications. Travel Required Not required Supervisory status No Promotion Potential None Job family (Series) 1710 Education And Vocational Training Requirements Requirements Conditions of Employment Male applicants born after December 31, 1959, must complete a Pre-Employment Certification Statement for Selective Service Requirement. Proof of U.S. Citizenship required. Direct deposit of pay is required. Two year trial period may be required. Appointment subject to a suitability/fitness determination, as determined by a background investigation. This position requires a Tier 1 (T1) investigation with Childcare Checks since its duties require interaction with children and youth under the age of eighteen (18) years of age. You may be required to sign a transportation agreement. You will be required to sign a mobility agreement, be available for worldwide placement, and be willing to rotate to any DoDDS or DDESS location. Individuals hired from the Continental United States (CONUS) and their family members (who are US citizens) are required to obtain Official Passports prior to departure to the overseas area. Qualifications Who May Apply: U.S. Citizens  Applicant must have at least a Bachelor's Degree.  Teacher, English - A major in English or a minimum of 30 SH in English. A maximum of 5 SH in speech and/or journalism may be counted toward meeting this requirement. Course work must include English literature, American literature, the teaching of composition (writing process), and a minimum of 12 SH in upper level English courses.  Teacher, Computer Science - A major in computer science, a minimum of 18 SH in computer science or 12 SH in computer science with additional qualification as a teacher of mathematics, science, or business is required. Course work must include programming languages such as JAVA, C++, VISUAL BASIC or other equivalent computer programming course work.  Teacher, General Science - A major in general science or a minimum of 30 SH in the field of science is required. Course work must include a minimum of 12 SH of upper level science courses. Applicant must also be certified in either Physics or Chemistry.  Physics - A major in physics or a minimum of 30 SH in the field of science is required. Course work must include a minimum of 12 SH in physics and a minimum of 12 SH of upper level courses in science.  Chemistry - A major in chemistry or a minimum of 30 SH in the field of science is required. Course work must include a minimum of 12 SH in chemistry and a minimum of 12 SH of upper level courses in science.  Teacher, Spanish - A major in foreign language or a minimum of 30 SH of foreign language course work in the subject area for which applying is required. A minimum of 12 SH of upper level foreign language course work is required. Education FOREIGN EDUCATION: If you are using education completed in foreign colleges or universities to meet the qualification requirements, you must show the education credentials have been evaluated by a private organization that specializes in interpretation of foreign education programs and such education has been deemed equivalent to that gained in an accredited U.S. education program; or full credit has been given for the courses at a U.S. accredited college or university. For further information, visit: http://www.ed.gov/about/offices/list/ous/international/usnei/us/edlite-visitus-forrecog.html Additional information DoDEA Employment Application System (EAS) - To apply go to:  https://webapps.dodea.edu/EAS/login.cfm  EAS allows educators seeking employment with the Department of Defense Education Activity (DoDEA) the ability to submit and manage their applications in an online environment. EAS provides the applicant the ability to update their information each year.  All DoDEA educator applicants may view their applications online and make changes to their application at any time.  To view your application: View application: click here https://webapps.dodea.edu/EAS/login.cfm Once there, log on as a returning user (not as a new applicant) with your user name and password. - Username - your last name and last 4 digits of your social security number, e.g. smith0000 - Password - whatever you chose (if you forgot your password, you can click on ""Forgot Your Password"" on the login screen under returning user).  How You Will Be Evaluated You will be evaluated for this job based on how well you meet the qualifications above. Once your complete application is received (via EAS) and the announcement has closed, we will conduct an evaluation of your qualifications and determine your ranking. The most highly qualified candidates will be referred to the hiring manager for further consideration and possible interview as vacancies occur. Background checks and security clearance Security clearance Not Required Drug test required No Required Documents Required Documents The following documents must be uploaded to your online EAS application. You must submit all required documents; otherwise your application will be considered incomplete.1. Online EAS application - Required2. Official Transcripts - Required3. Copy of State or Territory Certification/License or DoDEA License4. Eligibility documentation (SF-50, DD-214, etc.) - If applicable to you (Eligibility documentation may contain: Copy of latest SF-50, Notification of Personnel Action, if applicant has current or previous Federal civil service experience.*Photocopy of all OFFICIAL undergraduate and graduate college/university transcripts (front and back) with announcement number stated on them. To receive the maximum allowable credit you must include all transcripts (front and back) for each degree earned to include any additional courses currently in progress. Any transcripts submitted that are not in English or not official will be removed from the application and will not be considered. (Transcripts must be in English). Benefits Benefits A career with the U.S. Government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Learn more about federal benefits. Review our benefits Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time, or intermittent. Contact the hiring agency for more information on the specific benefits offered.  Help This job is open to The public U.S. citizens, nationals or those who owe allegiance to the U.S. usajobs.gov - 5 days ago report job"
Java Developernew;Java;USA;Remote;Piper Companies;;$90,000 - $120,000 a year;Java Developer Piper Companies10 reviews - Remote $90,000 - $120,000 a year Apply On Company Site Description Piper Companies is seeking a Java Developer in the Raleigh, NC area. The Java Developer will be responsible for the development of APIs. You will be working for a start up and will be working with cutting edge cloud technologies. The ideal candidate for the Java Developer role will have strong Java experience.  Responsibilities for the Java Developer include: Contribute in all phases of the development lifecycle Write well designed, testable, efficient code Continually engage in professional development  Requirements for Java Developer include: 7+ years of professional software development experience Experience with backend API development Strong verbal and written communication Bachelor's Degree in Computer Science and/or Computer Engineering preferred or relevant work experience  Compensation of the Java Developer: Salary Range: $90,000 - $120,000 Full Benefits: Healthcare, Dental. Vision, and 401K with match, etc.  Keywords: Java, java developer, Software Developer, Software engineer, API, REST, Spring, Hibernate, microservices ZP Group - 7 days ago report job
Jr. Software Developer - Remote;Java;USA;Raleigh, NC;Piper Companies;;$65,000 - $100,000 a year;Jr. Software Developer - Remote Piper Companies10 reviews - Raleigh, NC $65,000 - $100,000 a year - Remote Apply On Company Site Description Piper Companies is seeking a Jr. Software Developer – Remote for a growing cloud SaaS start up. The Jr. Software Developer – Remote will be responsible for the design, development, and implementation of new features to a brand new software product.  Responsibilities for the Jr. Software Developer – Remote include: Design, develop, and implement new backend services and applications Work with leadership and senior developers on how to build scalable, secure, and high quality code Collaborate with cross functional teams Thoroughly document work in an organized manner  Requirements for the Jr. Software Developer – Remote include: Proficiency in Java or Python Strong OO programming skills RESTful web service experience Excellent problem solver Strong verbal and written communication skills Bachelor’s Degree in Computer Science, Computer Engineering  Compensation of the Jr. Software Developer – Remote Salary Range: $65,000 - $100,000 plus a comprehensive benefits package including Medical (United), Dental (Guardian), Vision (VSP), and 401K (Voya through ADP)  Keywords: Java, OO, CS, CE, Computer Science, Computer Engineering, REST, API Development ZP Group - 22 days ago report job
PEGA Developer, Jr.new;Java;USA;Remote;GovernmentCIO;;;PEGA Developer, Jr. GovernmentCIO11 reviews - Remote Remote Apply On Company Site Overview: GovernmentCIO is currently looking for a PEGA Developer to join our team supporting IRS Enterprise Case Management effort. Responsibilities: Analyze, design, code, test and implement application enhancements and provide product support by meeting defined scope, timelines and budgets. Participate and utilize in the full SDLC per current company standards. Collaborate with Customers, Business Analysts, Partners and IT Team Members to understand business requirements and design quality technical solutions. Provide innovative solutions to business needs. Provide required technical support, including release implementations. Communicate project status with stakeholders and conduct/assist technical walkthroughs. Qualifications: Candidate must be knowledgeable with agile software development process/concepts. Candidate should be proficient at design, documentation, and troubleshooting of complex technical problems  Knowledge Desired: Working experience at the Internal Revenue Service (IRS), Healthcare or Financial systems design experience (Commercial and/or Federal), Pega Systems, Microsoft .Net, SOA Oracle 11g and 12, IBM FileNet, and experience with cloud vendor infrastructure hosting environments with other enterprise management systems  Additional: 1-2 years of development experience with Java, J2EE or Pega Exposure to web services (SOAP, RESTful, XML, JSON, etc.) Understanding of PRPC flows, decisions and rules Knowledge of IT standards, methodologies, system development life cycle and project management frameworks Ability to communicate effectively with all levels of an organization Demonstrated leadership abilities Strong analytical and problem solving skills and technical skills Ability to work independently as well as part of a team  Education: Bachelor’s or Master’s degree or equivalent in Information Technology or Computer Science. Today report job
Java Developersnew;Java;USA;Ann Arbor, MI;Nithya Information Systems;;$40 - $60 an hour;Java Developers Nithya Information Systems - Ann Arbor, MI $40 - $60 an hour - Contract Apply On Company Site Job Detail Offered Salary 1000 Career Level Executive Experience 5-8 Years Industry IT Qualifications Degree Bachelor Job Description Job Description: High level responsibilities include interpreting functional design and requirements to design, develop and implement software solutions following the company’s agile development process. The position requires a minimum of 5-7 years of industry experience in writing solutions using Enterprise Java technology skills and experience. Software development primarily consists of developing server-side processes and APIs for multiple client applications. Position requirements: Lead-level understanding of Core Java 11 and above Demonstrable experience with Spring Framework 5.x, Spring Boot 2.x or higher. Demonstrable experience with Restful web services using JSON (JSON-API and/or GraphQL preferred) Demonstrable experience with Agile and Test-Driven development Demonstrable experience with JUnit, Mockito, Assert-J Experience with JMS and ActiveMQ Experience with database access using Spring JDBC template, JPA, Hibernate (against SQL Server, preferred but not required) Experience with behavior-driven testing frameworks like Cucumber and integration-testing frameworks like Selenium and SoapUI Experience with continuous integration systems like Jenkins and build tools like Maven High-level understanding of in-memory distributed data storage systems like memcache, ehcache, Hazelcast Bachelors or higher in Computer Science, Engineering or software development-related field 7+ years of overall software development experience Excellent communication skills Experience in a start-up environment is desired but not mandatory Development experience in a multi-tenant, multi-market, international eCommerce setting is desired Required skills JAVA Java Developer JAVA Developer Jobs 4 days ago report job
Java Developernew;Java;USA;Detroit, MI;General Motors;;;"Java Developer General Motors8,620 reviews - Detroit, MI Apply On Company Site About GM There’s never been a more exciting time to work for General Motors.  To achieve our vision of a world with Zero Crashes, Zero Emissions and Zero Congestion, we need people to join us who are passionate about creating safer, better and more sustainable ways for people to get around. This bold vision won’t happen overnight, but just as we transformed how the world moved in the last century, we are committed to transforming how we move today and in the future. Why Work for Us Our culture is focused on building inclusive teams, where differences and unique perspectives are embraced so you can contribute to your fullest potential as you pursue your career. Our locations feature a variety of work environments, including open work spaces and virtual connection platforms to inspire productivity and flexible collaboration. And we are proud to support our employees volunteer interests, and make it a priority to join together in efforts that give back to our communities. Job Description Why Work For Connected Customer and Mobility Solutions We do cool stuff. We are passionate about building high quality systems that solve complex problems on a massive scale. We develop in an Agile/SAFe environment. Our team is inclusive, made up of bright software engineers who enjoy working together to develop innovative software solutions in an environment where individual differences and unique perspectives are embraced. Our business is fast paced and ever changing to get new features and capabilities to market, while conforming to global regulations. Applications are developed on back office micro-services, mobile, web, in-vehicle customer platforms, and WebLogic. We leverage GM’s private Pivotal Cloud Foundry, J2EE and Big Data backend services, allowing opportunities to work in numerous technologies on applications achieving continuous availability. We are leveraging technology enabling a new generation of connected vehicles worldwide. We have call centers located in multiple countries around the world, backed by two world class data centers. Our technology is a key enabler to things like smarter car sharing programs, driver customization opportunities, advanced active safety systems, super cruise and autonomous driving. These capabilities exist through the largest implementation of 4G LTE in the automotive industry which enables the capture of massive amount of vehicle data to our Big Data platform. Our connected vehicles send thousands of data elements requiring an architecture that can support over 1 million vehicle transactions per hour with sub-second response times. Our innovation teams are driving game changing features to the consumer and the automotive industry. We don’t expect candidates to understand all of these technologies. Individual teams focus on a smaller set of technologies. Our organization uses a lot of technologies, affording employees the opportunities to learn new skills and technologies. About the Java Developer position There are multiple openings for this role, with slightly different technical skills needed. The Java Developer role will involve close interaction with the Systems Architect, Development Team Leaders, business team members and other members of the development team and will demand a high level of design and coding to implement and deliver enhancements. There will be ample opportunities to quickly expand on your technical experience, with plenty of business exposure. This role requires a foundation in J2EE with SQL experience. Java Developers provide leadership and technical expertise to enable multi-layered solution architectures that comprehend and specify business, application, data and infrastructure designs. The ideal candidate for this role will possess a passion for technology and a desire to have exposure to and learn more about the Global Connected Consumer. Applicants must have strong core Java skills gained in a business environment along with the following technical skills and experience: 3+ years’ experience delivering Java / JEE Business Solutions 3+ years’ experience of the full software development lifecycle (SDLC) 3+ years’ experience SQL/Oracle 3+ years’ experience with OO analysis and design experience Proficiency with Microservices, Pivotal Cloud Foundry, Spark, Kubernetes, Akka, Pulsar, RabbitMQ, Cassandra, Redis, Bitbucket and Maven Proficiency with Agile Dev Techniques (including TDD, JUnit, Mocks) Proficiency with SQL, Hibernate, Web Services (REST and/or SOAP) Ability to clearly communicate with peers, business analysts, and subject matter experts Ability to function with new technologies Additional Job Description Qualifications Minimum Qualifications for Java Developer: 4-year College degree preferably in computer science, Computer or Electrical engineering, information systems, mathematics, data analytics or statistics or equivalent experience Typical: At least 3+ years relevant experience in the business environment Experience with Agile teams that have regularly delivered software while practicing code review Over 3 years of software development experience in Java services Creating self-contained, reusable, and testable modules and components in frontend and backend work Excellent verbal and written communication skills and ability to effectively communicate and translate feedback, needs and solutions Creative problem-solving skills that deliver elegant solutions to complex issues 3+ years’ experience with monitoring tools and event processing from incident alerts from monitoring tools. SiteScope and HP Enterprise Operations Bridge Manager is a plus. 2+ years’ experience Linux/Unix shell scripting and/or Python. 2+ years’ experience creating and running JUnit Tests 1+ year experience with the ELK stack and dashboarding within Kibana. Working knowledge with WebLogic Scripting Tool (WLST). Working knowledge of source control software (SVN, Git or TFS). Working knowledge with CI/CD Technologies / Best Practices (Artifactory, Black Duck, Chef, CARA, SonarQube and Jenkins, Build pipelines, GitFlow, etc.) Experience with Groovy, Kubernetes or Docker containers is a plus Benefits Overview The goal of the General Motors total rewards program is to support the health and well-being of you and your family. Our comprehensive compensation plan incudes, the following benefits, in addition to many others: Paid time off including vacation days, holidays, and parental leave for mothers, fathers and adoptive parents; Healthcare (including a triple tax advantaged health savings account and wellness incentive), dental, vision and life insurance plans to cover you and your family; Company and matching contributions to 401K savings plan to help you save for retirement; Global recognition program for peers and leaders to recognize and be recognized for results and behaviors that reflect our company values; Tuition assistance and student loan refinancing; Discount on GM vehicles for you, your family and friends. Diversity Information General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.  We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities. 1 day ago report job"
Java Developer;Java;USA;United States;Brielle Technologies;;$88 an hour;Java Developer Brielle Technologies - United States $88 an hour - Contract Apply On Company Site Job Responsibilities: Looking for a Sr Java Developer with very good hands on experience Should have sound knowledge Java, JSP, Spring and Struts MVC Framework Have knowledge in WebLogic Portal Knowledge on Spring Boot, Spring Integration is preferred Must Have Skills Java/J2EE, JSP, Spring MVC & Struts Framework, PLSQL Desired Skills: Spring Boot, Microservices, Spring Integration, Pivotal Cloud 30+ days ago report job
REMOTE Software Developer (Java);Java;USA;Raleigh, NC;Piper Companies;;$65,000 - $100,000 a year;REMOTE Software Developer (Java) Piper Companies10 reviews - Raleigh, NC $65,000 - $100,000 a year - Remote Apply On Company Site Description Piper Companies is seeking a REMOTE Software Developer (Java) for a growing cloud SaaS start up. The REMOTE Software Developer (Java) will be responsible for the design, development, and implementation of new features to a brand new software product.  Responsibilities for the REMOTE Software Developer (Java) include: Design, develop, and implement new backend services and applications Mentor and lead junior team members on how to build scalable, secure, and high quality code Collaborate with cross functional teams Thoroughly document work in an organized manner  Requirements for the REMOTE Software Developer (Java) include: Proficiency in Java or Python Strong OO programming skills RESTful web service experience Excellent problem solver Strong verbal and written communication skills Bachelor’s Degree in Computer Science, Computer Engineering  Compensation of the REMOTE Software Developer (Java): Salary Range: $65,000 - $100,000 plus a comprehensive benefits package including Medical (United), Dental (Guardian), Vision (VSP), and 401K (Voya through ADP)  Keywords: Java, AWS, GCP, Azure, Cloud, Microservices, REST ZP Group - 22 days ago report job
