Poste;Métier;Pays;Ville;Entreprise;Contrat;Salaire;Description
Senior Software Engineer (H/F);Python;France;Paris (75);ENGIE Digital;;;Senior Software Engineer (H/F) ENGIE Digital2,059 avis - Paris (75) Continuer pour postuler Paris (75) L’Energie et le Digital vous passionnent ? Envie d’être acteur dans cette transition énergétique et de trouver un sens à ce que vous faites ?  Alors welcome chez ENGIE Digital !  #WeareENGIEDigital  ENGIE est un acteur mondial de l’énergie, résolument engagé dans la transition énergétique et expert dans 3 métiers l’électricité, le gaz naturel et les services à l’énergie. ENGIE compte 155 000 collaborateurs dans plus de 70 pays pour un chiffre d’affaires en 2017 de 65 milliards d’euros.  En pleine transformation digitale ENGIE a décidé de créer en 2016, ENGIE Digital en plein cœur de Paris dans le quartier Saint-Lazare. Notre mission ? ENGIE Digital conçoit et fournit des produits et services digitaux pour réinventer le monde de l’énergie et accompagner la transformation digitale des entités, dans le monde entier, d’ENGIE et du Groupe.  Notre ambition, devenir le Leader de la transformation digitale de l’Energie. Pour ce faire, nous recherchons un nouveau talent, pour grandir et nous faire grandir !   Senior Software Engineer ( H/F) - Plateforme eCare   La plateforme Smart Home eCare permet aux entités opérationnelles de ENGIE de développer des offres innovantes pour les clients résidentiels autour des installations connectées (compteurs de consommation, panneaux solaires, chaudières, pompes à chaleur, bornes de recharges de véhicules, …).  La plateforme eCare récupère les informations de ces installations et les utilise pour concevoir des services qui permettent aux clients de devenir acteur de la transition énergétique. Ces informations nous permettent entre autres de déceler des dérives, des comportements inhabituels et fournit des recommandations aux techniciens et utilisateurs pour améliorer leur gestion d’énergie.  Le développement de la plateforme est réalisé, dans le Cloud AWS, par une équipe composée de Data Engineers, de Développeurs Front-End, Ops, Scrum Master et de Responsable Produit. Nous utilisons en grande majorité les services serverless d’Amazon et notre langage de prédilection est le Python. Nous valorisons le software craftsmanship: clean code, test, peer programming, review. Cette équipe travaille au sein de l’écosystème Engie Digital qui apporte un dispositif de run, sécurité, architecture et design.  Le rôle du Senior Software Engineer (H/F) au sein de la Plateforme eCare c'est :  - Construire une plateforme robuste et scalable en respectant les contraintes de coût, de performance et de qualité - Appliquer et diffuser l’état de l’art des méthodes de développement logiciel - Participer aux réflexions d’architecture applicative - Participer à la construction des web APIs de la plateforme - Contribuer à faire grandir l’équipe en maturité sur les aspects techniques et méthodologiques - Participer à l’administration de la plateforme Qualifications Ce qu’on attend de vous ?  Tu as prouvé ton savoir-faire en Python Tu as travaillé sur des solution Cloud orienté serverless (AWS) Tu as une expérience dans la mise en place d’application à l’échelle avec un focus important sur les performances T u as une appétence pou r les architectures orientées données L e déploiement d’infrastructures cloud complexes ne te font plus peur . T u as déjà conçu des API web et des méthodes d’authentification. Tu es à même d’adresser des sujets DevOps (CI/CD, monitoring ,.. )  Le petit plus : tu connais les défis des séries temporelles et tu as déjà intégré des algo rithmes de machine learning  Et au-delà de la technique Tu as un bon relationnel, débrouillard, tu aimes transmettre et vulgariser des problèmes complexes. T u veux concevoir de nouveaux services pour façonner me monde de demain . Tu n’hésites pas à relever les manches quand il s’agit d’adresser un projet complexe ou nouveau , tu analyses la situation, tu recherche s d es solutions, tu teste s de nouvelles approches . And last but not least, we work in an international environment, so you are at ease to express your opinions in English ! Notre stack Python ( tu l’auras compris ) S3, Lambda, Kinesis, Dynamo, API Gateway … SageMaker Fargate , Akka (Scala) Github , Jenkins, Cloudwatch Emploi : Digital et IT Lieu principal : Europe-France-Île-de-France-Paris Organisation : ENGIE Digital Horaire : Temps plein Nature de responsabilité : Opérationnel confirmé Publication d'offre : 20 mai 2020, 11:52:33 ENGIE - Il y a plus de 30 jours - Continuer pour postuler Signaler un abus
Développeur(se) Système (Openstack);Python;France;Paris (75);Gandi;CDI;;Développeur(se) Système (Openstack) Gandi - Paris (75) Continuer pour postuler Paris (75) CDI Chez Gandi, nous offrons un cloud public : du IaaS : déploiement de machines virtuelles à la demande du PaaS : déploiement d’applications dans des environnements contenant un langage interprété et une base de données (conteneurisés) Nous recherchons deux personnes pour étoffer l’équipe responsable de ces produits et répondre aux nombreux challenges techniques. Notre rôle: fournir une interface web pour nos clients (qu’ils soient néophytes ou confirmés) fournir des API (REST) pour nos clients (basées sur Openstack) fournir le système de gestion assurant le déploiement des produits (Openstack, avec développement interne) fournir le système pour le suivi et la consommation de nos clients gérer le parc physique sur l’ensemble de nos centres de données Cette responsabilité est celle de l’équipe, qui dispose de toutes les compétences et de l’autonomie nécessaire. Elle est pour cela assistée par une équipe d’infastructure (OPS) avec laquelle elle s’interface pour maintenir et surveiller l’état du parc physique et logiciel. Chez Gandi, les équipes sont organisées autour des produits dont elles sont responsables. En plus de maintenir ceux-ci, elles ont pour objectifs de les faire évoluer. Profil recherché Compétences nécessaires: bonne expérience dans l’utilisation ou le maintien de produits relevant du Cloud Computing, idéalement autour d’Openstack mais aussi AWS ou GCP. développement d’application python 3 (vous connaissez les subtilités du langage et les maitrisez) des connaissance dans la gestion de systèmes : notre métier est de les vendre à nos clients ! Compétences bonus (ce sont les technologies que nous utilisons): hyperviseur XEN stockage ZFS réseau OpenVSwitch docker toute compétences en CI/CD (Jenkins, gitlab-ci, bamboo, …) conception et utilisation d’API REST État d’esprit: travail d’équipe et partage de connaissances qui sont la base d’une équipe agile (revue de code, lightning talk) force de proposition, l’équipe est avant tout (avec le PO) en charge de l’évolution du produit souci de la sécurité et de la protection des données de nos clients culture du libre (nous n’hésitons pas à contribuer sur les projets opensource que nous utilisons et nous les privilégions) curiosité (nous aimons regarder autour de nous ce qui se passe dans l’écosystème) Pourquoi choisir Gandi ? Une PME pérenne (20 ans d’existence) qui a conservé son esprit start-up Entreprise engagée qui soutient et promeut l’open source et l’internet libre Programme de soutien technique, humain ou financier à des projets engagés (FIDH, Sea Shepherd, CaliOpen) Organisation, sponsoring et participation aux événements tech internationaux Démos internes bimensuelles présentées par les équipes porteuses des projets Avantages entreprise chez Gandi : Bureaux à Paris intra-muros (station Porte d’Ivry) Local vélo privatif et possibilité de parking Accord de temps de travail prévoyant RTT, télétravail et flexibilité des horaires Remboursement des frais de transport (prise en charge 50%) Tickets restaurant (prise en charge à 60%) Mutuelle d’entreprise (prise en charge à 60%) Comité d’entreprise, activités culturelles et sportives (tarifs préférentiels sur l’abonnement à un club de gym) Espace convivial de détente autour d’une cuisine cosy et équipée, cafés et boissons fraîches à volonté, corbeilles de fruits et viennoiseries Afterworks hebdomadaires Intéressement aux résultats de l’entreprise (participation, programme d’actions gratuites, bonus sur objectifs individuels) Déroulement des entretiens Processus court (un entretien avec l’ensemble de l’équipe …) Il y a plus de 30 jours - Continuer pour postuler Signaler un abus
Lead développeur python H/F;Python;France;Paris (75);Gandi;CDI;;Lead développeur python H/F Gandi - Paris (75) Continuer pour postuler Paris (75) CDI En tant que lead développeur(se) Python vous êtes chargé(e) de : Concevoir de nouvelles fonctionnalités avec les Product Owners Développer ces fonctionnalités en mode agile avec des développeurs front et des membres de l’équipe UX/UI Produire des solutions maintenables et performantes Intégrer la sécurité et la protection des données utilisateurs dans toutes les couches de la plateforme Optimiser les solutions technologiques (Stockage, modélisation des données) Etre force de proposition sur les éléments de la stack technique Etre un membre actif et collaboratif de l’équipe Nos challenges technologiques sont multiples: Sécurité de la plateforme afin de garantir la sécurité des données de nos clients Simplicité d’utilisation et architecture orientée services Disponibilité et performance des services Disponibilité permanente dans tous les pays du monde Notre stack technique repose sur les technologies éprouvées et actuelles: https://www.welcometothejungle.co/fr/companies/gandi/tech Profil recherché Compétences recherchées : Maîtrise des technologies de notre stack (Python, API REST, tests unitaires, revues de code, Django, Pyramid, SqlAchemy, Celery) Expérience au sein d’équipe de développement agile (2 ans) Expérience dans le développement d’applications modernes (Git, Jenkins, tests, bases de données) Expérience dans la conception d’APIs RESTful Familiarité avec les concepts de domaine et DNS Compétences bonus : Docker, CI/CD État d’esprit : Force de proposition Sens des responsabilités Travail en équipe avec souci de faire progresser les autres Culture de la revue de code Curiosité business Goût de l’effort et de la performance collective Soucis de la sécurité et de la protection des données Pourquoi choisir Gandi ? Une PME pérenne (20 ans d’existence) qui a conservé son esprit start-up Entreprise engagée qui soutient et promeut l’open source et l’internet libre Programme de soutien technique, humaine ou financier à des projets engagés (FIDH, Sea Shepherd, CaliOpen) Organisation, sponsoring et participation aux événements tech internationaux Démos internes bimensuelles présentées par les équipes porteuses des projets Avantages entreprise chez Gandi : Bureaux à Paris intra-muros (station Porte d’Ivry) Local vélo privatif Accord de temps de travail prévoyant RTT, télétravail et flexibilité des horaires Tickets restaurant (prise en charge à 60%) Mutuelle d’entreprise (prise en charge à 60%) Comité d’entreprise, activités culturelles et sportives (tarifs préférentiels sur l’abonnement à un club de gym) Espace convivial de détente autour d’une cuisine cosy et équipée, cafés et boissons fraîches à volonté, corbeilles de fruits et viennoiseries Afterworks hebdomadaires Intéressement aux résultats de l’entreprise (participation, programme d’actions gratuites, bonus sur objectifs individuels) Déroulement des entretiens Processus court (Un entretien avec l’ensemble de l’équipe …) Il y a plus de 30 jours - Continuer pour postuler Signaler un abus
Ingénieur QA;Python;France;Paris (75);Stormshield;Temps plein, CDI;;"Ingénieur QA Stormshield5 avis - Paris (75) Postuler Paris (75) Temps plein, CDI Vous êtes un(e) développeur(euse) sensible à la qualité et rêvez de travailler en R&D (Recherche et Développement) ? Au sein d’une équipe dynamique & créative, vous participerez au renforcement de notre équipe Assurance Qualité sur nos solutions majeures. Vos activités principales seront : Concevoir, suivre et exécuter des plans de tests à partir des spécifications Valider nos produits développés par nos ingénieurs développement Participer à la définition fonctionnelle de nos produits de sécurité Participer au développement de tests automatisés afin d’assurer la non-régression de nos produits Participer à l’amélioration des performances de nos solutions (par le biais de bench et de stress-tests) Etre force de proposition pour améliorer les produits, en termes fonctionnels et en termes de qualité Diagnostiquer les défaillances de nos solutions de sécurité en vue de leur correction (reproduction, maquettage système et réseau, analyses, …) Nous vous offrons : Un emploi où affirmer et diffuser votre talent, Une équipe passionnée à taille humaine où se conjuguent responsabilités et diversité des missions, Une culture technologique forte et épanouissante. Profil recherché Compétences professionnelles Très bonne connaissance de l’environnement Unix/Linux Expérience dans le scripting (Shell, Python, Perl, …) et l’automatisation Réseaux TCP/IP Connaissance du langage C Sécurité des réseaux, firewalls, VPN… Compétences personnelles * Rigueur, autonomie, esprit d’équipe, curiosité, capacité d’initiative Excellente capacité d’analyse et de synthèse Bonnes capacités rédactionnelles. Expérience * Vous disposez idéalement d’une première expérience professionnelle de 2 ans Rejoignez le monde de la cyber-sécurité ! Filiale d’Airbus, Stormshield est le leader européen dans l’édition de solutions de sécurité des systèmes d’information. Nos solutions protègent les entreprises contre les cyberattaques en tout genre (déni de services, vol d'informations, dégradation d'images…) et les aident à respecter les réglementations concernant la confidentialité de l'information. Le Collaborative Success est une de nos valeurs-clés ; nous croyons que le succès ne peut être que collectif et partagé. Aussi, si le travail d’équipe, l’ouverture, l’écoute, la curiosité et le partage vous font vibrer, rejoignez-nous au plus vite! Pour en savoir davantage sur la communauté Stormshield, allez faire un tour sur notre blog « Inside » pour découvrir l’envers du décor, nos coulisses : https://www.stormshield.com/fr/stories/ Type d'emploi : Temps plein, CDI il y a 5 jours Signaler un abus"
Analyste Développeur Éditique (H/F);Python;France;Noisy-le-Sec (93);ASSU2000;;;Analyste Développeur Éditique (H/F) ASSU200059 avis - Noisy-le-Sec (93) Continuer pour postuler Noisy-le-Sec (93) Dans le cadre de son développement et afin de renforcer ses équipes, notre Direction des Systèmes d'Informations recherche son prochain Talent pour compléter son équipe d'Experts ! En collaboration avec le Responsable du Service Support Informatique, vous avez pour mission de créer et de maintenir l'éditique utilisée dans notre logiciel de gestion destiné aux clients et partenaires du Groupe. Vous analysez et développez les applications informatiques éditiques selon les cahiers des charges fournis par le chef de projet, vous prenez en charge les tests de qualification et accompagnez les recettes et vous effectuez les maintenances évolutives et correctives allouées. Vous assurez également le support aux utilisateurs des applications éditiques.  Titulaire d'un Bac +3/5 dans le domaine informatique, vous justifiez d'une première expérience significative sur des fonctions liées aux technologies orientées « business » (JAVA/J2EE). Votre rigueur et votre sens de l'organisation vous permettent de gérer efficacement et simultanément de nombreux sujets. Autonome et force de proposition, vous faites preuve d'initiative dans le cadre d'une démarche d'amélioration continue. Vous appréciez le travail en équipe et les environnements de travail agiles et dynamiques. Reconnu pour votre sens du service et votre pédagogie, vous avez le goût de la satisfaction client. Une connaissance ou expertise autour de plusieurs de ces domaines serait un plus : • Frameworks JAVA (hibernate, spring, EJB, SWT/RCP, maven, JUnit) • Linux, Shell, scripting, SQL (environnement Oracle RDBMS de préférence), XML, JSP, HTML • Solutions de Contente Management (ECM) d'output management • Solution complète de composition documentaire • Sharepoint, WSDL, Javascript, BPM, JRules, Spring, PL/SQL, Python, UML, RUP La connaissance du monde de l'assurance saura être appréciée. Ce poste d'Analyste / Développeur Éditique (H/F) est à pourvoir immédiatement en CDI au sein de notre siège social situé à Noisy-le-Sec (à 15 minutes de la gare Saint-Lazare par le RER E). Rejoindre le Groupe ASSU 2000, c'est intégrer une entreprise connectée, audacieuse et agile. C'est évoluer au sein d'un marché diversifié et dynamique. C'est aimer relever des challenges quotidiens. C'est accepter de se réinventer. Parce que nous misons sur la valeur et l'engagement de nos collaborateurs et souhaitons nous inscrire dans la pérennité, nous recrutons à 99% en CDI. il y a 15 jours - Continuer pour postuler Signaler un abus
Junior Data Analyst - Environnement Commercial (H/F) Bois D'...;Python;France;Bois-d'Arcy (78);Atmospheres;Temps plein, CDI;28 000 € par an;Junior Data Analyst - Environnement Commercial (H/F) Bois D'Arcy Atmospheres26 avis - Bois-d'Arcy (78) Postuler Bois-d'Arcy (78) Temps plein, CDI 28 000 € par an Descriptif société Atmosphères est une agence de force de vente supplétive, spécialisée dans le high-tech. Nous intervenons ainsi pour des clients prestigieux à travers trois pôles d’activités qui sont : - La force de vente supplétive pérenne ou ponctuelle - Les programmes d’animations commerciales long terme ou moyen terme - La mise en place d’opération commando merchandising Nous pouvons ainsi proposer à chacun de nos collaborateurs après un parcours d’intégration de vivre une aventure unique au sein de notre agence en collaborant pour le compte de grandes sociétés reconnues mondialement. Ce que nous ferons ensemble Vous ferez partie du service Force de vente de notre entreprise, qui a la responsabilité de la planification et du suivi stratégique des ventes ainsi que du pilotage opérationnel des activités commerciales des équipes terrains représentant nos clients. Au sein d’une équipe de xx personnes, vous aurez pour principales missions de : · Comprendre la stratégie et les problématiques opérationnelles de la force de vente · Synthétiser de manière hebdomadaire les performances de chaque équipe · Faire évoluer les différents tableaux de bord qui permettent de suivre l’activité · Analyser les tendances, évolutions de certains produits · Communiquer au management les informations recueillies · Être force de proposition sur la présentation, la visualisation des données. Vous serez le garant de la qualité, de la cohérence et de la pertinence des données dont vous serez en charge. A l’écoute des besoins actuels et futurs des utilisateurs, vous apporterez à toute l’équipe votre expertise informatique et analytique, pour en accroître l’efficacité. Ce que nous attendons de vous ? Rigoureux, vous combinez une excellente maitrise des chiffres avec une forte appétence pour les activités commerciales. Vous avez une bonne connaissance d’Excel et vous êtes curieux d’explorer d’autres outils/méthodes d’analyse. La connaissance de Power BI et/ou de Python serait un plus. Votre aisance relationnelle vous permettra d’interagir avec les différents services de l'entreprise Vos qualités d'organisation et d'adaptation à un environnement exigeant, complexe et en fréquente évolution, votre dynamisme, mais aussi votre bonne humeur, sont autant de gages de réussite. De formation ingénierie informatique, en statistique ou en économétrie, vous avez acquis une connaissance significative dans le domaine de l’analyse de données. Langue de travail : Français et anglais. Avantages : Participation au transport Titre-restaurant / Panier Type d'emploi : Temps plein, CDI Salaire : 28 000,00€ /an Expérience: junior data analyst: 1 an (Requis) Lieu: Bois-d'Arcy (78) (Requis) Certificats et autres accréditations: Permis B (Souhaité) Aujourd'hui Signaler un abus
Développeurs Commando Python H/F (FIM);Python;France;Levallois-Perret (92);Devoteam;;;Développeurs Commando Python H/F (FIM) Devoteam82 avis - Levallois-Perret (92) Continuer pour postuler Levallois-Perret (92) DESCRIPTION DU POSTE Fi-Makers, entité conseil & métier spécialisée sur les secteurs de la Banque, Finance et Assurance du Groupe DEVOTEAM, recherche dans le cadre de sa croissance un ou plusieurs profils : Développeurs Commando Python Rattaché(e) directement chez un de nos clients (poste basé en Ile de France), au sein des équipes Front Office, vous aurez pour principale mission la conception et le développement dans des délais courts d’outils de mesure et de calcul destinés aux traders, middle & back officers. Vous serez amené à réaliser les tâches suivantes : Développements conformes aux besoins exprimés Tests unitaires Tests techniques UAT Support utilisateurs Maintenance évolutive Formation utilisateurs QUALIFICATIONS De formation Bac +5 (École d'ingénieurs ou Universitaire), vous justifiez d’au moins 2 ans d'expérience sur des projets en développement en Python Compétences techniques recherchées : Python VBA JUPYTER Vous disposez d’une bonne connaissance en Finance de Marché et sur l’ensemble des produits financiers, d’un excellent relationnel et d’une forte résistance au stress Aujourd'hui - Continuer pour postuler Signaler un abus
(alternance) développeur informatique java, python, ... F/H;Python;France;Paris 3e (75);Hesperie Conseil;Temps plein, CDI, Apprentissage, Contrat pro;806 € par semaine;(alternance) développeur informatique java, python, ... F/H Hesperie Conseil - Paris 3e (75) Postuler Paris 3e (75) Temps plein, CDI, Apprentissage, Contrat pro 806 € par semaine L'entreprise HESPERIE CONSEIL est un cabinet de conseil spécialisé en Finance des Marchés et Asset Management. HESPERIE CONSEIL propose ses prestations haut de gamme aux institutions du monde de la finance, Banques de Financement et d’Investissement, Asset Managers et autres acteurs de «l’industrie financière». Les expertises que nous proposons relèvent du Conseil en Organisation, Maitrise d’Ouvrage Maitrise d’œuvre spécialisée, Analyse Quantitative Risk Management afin de répondre aux problématiques de nos clients, du front au back. s  Description du poste Nous recherchons des candidats pour des formations en alternance sur des postes de développement informatique : Développeur Python, PHP, Web, JAVA, ... Administrateur de base de données Data scientist etc ... Nous proposons les formations disponibles chez OpenClassroom mais vous pouvez choisir une autre école si celle-ci dispose d'un cursus en alternance. Veuillez consulter la brochure pour connaitre les conditions d’éligibilité et découvrir le contenu de la formation : https://openclassrooms.com/fr/... et rythme de cette alternance en ligne Cette formation dure de 12 à 24 mois et vous mobilisera 5/7 jours. Le rythme de votre alternance est à définir avec votre entreprise, il est généralement 2 jours de formation et 3 jours en entreprise par semaine. Votre semaine sera divisée en deux parties. Durant vos jours de formation : vous suivrez vos cours et réaliserez vos projets en ligne. Vous serez accompagné par un expert métier jusqu'à votre diplôme, avec qui vous aurez un rendez-vous chaque semaine en visioconférence. Durant vos jours en entreprise : vous serez chez votre employeur et réaliserez les missions dont vous aurez la charge, afin de mettre en pratique tout ce que vous aurez appris. Contrat et rémunération Vous serez employé par votre entreprise dans le cadre d'un contrat d'apprentissage ou d'un contrat de professionnalisation. Nous vous invitons à vérifier votre éligibilité au contrat visé dans la brochure ci-dessus. Votre formation est gratuite pour vous, et vous bénéficiez même dès le 1er jour d’une rémunération correspondant à un pourcentage du SMIC (ou, dans certains cas, du salaire minimum conventionnel). Concrètement nous vous proposons une rémunération minimum de 806€ + avantages divers (mutuelle, tickets restaurant et remboursement partiel des frais de transport, ...). Trouver votre entreprise d’accueil Si vous êtes sélectionné pour intégrer cette formation après l’entretien d’admission, Nous vous trouvons votre entreprise d’accueil. Nous travaillons principalement avec des grandes institutions financières : Banque de financement et d'investissement, Assurance Gestionnaire d'actifs, Si votre profil correspond à leurs besoins, notre équipe travaillera en direct avec vous pour trouver le poste qui vous correspond, vous aider à décrocher des entretiens et vous accompagner pour la signature du contrat. Type d'emploi : Temps plein, Apprentissage Formation: Baccalauréat + 3 Langue Français et Anglais  Compétences requises Profil Recherché : De formation supérieure Bac +3 Curieux, et bonnes capacité à dialoguer avec différentes équipes il y a 27 jours - Continuer pour postuler Signaler un abus
CDI - Ingénieur Financier H/F;Python;France;Paris (75);La Banque Postale;;;"CDI - Ingénieur Financier H/F La Banque Postale504 avis - Paris (75) Postuler Paris (75) Présentation de l'entreprise Rejoindre La Banque Postale, c'est intégrer une banque citoyenne, dynamique et innovante, qui poursuit un développement accéléré sur les marchés de la banque de détail, de l’assurance et de la gestion d’actifs.  Banque de service public, La Banque Postale accompagne ses clients dans une relation bancaire durable : 10,7 millions de clients particuliers et 400 000 clients entreprises, professionnels, acteurs de l’économie sociale et du secteur public local lui font confiance. Dans le cadre de la réglementation (Arrêté « Contrôle Interne », la CRR et CRD I-IV, le Consultation paper EBA sur RTS IRBA Assessment Methodology), la fonction de « validation des modèles » est clairement identifiée dans ses missions de contrôle permanent au niveau méthodologique et dans sa nécessaire indépendance des équipes de modélisation et doit être remplie par les personnels suffisant et ayant l’expertise suffisante pour adresser les exigences réglementaires vis-à-vis de ce contrôle méthodologique. Nous recrutons un.e Ingénieur Financier H/F, au sein de la Direction des Risques Groupe qui aura pour mission principale l’audit des modèles de risque financiers et des contributions par des études transverses en termes de risque de modèle au département Validation.  Vos missions En tant qu'Ingénieur Financier senior de l’équipe du Département Validation des Modèles au sein de la Direction des Risques Groupe, vous interviendrez dans la validation de l’ensemble des modèles du Groupe La Banque Postale (ex : modèles Bâlois sur les périmètres Clientèle de Détail et Hors Détail ; valorisation d’instruments de marché complexes et aux risques financiers, modèles Risques Opérationnels….).  Vos missions seront les suivantes : Contribution au Comité de Validation des Modèles Validation de la modélisation de la valorisation des instruments de marché complexes (choix du modèle, benchmarking, calibration, méthodes de calcul de la valeur d’un instrument exotique, ajustements de valeur). Validation de modèles d’évaluation des risques de marché (VaR, Expected Shortfall, …) Validation de modélisation en ALM et Capital Management. Cartographie et Validation des modèles significatifs dans la banque, et des filiales (filière risque). Contributions méthodologiques transverses (risque de crédit, stress tests, marketing, …) Veille scientifique, revue des meilleures pratiques, revue des publications pertinentes, participation à des évènements de place et séminaires, voire à leur organisation (par ex : Séminaire Validation des Modèles Financiers).  Le poste nécessite un bagage technique très large et exigeant tant en probabilité qu’en statistiques et en mathématiques financières. Une compétence solide en programmation est nécessaire. Une bonne connaissance des logiciels les plus couramment utilisés en modélisation au niveau des directions de modélisation (par ex : SAS, R, Python, Matlab…) est impérative. Enfin, une connaissance du cadre réglementaire et des contraintes métiers auxquels sont confrontés les équipes de modélisation auditées, constituent un élément déterminant du succès pour les missions à mener.  Votre profil Titulaire d’un Doctorat en Mathématiques (de préférence en Probabilité, Statistiques, ou en Mathématiques Financières), ou d’un diplôme d’ingénieur d’une grande école (Polytechnique, écoles Normales, écoles Centrales, Ponts et Chaussées, ENSAE, etc) avec une spécialisation en risques et/ou en statistiques.  Une expérience professionnelle de cinq ans ou plus dans un département de Validation de modèles, ou un service prenant une part active dans la construction de modèles (par ex : construction de modèles de crédit, de valorisation d’actifs contingents et XVA, modélisation risque de marché, ALM, etc…).  Compétences recherchées :  Maîtrise du logiciel de statistiques SAS (ou STATA, SPSS ou R). Maîtrise de langage de programmation (Framework DotNet, Python,…) Connaissance des techniques statistiques (Scoring, Analyse des données, Séries Temporelles…). Connaissance métier des domaines modélisés. Connaissance de la réglementation par ex : Bâle II (PD, EAD, LGD, modèles internes marchés et risque de contrepartie et FRTB,…), normes IFRS9.  Job Reference: LGLBP00079 Aujourd'hui - Continuer pour postuler Signaler un abus"
Développeur Python;Python;France;Paris 9e (75);Stagup;Temps plein, Stage;1 000 € par mois;Développeur Python Stagup - Paris 9e (75) Continuer pour postuler Paris 9e (75) Temps plein, Stage 1 000 € par mois L'entreprise Intuition Software est une entreprise du web qui réalise des outils en mode SaaS à l'usage des professionnels du recrutement. Nos technologies sont Python, Debian, MySQL, les standards du Web, Git. Nous pratiquons un développement agile et pragmatique. Pour plus d'informations, visitez notre site internet: www.intuition-software.com   Les missions Vous travaillerez au sein de notre équipe développement et serez au contact du directeur technique. Vous bénéficierez de sa volonté de transmettre son expertise. Vous interviendrez sur des missions variées et formatrices allant de la programmation coté serveur et client, la conception d'interface utilisateur, l'architecture d'une application web. Vous participerez à la réalisation de fonctionnalités visibles par nos clients.   Le profil recherché Ce stage est destiné aux élèves en dernière année d'école d'ingénieur avec pour objectif de poursuivre en CDI. Vous avez un sens de l'élégance technique et une sensibilité pour la conception d'interfaces utilisateur. Fier de vos réalisations vous cherchez toujours à améliorer vos compétences et vos méthodes de travail. Vous lisez des livres techniques en anglais comportant des animaux sur la couverture. Autonome et créatif vous êtes force de proposition  Détails Contrat Stage temps plein Durée 6 mois Période Avril/octobre 2019 Lieu Paris(75009) Avantages 1000€ par mois Il y a plus de 30 jours - Continuer pour postuler Signaler un abus
