Poste;Entreprise;Pays;Ville;Type de contrat;Salaire;Description
INGENIEUR DEVELOPPEMENT LOGICIEL JAVA/C++ F/H;Médiane Système;France;Saint-Étienne (42);Temps plein, CDI;33 000 € - 38 000 € par an;Et si nous parlions directement de ce qui vous intéresse ? Descriptif du poste Au sein d'une jeune entreprise stéphanoise concevant et fabricant des testeurs de composants électroniques, vous intervenez avec l'équipe en place sur la conception, le développement et le support des suites logicielles (en JAVA ou C++) permettant de piloter les instruments et analyser les résultats. Dans le cadre de projets innovants, votre travail consistera à concevoir des logiciels afin d'utiliser les produits au maximum de leur potentiel : pour cela, vous êtes force de proposition et participez pleinement à l'élaboration de ces produits. Vous pourrez être amené, selon vos compétences, à développer les couches logicielles bas niveau, proche de l'électronique. Vous travaillerez en méthode agile dans un contexte international (déplacements ponctuels à l'étranger). Descriptif du profil De formation Bac+5 en informatique industrielle, vous avez une première expérience en développement logiciel en C++ ou JAVA et vous aimez travailler en équipe dans l'élaboration complète d'un produit à haute technicité. Vous avez des connaissances en électronique qui vous permettront d'échanger avec les designers Hardware du produit. Vous maîtrisez l'anglais à l'oral comme à l'écrit pour faciliter les contacts avec les différents clients. Si cette opportunité vous intéresse, postulez pour prendre contact avec notre agence de Lyon ! Type d'emploi : Temps plein, CDI Salaire : 33 000,00€ à 38 000,00€ /an Expérience: developpeur logiciel java ou C++: 1 an (Souhaité)
SOPRA STERIA Reconversion Futur ingénieur informatique Java/...;Ajc Ingenierie;France;La Défense (92);Temps plein, CDI;None;Vous êtes diplôme d’école d'ingénieur généraliste ou d'un BAC +5 Scientifique, vous avez déjà pensé à vous orienter dans les métiers du numérique de demain? N’hésitez plus à rejoindre une multinational Sopra Steria! Nous vous accompagnerons et vous formerons dans le cadre de la POE en vue d'une proposition de poste en CDI. La maîtrise de l'anglais est un plus. A compétences égales, tous nos postes sont ouverts aux personnes en situation de handicap. Conditions du poste Poste en CDI sur une base de 36,5H Type d'emploi : Temps plein, CDI Salaire : 35 000,00€ /mois Expérience: reconversion futur ingénieur informatique java/jee h/f ou similaire: 1 an (Souhaité) Formation: Bac +5 (Master / MBA) (Requis)
Développeur informatique H/F;Groupe Idemaps;France;Boulogne-Billancourt (92);CDI;25 000 € - 35 000 € par an;Informations sur l’entreprise : Le Groupe Idemaps est spécialisé dans la distribution de solutions innovantes. Avec plus de 60 collaborateurs sur 3 départements, le Groupe se positionne comme un réel facilitateur du quotidien auprès des entreprises. Si le Groupe Idemaps a comme activité principale la commercialisation de services, solutions et technologies de transformation digitale, il propose également des solutions d'aménagements de bureau, des solutions audiovisuelles, collaboratives et évènementielles. Au sein du Groupe vous pourrez participer à des challenges passionnants, à un plan de développement continu au travers des formations et d’un accompagnement personnalisé, ainsi que des évolutions de carrière possibles. Vous intégrerez un groupe, avec un esprit start up, dans un environnement de travail dynamique, agréable et convivial favorisant une saine émulation dans les différentes équipes. N'hésitez pas à visiter notre site internet pour en savoir plus : www.idemaps.fr Description du poste : Envie de faire de l’informatique autrement, et de servir l’humain ? De développer des applications qui simplifient la vie des salariés et la transformation digitale des entreprises ? Nous sommes persuadés qu'entre le monde physique et le monde digital, l'écosystème évolue, c'est pour cela que nous recrutons un développeur informatique. Rôle et prérequis : Développer from scratch des applications pour l’écosystème (front et back) Participer activement aux choix techniques et à leur mise en œuvre Être familier avec les notions d’UX et d’UI S’assurer de la qualité fonctionnelle du produit Maintenir, documenter le code et prévoir ses évolutions futures Connecté aux besoins du marché, être capable de réfléchir à des problématiques métier et leur trouver des solutions * Savoir argumenter sur les bénéfices des Applications développées (Discours client) Environnement technologique : Javascript / HTML 5 / CSS Java C++ AJAX Description du profil : De formation supérieure (Bac+4/5) orientée développement web / logiciel / voire mobile. Tu es passionné(e)s par le développement et les nouvelles technologies. Tu sais faire preuve de créativité, d’une certaine force de proposition et d’autonomie. Ta qualité de synthèse, ta curiosité et ton esprit d’équipe seront des atouts très appréciables. Lieu : Hauts de Seine Temps plein, CDI Rémunération annuelle : À définir selon qualification et expérience (25/35K€) Avantages : ticket restaurant / mutuelle Pourquoi nous ? Pour rejoindre une entreprise orientée vers le futur et dont l’innovation est inscrite dans les gênes ! Come to think with us Type d'emploi : CDI Salaire : 25 000,00€ à 35 000,00€ /an Expérience: développeur informatique h/f ou similaire: 2 ans (Souhaité)
stage télétravail administrateur système et réseau;www.yogamicro.com;France;Seclin (59);Temps plein, Temps partiel, Stage;None;Prestataires système et réseau pour nos clients pros, nous recherchons un stagiaire en admin sys et réseau pour un stage a démarrer de suite a l'aise sur linux, vous entretenez un réseau national et un parc de serveurs linux, installez des applications sur des VM ou en conteneurs vous aimez linux et l'opensource, on vous aime déja #linux #proxmox #docker #ipsec #openvpn #radius #ldap #samba #AD #SQL #Java #React Avantages : Travail à distance possible Durée du contrat : 6 mois Nombre d'heures : 35 par semaine Type d'emploi : Temps plein, Temps partiel, Stage Expérience: stage télétravail administrateur système et réseau ou similaire: 1 an (Souhaité) Télétravail: Oui
Développeur Java / Tibco - H/F;EVOLEEN;France;Paris (75);None;45 000 € par an;"Java / Html5 / Angular / Spring / Sql / Agile / Veille stratégique / Innovation / Communication Backend Developer, Frontend Developer, Full Stack Developer, Lead Developer / CDI / Environ 45k€ / 3 - 6 ans / Paris  Le poste Aujourd’hui, nous pouvons compter sur nos 105 collaborateurs et notre réseau de consultants externes hautement qualifiés basés sur Niort, Paris, Aix en Provence afin de répondre parfaitement aux attentes de nos clients. Dans le cadre de notre croissance, notre ambition est de poursuivre le renforcement de nos équipes JAVA et TIBCO au sein de chacune de nos agences. Nous sommes donc à la recherche de développeur polyvalent et rigoureux disposant d'expériences réussies sur JAVA (connaissances de JAVA 8, JPA, JSF, Spring Core, Spring Batch, Spring MVC, JS, HTML, CSS, SQL, Struts). Aussi, nous cherchons des candidats ayant une maitrise des technologies TIBCO à savoir BusinessWorks 5/6, ActiveMatrix, Middleware. Au sein de notre équipe JAVA ou TIBCO vous évoluerez en environnement agile dans un contexte où l'IT de pointe s'exprime pleinement. Les responsabilités Vous participerez aussi bien aux phases d’analyse et de conception qu’à la rédaction de documents techniques Vous apporterez votre expertise technique sur les supports de production Vous développerez en fonction des spécifications établies et réaliserez des tests unitaires et d’intégration Vous participerez aux phases de livraison et recette Vous appliquerez les bonnes pratiques de développement et êtes garant de la qualité de votre code Pourquoi venir chez nous? Ne soyez plus spectateur mais acteur de l’évolution de votre environnement ! Votre évolution professionnelle est entre de bonnes mains ; nous co-construisons votre carrière en fonction de vos aspirations et de vos compétences. Notre souhait est de vous accompagner et de vous faire évoluer vers des postes de Team Leader, d’Architecte ou de consultant Technique. En parallèle de vos missions, vous pourrez participer aux développements réalisés au sein de notre LAB d’édition logiciel. Devenez référent et acteur leader de la performance de nos solutions en mettant en œuvre vos idées au sein du LAB. Les projets menés par nos consultants sont ambitieux en termes d’innovation ainsi qu’en terme de complexité de systèmes d’informations. Vous souhaitez rejoindre une entreprise à taille humaine et contribuer activement à son développement en France mais aussi à l’international ! Aujourd’hui nous avons à cœur de rapprocher l’expertise IT de la vision métier."
Développeur Junior Java/ActivePivot (F/H);Novencia;France;Paris (75);None;None;Contexte La programmation est aujourd’hui au cœur de l’innovation et le développeur au centre de l’organisation. Le code ? Il évolue, vite, très vite, au gré des versions et des nouveaux langages. Il ne suffit plus qu’il fonctionne, il faut qu’il soit « clean » et compréhensible par tous. Il est désormais produit par un artisan expert qui est également un relai de connaissances au sein de sa communauté, celle des software craftsmen. Chez NOVENCIA, même si chacun dispose de compétences particulières, c’est le collectif qui nous permet d’avancer ! Jeune développeur passionné par le Backend, vous êtes à la recherche d’un nouveau défi. Bouclez votre ceinture, la suite est pour vous ! Compétences AYANT LES COMPÉTENCES EN Anglais Java JVM Mémoire Multithreading Performance Profil Carnet de route Nos 35 référencements et bien d’autres à venir offrent un large champ de possibles ! Partenaire d’ActiveViam depuis 2014, Novencia Group s’appuie sur une communauté de formateurs et de consultants certifiés « ActivePivot ». Notre motivation : la montée en compétences des nouveaux collaborateurs sur cette techno. In-memory analytical database. Conçu nativement comme une solution in-memory, le traitement des données par ActivePivot est 200 fois plus rapide que dans les RDBMS enregistrées sur disque. Eléments sur vos missions : Lors de vos missions ActivePivot vous travaillerez en étroite collaboration avec l’équipe R&D au sein d’une équipe jeune et dynamique dont le mot d’ordre est l’écoute. Vos alliés principaux seront Java et la stack JS. Vous pouvez être amené à intervenir dans les domaines de la Finance, de la Banque, ou encore du Retail. Les clients utilisant ActivePivot sont nombreux. Votre rôle Analyser le besoin utilisateur Rédiger les spécifications techniques Concevoir et développer Réaliser les tests unitaires Assister les utilisateurs afin d’assurer une continuité de service A vous de choisir. Chez NOVENCIA, chaque consultant a le choix de sa mission et décide de la façon dont il souhaite évoluer. De la technique et de la personnalité Touche à tout : possède des compétences en langage Java, de bonnes capacités de modélisation et une appétence pour la finance de marché Conquérant : gagne un temps précieux de traitement grâce au multithreading Explorateur : défriche des problématiques de temps réel et d’optimisation Téméraire : intervient dans des contextes techniques et métiers exigeants Voyageur : découvre un environnement international Curieux : envie de mettre un pied dans l’univers du Big Data Avancer en équipe NOVENCIA, c’est avant tout un projet collectif. Validation par un pair. Après les formules d’usage du premier entretien, vous rencontrez un de nos consultants lors d’un second échange pour qu’il puisse appréhender votre niveau technique et vous en dire plus sur l’écosystème de NOVENCIA. (C’est souvent là que tout bascule…). Partage d’expérience. NOVENCIA compte 7 communautés : Partners – Finance/ Prodigi – Agile / Craft / ActiveViam / UX@Scale / Data / GDPR, dont le fonctionnement est indépendant. Dotées de leur propre budget, elles sont libres de récolter et diffuser des informations. L’objectif : encourager la veille technique et l’évolution professionnelle. Expertise. Meet-up, webinar, articles, vidéos…Au-delà d’un objectif purement professionnel, technique ou fonctionnel, NOVENCIA vous donne la possibilité de vous exprimer. Environ 80 événements annuels sont organisés. Autant d’occasions pour un collaborateur de se dépasser. Crédibilité et notoriété du parcours sont donc au rendez-vous ! Formation sur mesure. NOVENCIA possède son propre centre de formation. Technique ou fonctionnelle, les formations proposées sont, pour la plupart, certifiantes. Suivi personnalisé. Qu’elle soit personnelle ou professionnelle, votre évolution est notre priorité. C’est pourquoi nous avons créé les Instants RH et Objectifs Carrière. Vous l’avez compris, chez NOVENCIA on ne lâche rien ! Notre objectif commun : co-construire votre carrière en fonction de vos aspirations et de vos compétences.  S’engager en faveur du handicap c’est garantir l’égalité des chances dès le recrutement. À compétences égales, nos postes sont ouverts aux personnes en situation de handicap.
PhD Student, CIFRE;Facebook;France;Paris (75);None;None;Facebook is seeking PhD Students through CIFRE contracts to join Facebook AI Research (FAIR) in Paris. We are committed to advancing the field of artificial intelligence by making fundamental advances in scientific methods and technologies to help interact with and understand our world. We are seeking individuals passionate in areas such as deep learning, computer vision, audio and speech processing, natural language processing, machine learning, reinforcement learning, computational statistics, computational cognitive (neuro)science, and applied mathematics. CIFRE positions (Industrial Agreements for Training through Research) are 3-year fixed term for PhD students in France who will work in collaboration with a public research lab. Facebook partners with the Ministry for Higher Education and Research and the National Association for Research and Technology (ANRT) to implement the program for individual students. CIFRE positions will be awarded on a rolling basis and candidates are encouraged to apply early in their search for PhD programs. Applicants are expected to be pursuing a PhD in one of the areas listed above. To learn more about our research, visit: https://research.fb.com/category/facebook-ai-research-fair. PhD Student, CIFRE Responsibilities Perform research to advance the science and technology of intelligent systems. Perform research that improves computational understanding and representing of data. Devise data-driven models of human behavior. Influence progress of relevant research communities by producing publications. Collaborate and increase productivity on existing research projects. Minimum Qualifications Knowledge in Machine Learning. Knowledge in a programming language. Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorisation during employment. Preferred Qualifications Bachelors or Masters degree in a technical field such as Computer Science, Applied Mathematics, or equivalent practical experience. Experience building systems based on machine learning and/or deep learning methods. Research and software engineer experience demonstrated via an internship, work experience, coding competitions, or open-source contributions. Knowledge in Python, Lua, C++, C, C# and/or Java. Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started. Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com.
Formateurs PAO/CAO/DAO;Dawan;France;Paris (75);None;None;DAWAN est un organisme de formations informatiques. Nous recherchons des formateurs PAO/CAO/DAO indépendants pouvant animer des formations sur la région Ile-de-France ou d'autres régions limitrophes. Nous recherchons des personnes disposant d'une expérience pédagogique significative uniquement, si possible ayant suivi une formation de formateurs. Les thématiques qui nous intéressent : - en PAO : Photoshop, Illustrator, InDesign et les équivalents OpenSource Gimp, Inskape, Scribus - en Audiovisuel : Premiere, After Effects, Final Cut Pro, Avid, Motion - en 3D : Blender, 3DSMax, Cinema 4D - en DAO : Autocad, Autocad Architecture, Revit, SketchUp D'autres outils type Solidworks, Cathia, Rhinoceros sont susceptibles de nous intéresser aussi. 2- Profil Diplômé de formation Bac +2/+5, vous êtes expert sur un ou plusieurs logiciels cités plus haut avec un minimum de 10 ans d'expérience sur les logiciels que vous enseignez. Idéalement, vous disposez : - de certification (Adobe, Autodesk) - de supports personnalisés Qualités personnelles recherchées : - Autonome et rigoureux - Bonne communication orale et écrite - Disponibilité 3- Société DAWAN est une société de services informatiques assurant des prestations de développement (PHP/MySQL, Java/JEE, .NET) et des formations. Nous intervenons dans nos locaux à Paris, Nantes, Lille, Lyon, Strasbourg, Rennes, Bordeaux, Toulouse, Marseille, Montpellier ou sur le site de nos clients. La société a pour objectif de devenir leader sur le marché de la formation informatique tout en continuant à développer les services d'intégration et développement. Plus d'informations sur la société : http://www.dawan.fr MERCI DE TRANSMETTRE VOS CV sur notre site web en complétant précisément les informations demandées
Stage d'été programmation JAVA pour ERP;NIT - NEW IMAGING-TECHNOLOGIES;France;Verrières-le-Buisson (91);Temps plein, Temps partiel, Stage;None;Définir, écrire, et valider des scripts pour des extractions d'une base de données ERP. Les scripts utilisent le langage JAVA . Stage de 2 mois Juillet/Août. (6 semaines mini) Type d'emploi : Temps plein, Temps partiel, Stage Avantages : Titre-restaurant Formation: Bac +2 (BTS, DUT, DEUG) (Souhaité) Télétravail: Non
INGENIEUR FULLSTACK JAVA / ANGULAR5 - F/H;Ingeniance;France;La Défense (92);CDI;None;Contexte:  Intégré au département surveillance antifraude de nos clients, vous interviendrez sur le projet de transformation de l'application interne sur une architecture BigData.  Missions: Contribution au projet de transformation de l'application Control Tower Détection de signaux faibles Architecture BigData Développement de services Java pour récupération de l'ensemble des informations nécessaires Connexion à un cluster Hadoop Développement des interfaces graphiques   Environnement Technique: Java, J2EE Webservices Javascript Angular 5   Profil recherché: Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse. Vous justifiez d'une expérience significative en développement. La disponibilité, la résistance au stress et le sens de la gestion des priorités sont également indispensables.   INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.  Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.  Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
