Poste;Entreprise;Pays;Ville;Type de contrat;Salaire;Description
Software Engineer -Front-Endnew;Blueprint Title.;USA;Remote;None;None;The goal of Blueprint Title Company is simple: streamline residential real estate closings for buyers, sellers, and real estate service professionals. We bring innovative technology, process, and pricing to the $16 Billion Title Insurance industry. Founded in January 2017, Blueprint Title operates over a broad, multi-state footprint and is quickly expanding. We are a team of driven individuals with a passion for disrupting title insurance and modernizing the closing experience. We are looking for high performers to share our mission and join in our growth. As a member of the Blueprint Title team, you will help us lead the charge in proving that the real estate closing industry is ready for novel technology, lower pricing, and better service.  As a Software Engineer you will:  Work to deliver projects with excellence, kindness, and reliability. You will work in collaboration with our CTO, Director of Engineering, and other members of the Technology team to tackle a variety of software problems for the business that affect both internal and external stakeholders. What we are looking for in you: You have touched a variety of languages and can pick them up quickly, but you love Vue.js. You have 2+ years of building applications in a team environment. You love writing code and solving problems with software. You are particularly excited about creating the best user experience possible in the products you build. You've built well-tested web applications from the ground up that customers have used. You're comfortable solving software challenges on your own, but you ask questions when you need help. You speak fluent English. Your curious nature has led you to dabble with other front-end and back-end languages/frameworks. Other preferred qualifications include: Sharing your knowledge with your team is fun for you, and you are happy to help other members of the team solve problems. You're comfortable in an early-stage company and are excited at the idea of joining a team of smart, client-oriented folks. You're a self-starter and can prioritize your time to accomplish goals without a lot of day to day oversight. You’re interested in not just a job but building a company, culture, processes, and growing with us. You have a track record of committing to what you say you will do, and are passionate about delivering great products for teams and clients. You communicate clearly, write well, speak eloquently, and are comfortable explaining complicated issues over the phone and via email to both engineers and clients. You get along with people and like helping people, learning new things, and are quick to solve problems proactively. You have experience with and enjoy working teams that are partially or fully remote. You are obsessed about hitting deadlines. You are comfortable talking with internal team members and/or clients on product calls. What you will get from us 100% employer paid medical premiums for all employees. 401k plan with employer matching Wellness Stipend Professional Development Stipend Dental, vision, and HSA account. Competitive compensation package Performance-based bonuses and equity options Unlimited vacation days Flexible hours Opportunity for you to help drive growth in a start up company Team events, casual dress code, great office amenities We are an equal opportunity employer and value diversity. All employment is decided on the basis of qualifications, merit and business need.
Software Engineer, React.js or C#;Computer Staff;USA;Dallas, TX;None;$25 - $40 an hour;"We have been retained by our client, a start-up company, in Dallas, Texas, to deliver a Software Engineer to work almost fully remote , who has React.js, Javascript skills and / or C#, .NET Web API skills on a contract basis. This position is working on redesigning the functionality of fairly simple UIs with ReactJS and a “home-grown” Redux -like library using the google map API. This position is 100% Remote (work from anywhere in the continental United States). Initially, this position is part-time, 10-40 hours a week, fully remote. However, we prefer candidates located in the Dallas – Fort Worth, Texas area to attend developer meetings in-person in North Dallas. 100% REMOTE work is perfectly fine. only minor plus if local to Dallas area. As a Software Engineer working with React.js and .NET Web API’s, you will be part of a multi-discipline team where meaningful collaboration is highly valued. Your responsibilities are rooted in the design and implementation of applications using React on the front end, a Redux-like library, .NET on the backend, visible to both customers and employees. This position requires good interpersonal and communication skills, the ability to solve complex problems, and applicable technical experience. The ideal candidate is a self-motivated individual with a true thirst for both knowledge and action, and who values cohesiveness, abstraction, and separation of concerns.  The ideal candidate also favors prototyping over dependency abuse. This candidate can work independently but understands his or her role as a member of the team. The ideal candidate constantly strives to write code that is scalable, extensible, and maintainable with React.JS and C#. Required Qualifications : Must have a minimum of 3-5 years of JavaScript and/or C# experience. We prefer candidates with React experience. We prefer 2-3+ years of React.js experience. Must have solid experience in at least two JavasSript libraries such as: ReactJS, Angular, AngularJS, BackBone, Knockout, Aurelia, Ember, jQuery, AJAX or others. Must have experience working with any REST APIs, at least consuming, and experience creating API’s or .NET Web API’s is preferred Must have solid CSS and HTML experience Comfortable working in Visual Studio. The candidate must have great communication skills, clearly articulate improvements and blocks.  Strong understanding of OOP and DRY Strong understanding of web technologies and protocols  · These are a plus: Azure Function cloud development , C#, Google’s Map API, C# Web API, REST API experience, any nosql database such as MongoDB , or SQL Server Proficiency with at least one: C#, or Javascript (ES6), or both Experience with at least one: .NET Web API , or React.Js , and Redux (preferred) or both Also required: The ability to use your personal a laptop to work from home with that has a newer version of Visual Studio on it. A ""work from home"" office with internet and cell phone. More details: React on the front end. .NET on the back end. Have you heard of Redux that works with React. My client has a framework works with React. It is a React / Redux-like home grown framework, for state management, updates screen with input field, adding fields together, sent to state of app, pushed back to screen, This is a javascript framework they made that plugs into and works with React While I didn't include HTML and CSS, a React developer couldn't be a React developer without already knowing those technologies, so it's implied (especially for mid-level).  Immigration: US citizens and those authorized to work in the US are encouraged to apply. We are unable to sponsor H1b candidates at this time. No third parties, no consulting firms, no agencies.  Employment type: Contract or Contract-to-hire  Compensation: 25 – 40 per hour  Location: client location is Dallas, Texas, but 100% Remote work from home. Developer meetings for local DFW workers, who work from home. If you are not located in Dallas or Fort Worth area, then attending meetings via telephone is fine."
Full Remote Clojure, .NET, JS/Angular Developer;Flexiana;USA;Sheridan, WY;None;None;Over the past several months, we have seen Flexiana grow from a group of few people to solid team because of professionalism and customer appreciation. The scope of our projects is far interesting than that of most conventional businesses, which leads to a wide variety of tasks that need to be performed. We are not a conventional business. First and foremost, all our colleagues are expected to create regular work product that is reviewed by others, customers and public. We are the community of doers and we expect senior approach and skills. We are looking for Experienced developers in following technologies Clojure, .NET, JS/Angular. If you are proficient in one of technologies lister above, you are welcomed. We offer You can join us for a couple of weeks trial when we can get to know each other better, you can do it beside of your normal job You can work from anywhere You can be paid partially or fully in any cryptocurrency Openness, agility and no micromanagement Extensive support from all colleagues Long term cooperation Help with state bureaucracy, taxes, etc. Interested? Contact team@flexiana.com immediately!
Java (Multi Skilled)/Angular.js;CapB InfoteK;USA;Hoffman, IL;None;None;CapB is a global leader on IT Solutions and Managed Services. Our R&D is focused on providing cutting edge products and solutions across Digital Transformations from Cloud, AI/ML, IOT, Blockchain to MDM/PIM, Supply chain, ERP, CRM, HRMS and Integration solutions. For our growing needs we need consultants who can work with us on salaried or contract basis. We provide industry standard benefits, and an environment for LEARNING & Growth.  For a long-term multiyear project required a Java (Multi Skilled)/Angular.js. The position is based out of Hoffman Estate but can be done remote as of now. IL  Technology Stack: JAVA, Spring, Webservices SOAP/RESTfull, front end UI- full stack developer, Angular experience, Functional programming experience, Oracle.  JAVA Technology skills – Hands on development skills in JAVA Domain – Lending, Banking, Financial Services. Process – Understanding of software development lifecycle processes, AGILE process. Soft skills – Excellent communication skills, interpersonal skills, consulting with client teams, working in distributed teams.  Experience – prior experience on Agile development/migration projects. Client facing role – client communication, coordination with several client stakeholders, meetings and discussions to capture requirements.
React JS Developernew;Ace-stack LLC;USA;Mountain View, CA;None;$65 an hour;Job Details  Position : React JS Developer  Strong coding skills on React, should be able to code search pages in a day’s time.  Strong on fundamentals of React Features.  State Management  Lifecycle Management  Props Usage  Design Patterns  Should be able to write beautiful code with DRY principles.  Good handle on unit testing and integration testing using Jest and React Testing Framework, knowledge of Cypress is a plus.  Possess expert knowledge Unit Testing or any other testing framework.  Good knowledge on advanced JavaScript and ES6 functions.
Full Stack Software Engineer, Pizza Hut International;Pizza Hut Corporate;USA;Plano, TX 75024;None;None;Job Description  At Pizza Hut, we want to make it easier to get better pizza and we're putting digital at our core for this. We have recently created a startup: Pizza Hut Digital Ventures, committed to building and implementing innovative digital solutions, empowering our customers to have an exceptional experience. From building a world-class platform and a clean mobile experience, we are pushing the boundaries to ensure we remain forward-thinking and ahead of the curve. With our adoption of the best technologies and customer-first approach in design, we are on the cusp of building something transformational for the entire delivery sector.  We're looking for passionate Software Engineers with a proven track record of delivering challenging software projects who would thrive in a forward-thinking, progressive, digital company.  We create both rapid prototypes, usually in 2 to 3 weeks, as well as full-scale applications typically within 2 to 3 months, by working collaboratively and iteratively through design and development to deliver fully functioning web-based and mobile applications that meet business goals. You will contribute to the architecture across the technology stack, from database to native apps.  Our development teams are small, flexible and employ agile methodologies to quickly provide our consultants with the solutions they need. We combine the latest open source technologies together with traditional Enterprise software products.  Responsibilities: Work as part of a highly collaborative, cross-functional development team following continuous delivery practices and building highly performant code. Develop prototypes quickly but deliver production code that can scale. Be involved in a full spectrum of development, including new features and new applications but also tools to support experimentation, localization and customization. Be creative and experiment with new solutions but be pragmatic and committed to code optimization, maintainability, and quality. Work with product owners and designers to prioritize and hone features. Optimize web applications for maximum speed and scale. Minimum Requirements  Requirements: Deep expertise in JavaScript and its various cross-platform and cross-browser quirks. Knowledge and expertise with React.js and Node.js. Experience with cloud deployment tools and AWS or Google Cloud, Azure Development experience in any of the following technologies and opinions on how to use them properly: C#, Java, Scala, PHP, Ruby on Rails, Erlang, Go, Python, F#, etc. Experience with relational and noSQL (e.g., MongoDB, CouchDB, Cassandra, DynamoDB etc.) data stores. Expert experience in HTML5/CSS and building mobile, responsive/adaptive applications Company Summary  Pizza Hut, a subsidiary of Yum! Brands, Inc. (NYSE: YUM), serves and delivers more pizzas than any other pizza company in the world. With easy order options including the Pizza Hut app, mobile site, Facebook and Twitter messenger and Amazon devices, Pizza Hut is committed to providing an easy pizza experience – from order to delivery.  Founded in 1958, Pizza Hut has become the most-recognized pizza restaurant in the world, operating more than 16,400 restaurants in more than 100 countries.  Pizza Hut is also the proprietor of The Literacy Project, an initiative designed to enable access, empower teachers and inspire a lifelong love of reading. The program is rooted in the foundation set by the Pizza Hut BOOK IT! Program, which is the longest-running corporate supported literacy program, impacting more than 14 million students each year. For more information, visit www.pizzahut.com . Follow Pizza Hut on Facebook (www.facebook.com/PizzaHut ), Twitter (www.twitter.com/pizzahut ) and Instagram (www.instagram.com/pizzahut).
Developer - Node.js;ModusBox;USA;Remote;None;None;We are looking for a Developer - Node.js who is excited by the opportunity to build modern, open source software for financial institutions, government regulators, and others taking on the challenges of interoperability and financial inclusion. Here, as Developer - Node.js, you’ll get the chance to work on something truly unique with the potential to have a real, lasting impact in real-time payments and financial inclusion of the poor.  Our mission is to improve lives by accelerating universal access to reimagined financial services. It is our belief that technology is the key to driving this access for the most vulnerable and disadvantaged people. And, it is the underlying network infrastructure that exploits and excludes.  That’s where we come in. Our suite of no-code, cloud-native, drop-in integration tools are primarily focused on two major industries - Payment Networks and Supply Chains. By combining our tools and deep roots in the integration space, we digitally transform companies and countries around the world to drive inclusion and connectivity.  Our team has won multiple MuleSoft partner of the year awards for our service delivery and solutions. It was our reputation as a premier MuleSoft integrator that led us into a project commissioned by The Bill and Melinda Gates Foundation. Together, we built the world’s first open source platform for interoperability in a real-time payment network - Mojaloop.io.  We have chosen a challenging mission. One that, when completed, will leave a lasting, positive impact on the world. We’re looking for those excited to create that legacy.  Ideal Candidate: You are passionate about technology but you’re not a zealot. That passion doesn’t stop at the code base but extends to the product and the impact that it has on your customers. You have a strong sense of ownership and pride in the work you do and believe in doing things the right way for the right reasons. There’s an inherent problem-solver inside of you that sometimes keeps you up at night when there’s a problem in need of an answer. You bring a unique viewpoint to the team, but you know healthy and respectful debate can lead to better solutions. It’s ok if your ideas don’t win out every time – your eye is always on the product. Your engineering skills and emphasis on best practices flourish in an environment where things move quickly and you’re okay when explicit direction is not always at your fingertips.  Required Skills: Excellent computer science fundamentals e.g. data structures and algorithms theory, concurrency, parallelism, and various programming paradigms High degree of competence in basic mathematics Previous career focused on back-end development in a modern programming language Demonstrated ability to take ownership of subsystem design, implementation, and testing Demonstrated ability to interact with system architects, product owners and to communicate, understand and deliver on requirements in a product focused manner. Cloud hosted microservices development in node.js (3+ years) Deep knowledge of the node.js programming language including libuv and the event loop Strong SQL and experience with multiple DBMS including but not limited to MySQL 3+ years linux 3+ years docker experience Git e.g. GIT Flow Strong knowledge of patterns, standards, and best practices Bash scripting Self-motivated e.g. ability to work remote Good English communication skills A degree in computer science or another scientific or engineering related subject Nice to have: NoSQL Kubernetes experience Message bus / async message-based systems e.g. kafka, rabbitMq etc... Distributed systems experience CI/CD pipeline development and maintenance High throughput, high data volume systems, large data sets Contribution to OSS Projects Post graduate degree in computer science or another scientific or engineering related subject
Software Developer Intern;PagerDuty;USA;Remote;None;None;Together we’re building a company that will endure and products people will love for generations to come.  We believe that people do their best in a culture that fosters inclusion, innovation, and success. Our values - Champion the Customer, Take the Lead, Run Together, Ack + Own and Bring Yourself - serve as the foundation of our collaborative and dynamic culture.  Whether it’s conducting a retrospective, cranking out a new product feature, supporting our two PagerDuty bands, or doing our day to day work, Dutonians live and breathe these five values every day. Together, we solve real customer issues and fulfill our mission of connecting teams to real-time opportunities and elevate work to the outcomes that matter.  Solve for what’s next—at PagerDuty.  This is a fully remote, 4 month role for the Fall 2020 term that begins on September 7, 2020 and ends on December 18, 2020. Successful candidates will be working from home during the duration of the term.  How You Contribute to Our Vision You’re passionate about building software and looking for a place to put your skills to use and work with a fantastic team You will build and ship new customer-facing features (A number of participants deployed features during their time at PagerDuty!) You’ll collaborate with product and UX to deliver the highest quality web experience You’ll be participating in code reviews for your fellow team members About You You are excited to take on the difficult challenges of building highly available distributed systems and the responsibilities that come with developing mission critical software. You are confidently self-driven You have an insatiable desire to learn You are empathetic - you can clearly communicate your thoughts and opinions to others You are passionate about high quality, maintainable and testable code You have a solid grasp of computer science fundamentals You want to build reliable and highly scalable systems Our Toolset: Are you interested in learning about these? Languages: mainly Ruby on Rails, Scala, Elixir, Swift, Objective C (iOS), Java (Android) and more! Back-end: Kafka, Percona XtraDB (MySQL), Cassandra, CouchDB Front-end: Backbone.js, Ember.js, CoffeeScript and ES6 Technologies: Distributed Systems, Databases, High Availability Systems, Machine Learning, Streaming Systems Minimum Qualifications Good understanding of CS fundamentals, eg. data structures and algorithms Knowledge and understanding of at least one programming language, eg. Java, Python, C PagerDuty Offers: In addition to working with deeply passionate and intelligent people in a dynamic environment, we also offer: Competitive compensation Mentorship - each participant is matched with a team mentor A chance to participate in our Employee Resource Groups and give back through various volunteer opportunities  PagerDuty is committed to creating a diverse environment and is an equal opportunity employer. PagerDuty does not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, parental status, veteran status, or disability status.  PagerDuty is committed to providing reasonable accommodations for qualified individuals with disabilities in our job application process. Should you require accommodation, please email accommodation@pagerduty.com and we will work with you to meet your accessibility needs.  Our stewardship of the data of many thousands of customers means that a background check is required to join PagerDuty. We will, nonetheless, consider for employment qualified applicants with arrest and conviction records in a manner consistent with local requirements. PagerDuty uses the E-Verify employment verification program.  To all recruitment agencies: PagerDuty does not accept agency resumes. Please do not forward resumes to our jobs alias, PagerDuty employees or any other company location. PagerDuty is not responsible for any fees related to unsolicited resumes.
StrongLoop, Angular JS and NodeJS developer.;Highbrow LLC IT Consulting & Staffing;USA;Remote;None;None;Highbrow is looking for a Senior Software Engineer that is experienced with MEAN stack technologies. This team works within an Agile environment and is an industry-leading development team that creates innovative mobile and SaaS products.
React JS Developernew;TanPro ITCorp;USA;San Francisco Bay Area, CA;None;None;React JS Developer Location: Bay area ,CA Duration :12 Months Job Description: Thorough understanding of React.js and its core principles Experience with popular React.js workflows (such as Flux or Redux) experience on react Js or vue js. experience on web api Experience on Java Script,HTML
